Deutsche Poesie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,261114,spotify_germany
1,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",5psDugCQ2V8uayDeSuTvdD,LEA,5Yo5iU2nf4H41waPl4ZnS1,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",3UTg67Th2vtPXWjgfhocFp,68,https://p.scdn.co/mp3-preview/c98b67ccdbb84895f7b6c0e918565d1844e88e59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Pläne,7wU86ACCI3MBMWaTijsHJy,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Irgendwie anders,5tNgkRtA8Bx1cAYLLmxomw,57,not available
3,Die Reise,29vchuApvo5GeOAeGdAbfz,Max Giesinger,224CDJhbm230iSo9ZomTWe,Die Reise,3eIQHRpcXgUHy5BwSVnvMA,60,https://p.scdn.co/mp3-preview/964463f88ac8450cb485a69d8996a3c22e7d2e05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ich wünsch dir,6Ubu6f6HM3s04qZuGIccsx,Sarah Connor,7e52Ytzjj1q71DUj2cSlch,HERZ KRAFT WERKE (Deluxe Version),0KY05MDHUSPohPlzHrwTQI,61,not available
5,Mut,3MwB6rnqOELJOw297Cspr6,Alexa Feser,0Yb66lSgYL9MFYw6jUHCVD,Mut,3jv5DVQXY8oeTWfgxra5Ir,7,not available
6,Kennst du das,6aQweozRPFWZ6PCh2Q76lz,LEA,5Yo5iU2nf4H41waPl4ZnS1,Vakuum,3Ye7DYrKoU2MnqhBJK0ifq,58,https://p.scdn.co/mp3-preview/e7e9b1d0980c42f0463afb440962ae43cd262454?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Schön genug,1nbc7iZcf1UdKVDLgrUKYW,Lina Maly,0VVKg6krYM45eGuevSlcRk,Schön genug,5BHCermXEb3KZ6mqQdhBxT,47,https://p.scdn.co/mp3-preview/b81638ffd8d0152374b2abd4235dd4df961ac8b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,1993,3E8qvYDyhKat3qGhmovygJ,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Irgendwie anders,5tNgkRtA8Bx1cAYLLmxomw,56,not available
9,Wer wir geworden sind,2E5aaTnUiZMCyqV7mAjDTk,LOTTE,3gqabzO7zvHVzAIT0Nxqa3,Querfeldein,7Bdv9tyxlOOMQv34gFe9GH,51,https://p.scdn.co/mp3-preview/35a5305f0e80ef31b549ad2449b57d52d634fbf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
