Happy Dance,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,834786,spotify_germany
1,Fading - Rudimental Remix,4rCKHlHS5G3xLl7gplAZO6,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,Fading (Rudimental Remix),4fyU76pUe17cQuNgvvxmuk,55,https://p.scdn.co/mp3-preview/a628a9f983f70436abd54c09e031be066ae181ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Wasted,78zlgKzdU5vp15sOlKaSnT,Noize Generation,0KETuRn1Qq622O6Q0WN1r9,Wasted,5kSRKWCBu2SPglNGmMhpH7,54,https://p.scdn.co/mp3-preview/2eeeb630d7ecd6c0e1c635913d28ba65cf674155?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Let Me Love You,4cyy2gi5MnFnqU2l9q0cUZ,CALVO,3E61SnNA9oqKP7hI0K3vZv,Let Me Love You,2RsAujZOzPo922fw69qgWk,60,not available
4,Shout,7HIeJSoh7g5y4ZnjRJK0Pa,Max Lean,4sOc3KgWiki8GMnvxYH8sh,Shout,5OquLASUaPcwWzWATEuKk3,50,https://p.scdn.co/mp3-preview/2a7147dd08476b4e9be27ae976f0b26fd0d19516?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Rhythm of the Night,2pEJjOaIpVvp1gC0N40ehs,Sean Finn,5xUacP1mVGfiY7Zr9RskmS,The Rhythm of the Night,1QkxSXPeEkgvNMDD1NnZjh,61,https://p.scdn.co/mp3-preview/e00f8e313c2256ed7e0f07ed5d240c784689ed4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Wait Another Day,7qZOnik9K8Mv987ccBjwwj,Mike Williams,3IpvVrP3VLhruTmnququq7,Wait Another Day,77Tpo4RybpDfOpnFcdmiBo,70,https://p.scdn.co/mp3-preview/1610c49b307bbe0814105743fd6ff30b00f54e90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Freed from Desire (feat. Indiiana),1lr5prHQn7Q766Ix6eGRKK,Drenchill,3nmaO18tcMzfrrR7sdJHnH,Freed from Desire (feat. Indiiana),3zc3R5pVjF0r81hJc7gpBQ,67,https://p.scdn.co/mp3-preview/2e33f2bdd144bb24610e8a74cb965319d03a6149?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Dance (feat. HYM & Jona Selle),3D1HS330ITnaTIV1RTFJ0L,Freischwimmer,185m2EJWTIm36MdqguiU8T,Dance (feat. HYM & Jona Selle),5zOio1u9HEJD08JLNnoIcF,51,https://p.scdn.co/mp3-preview/a94806bac8e7ccbc8c27a6fa6a6e5098149ed45a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Hotstepper,7DC0O3pMpDFefdk51dr7pU,John Gibbons,72luDUYRlE8N8lPSgyhiwo,Hotstepper,0fCWjsxczZ1k3LBAzuGnVe,70,https://p.scdn.co/mp3-preview/188ae3855f59648a996172679505b9bd0d8b0902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
