Kopfkino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,98561,spotify_germany
1,Blooming (In C Minor) - Harnes Kretzer Remix,3mYW95cFCfuWgZxpiK4qzI,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Blooming (In C Minor) - Remixes,39ylocGinn43Ifq4JQH5oz,44,https://p.scdn.co/mp3-preview/dce491df47deee03d8a8b668a811dfac04487021?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Panama - Edit,6UTn9fLE2Aa11EcHHBhpJf,HVOB,6RAx8RRxoHeJIqD2d0EjOa,Panama (Edit),3HHwdLJOZnrHBJvIXsbGzs,51,https://p.scdn.co/mp3-preview/fbbb0fe055b2bd2702c5cb74ea54026ec4646c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Cucuron,3pGk4e4NtaBAFT7kp2mg8G,Niklas Worgt,5vepjxl2UMfB5D7apHD2fa,Thin As Paper,6Re4PXtk1U3FTOhe6oqBa5,35,https://p.scdn.co/mp3-preview/2f61e9944f4f80d27dec8893cf1231fa1fd8ddd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,So Long,41sDpPLnM1N59ZStkgd9gL,Audio Dope,7vByi0TCh4wNTdqNK7dNqe,So Long,4TpJYntKPUQZ4WpwzE3qKV,33,https://p.scdn.co/mp3-preview/cee4014f4a4e319c5d1918d135ad88061915d443?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Voices,5qLZZNrAIMCQ4Rb5rXRDeX,Kamandi,4pSowxoZVdsKUyTkhU9ebC,Voices,5SBqtlokt8AtkV3X4cR0Pv,11,not available
6,Alone in Berlin,35zgUplHMIDYyDeWqkAzr7,Kev Sheridan,4rqPUulTdgCJfxITPHP2oY,Alone in Berlin,54D27dhzVTKeFcVY6JKeZI,39,https://p.scdn.co/mp3-preview/c381cbd29f96ab191accc32fa18345ea8675a7b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Squares,4bmVE7WRba4td0JDP6j1HR,Robot Koch,47V6nyjOrUR98qv6gkYssI,Squares,2OBFkeXD1uCm6a8XaddCfm,32,https://p.scdn.co/mp3-preview/2c4b6686222bc8cfb0b7535c168df07c1cf7707e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Like Water (feat. Mohna),4sXYqjoe1AZM6tpQKMuLFR,Christian Löffler,3tSvlEzeDnVbQJBTkIA6nO,Like Water (feat. Mohna),7mflwNRugPkBldVVtGGIga,11,not available
9,Eintagsfliege,2ttVxMK6vCXpRUz8z0YRE2,Dominik Eulberg,44zcDDVZOY0ck7KECNUPK1,Mannigfaltig,3HUrniKjndcjRSpBwOxVUb,44,https://p.scdn.co/mp3-preview/d7e2f08a5a1baadb0c07f56d2d2868f9dc297586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Rest,7f7ZFSLD58vB31U78GpCyF,Brandt Brauer Frick,29TG40TGDvrOFQZM4adBf7,Rest,24iA2XSf8HyHx2bO0upya4,29,https://p.scdn.co/mp3-preview/fb100b3a713a375540eed4e7d25feba367370250?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Harp Enough,0ywB0utZGAHl0tpTOTnp1v,MOTSA,2fyuHXew1I5FJDAQdbCYXP,Perspectives,0HmEyhZnvkwt45Z8RR0AfV,34,https://p.scdn.co/mp3-preview/03898ae20d962a79e546a1f37cfe22e57c79e6b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Black Hole Revisited,6h3ZeB59DnNvK56N6Jtogg,Robot Koch,47V6nyjOrUR98qv6gkYssI,Sphere (Out Takes & Remixes),7esumKYxV1ku89s9ScRIUy,37,https://p.scdn.co/mp3-preview/4f7235b0f9896aae43bee864e4dc8c90cc0dcf0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Eden,0UvOd9SZMfGii53C50YYne,Hania Rani,14YzutUdMwS9yTnI0IFBaD,Eden,0UeBnTijgsORW94114QvdM,37,https://p.scdn.co/mp3-preview/04b5f4ba247bab5c5ad5779d037896ae774dd8d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Chapter 13,3MY3KdmrP1aUEUrNPmuJ05,Nihoni,5vo3SAsS0EuZTW7QkGy0Xs,Chapter 13,3vYUqgjvuuwC40udf7HhZO,1,not available
15,Break Sum1,343nacV6WDWoEzevh5Rmte,Sieren,3Jzy4I2ATG22T6bZB24ToD,Fading Memory,59bbyeB07I71uB76uMqNd6,25,https://p.scdn.co/mp3-preview/420259448e844f9ff3b2fcbc25de75f1333341af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Spark - Ex Mykah Remix,5Nv3vWRodGPJLkIYF1XgRX,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Spark (Ex Mykah Remix),6WvrVn2haAVWiigJrIlItM,1,not available
17,The Stream,3yxOXoQGXM5y16sN7TpSe6,Lambert,6pSQcy8935ABNiK2qOpOlK,True,6U2xxftHI11KUGHckT6LE5,53,not available
18,Yet Another Day Thinking About You,45tYLgOLn5vT14pyPpW9at,YokoO,45fzhLbHZdBIgOGQT6M5zr,Yet Another Day Thinking About You,79XkgO0rpwnsOf8iERkMJc,2,not available
19,Andromalius IV.,52egC9eDJzwNm6AGmlFlna,Dogu Civicik,10sxqiasXeDIMeRwSdvCFV,Andromalius IV.,7sM98HNzgmGlPcrnrNfvAX,34,https://p.scdn.co/mp3-preview/0c4405bb948cadfa2daacaa164fe506c680b7a90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Insomnia Dust - Original Mix,7fVs5gtx1xURyanouAoKFN,MUUI,4uprJRAH1f3978H1YMzqWY,Insomnia Dust I,7Hco85D2xYUlpxo8Ybj8m3,31,https://p.scdn.co/mp3-preview/c70e205dbc282633f7d37f24be275a4487a772c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,The Humming / The Ghost - Video Version,1woGlvnE3jyuekOKxUid2c,Binkbeats,7exctwYNULoOlBmGGUwIzd,The Humming / The Ghost (Video Version),7H3dyxZKafB05y7hlJixuU,36,https://p.scdn.co/mp3-preview/a8dc4c389b1b78a3c58bc3c9b7084adb8b695a88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,A1,4elP4pxqgxtQc98VbDmGEs,ADAM TK,7hauEwIlR9Ca94YCGOCmP1,A1,1sIpDI1Tck8VYkLxGxtcv2,32,https://p.scdn.co/mp3-preview/a94096760cd9c1dc10d18e974db762a27de1a213?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,CCMYK4,4U5DGhLm4dP7YlWItrdZw7,Henrik Schwarz,1ooAqaFu4Ac3BO2HpL4V2R,CCMYK4,5QyJXVujHFHCyMlRFG80Xh,27,https://p.scdn.co/mp3-preview/6382aafaf67e2f92331be6c703a830f0280e189e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,DAWAN,3A7ByViji8709hWFd6Mzdb,Apparat,40Ojab0UtVQFjA76qXr8Ot,DAWAN,3IX3F7Iw8r3UmfJWFrEedE,38,https://p.scdn.co/mp3-preview/83265bbedee36752e5d6082f5e4de68701bc275f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Nova,0hNjpXoBes0taQu4rMT8mE,Edgar Mondragón,5I0dT5ftsahh9CXCvwWS0D,Nova,54aylhasfzfYSvLX9mQHFD,38,https://p.scdn.co/mp3-preview/9b9556862adebe1c8c18c89b306be08cdd39c1ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Saint Sunday,4CINaI10FhMxwpKpKxejDS,Caroline Lethô,6gdgoq3XvP0fkqXC85BdsS,Extended V.A. 2016,57CLMkdzmVds55C1hJ8OPj,33,https://p.scdn.co/mp3-preview/e276fb03dae64e72ea8b02ea8f338a221f074df8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Oceanic - Falty DL Remix,5zdrZN9FwoKRpegKVYDKQY,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Oceanic (FaltyDL Remix),7xZ5jrE5XZJQCyu2pq8QvX,1,not available
28,Versailles,1KxIaLgAipzRMYYhAGds8S,Thylacine,5If5Tdg66Q5X3L57G7A6Pn,Versailles,3pJmjFew5LOyvyGZh1HKNL,42,https://p.scdn.co/mp3-preview/e29068bf0961a00d8ab9455dff88cac678e047f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Strafen,4AcvEnzDS0EoRDfnlBDwod,Yris Den,18MopJfVIIWfHc0WKqfjgR,Strafen,5PyffMSmNbXTfQsbePSlzN,31,https://p.scdn.co/mp3-preview/6894f353a75b0312a5df1746675a41598de13c93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
