Deutschtrap,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,371960,spotify_germany
1,Diamonds (feat. Capital Bra),2QpxC2yag7Ec7Ut1dovXKb,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Diamonds (feat. Capital Bra),178ijvdr9h0bZSioIxRFKv,77,https://p.scdn.co/mp3-preview/7f15579652b84812ddf03606106fdf5c77051fdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Fendi Drip,1e9QSdX5uLUw6vbrkZJyXi,Luciano,3CJKkU0XuElRT1z8rEtIYg,MILLIES,1vb7b2AGw1Ko98yX0gJaN1,78,not available
3,Swervin (feat. Veysel),4j9XbTUB40qVOHqapA6EMz,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Swervin (feat. Veysel),3GZEOsf8igpSlMC3bH3DoS,70,https://p.scdn.co/mp3-preview/8206d5a103e7e870a8b16e939831be744db6199b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Run Run Run,65NX0qTlnZTDYzTypKfOWD,Capo,5y9wg9qkGBl0n9v9RzaPKu,Run Run Run,7uq7CHKIM2QXQRD1IHo5YD,78,https://p.scdn.co/mp3-preview/fee938c25e21a662986f1bfb2698757df7449e10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Prinzessa,7r55d7IhAj5UGKiYbXBwRP,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Prinzessa,0065dqIv0oHpm5UWFLI6wx,68,not available
6,Barrio,3mbGX2yy83BtCiPO59mE5r,Olexesh,2Z9KL8Zmqx5Sg3cd7Fldhl,Barrio,1P7Blp133JaG0bqG2oiNH3,71,not available
7,Eiskalt,52UVKsw31NTOCTNPTpwbFJ,Loredana,2Im8m4STDBosjfmb5hmP80,Eiskalt,1X8ggfiXeKkGhGp4zAxQcb,80,https://p.scdn.co/mp3-preview/823e6b41d1c27c07661f33dbedfc62018fd4d922?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,La Haine,2AHJLtc81zIfj9EKcVEzmJ,Luciano,3CJKkU0XuElRT1z8rEtIYg,La Haine,1sSEjB1cw5aogoyZrZc2H4,71,not available
9,Perfekt (feat. Sofiane),38KR9aB0bPkjM4gKhKr7tr,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Perfekt (feat. Sofiane),6r0bCXNhQg24qOwmH6DyTz,69,https://p.scdn.co/mp3-preview/8d8760cf8abec497954e1cfe71f35e0c0ee2c4eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,NENENE,5AiqL0ezAAauDuVK5EJvXU,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,NENENE,5rt2kiCW8jmngIPqBWDnqS,69,https://p.scdn.co/mp3-preview/bd2800d677803840990628170b584fc76fd5a597?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Rolex,38lQ7lYhN3eSWepnZHaiBF,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,CB6,0HSskTof4Pr4FZ5vVMY1Io,72,not available
12,Nummer,7HCTUZPqclRvsiefXWwyFz,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Nummer,3Ju5XitdRwtzziWPj4KuID,73,https://p.scdn.co/mp3-preview/9018de0b11a220622db50ff5e74bd631f827fbb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,DNA,4BD9yUEFI07WaDJ381DDMq,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,DNA,0vH3On6OIWronQ04dLbsBz,69,not available
14,Shot,7yosVOH7pRWrKANBDbsBqI,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,Shot,6hxq1kiwx8mLh3Es8kGIRu,71,https://p.scdn.co/mp3-preview/2abd1d3ad0470d09206d37237f0d3cf1ee77abf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Shirinbae,4Eudc7cdrFkbMeYxUwxt9e,Fler,75ctWsRuGXmxMxnFPkuEwA,Shirinbae,6RUv9MZtqIFGqTKocc0HMx,71,not available
16,FULU$ (feat. Musiye & Blueface),6kUyJHjBWQgmZo4WWW4KXt,Farid Bang,2JwyRtuXf2l6sTnSnGVIa1,FULU$ (feat. Musiye & Blueface),6v96pXabTzKSIdIK4FZz20,72,https://p.scdn.co/mp3-preview/af30443d0cbfab289e2349e8c25b14ad3218935f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,UP IN SMOKE,01vR5Z7AHinp9D2wu2BNQS,RIN,18ISxWwWjV6rPLoVCXf1dz,UP IN SMOKE,6Zq6DgJmYHyHtZbM9DhOPJ,81,https://p.scdn.co/mp3-preview/e7e2971fd976911743aa10a3f0937dd44e4745c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,04:30,4SCM1b1vS70TtNQmO7Lo7B,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,WAVE,4xPKZiJA8wUMx4n58xhZ5C,74,https://p.scdn.co/mp3-preview/bc77c8a8ed5f1002bbaa9dbcb5512e6d9b5bc71a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
