Wochenende,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,471505,spotify_germany
1,Home (feat. Nico Santos) - Alle Farben Remix,2POIEMISkGy3KM718dv8P7,Topic,0u6GtibW46tFX7koQ6uNJZ,Home (feat. Nico Santos) [Alle Farben Remix],4eCnJpIo3df9bPTN7ziUbW,59,https://p.scdn.co/mp3-preview/93ceb6c13228cbb19dfe321b842e112e54c8abca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Hibernating (feat. Zoe Wees),5d1YcXpaA0meOkkcOJaGgm,Moonbootica,1YkHCcMgZ6fTQMeEQyYKTf,Hibernating (feat. Zoe Wees),31pSMpQjwYqPKE5XhnRAL8,48,https://p.scdn.co/mp3-preview/e1747647da62b31d17637b640e6fb922dfede9d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Hungover You,769OywRyTkW4i5l3K3vMUv,LIZOT,12A83CWwFiyXy90ScLWPIe,Hungover You,6Z6MSrQFIVWvonrYXtzE52,51,https://p.scdn.co/mp3-preview/6e4da722f9118b3b3d7a561c8d652a469feb2b49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Love On Myself,4KmfgzXQ1trtD2eY7CtUAP,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Love On Myself,6VW7kUijiZ6DmX9066eMlJ,75,not available
5,Comatose,08jZcQGx52kOxelaTTezkG,Nicolas Haelg,0nwid3SFCGyXxnllTHzHPd,Comatose,7aB6AKPaGYc8lfndyrRWAo,53,https://p.scdn.co/mp3-preview/e9b4cd4cf6ddf86bb45bf378c4a5251e0af491f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,See You in Space,3t0JlkjyJhYlTC7hgp3E3j,Adaptiv,6IPc2gsAni4QtYNmv1U6nc,See You in Space,5ndGcx9uBdskLhxny6U5Ls,49,https://p.scdn.co/mp3-preview/6e34a2d06b9d51d68cf674abd1d3bcf9ee3dc7d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Truth Never Lies,4Q1HcvTHozFOyWQzUTQoK6,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Truth Never Lies,20hcC1XVmHwnG7RQLxU3VM,52,https://p.scdn.co/mp3-preview/cf3d428adaf2e4dafa0e66eb29a56b23dc2274d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Losing My Religion,7C0NmFbuejL7xwBjiRr1Ti,Jones & Brock,21NGSSCu57Zbh4tSgf9WRQ,Losing My Religion,33xzla7ruFsiN2HcgVeh8p,49,https://p.scdn.co/mp3-preview/04a8687887f1ed7e63728b2ac9544f14350b32c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Let Us Love,2Ln8KzONjBfBYoap9lNh7W,Topic,0u6GtibW46tFX7koQ6uNJZ,Let Us Love,2znIiVu8XHg4Drlcctgmzs,60,not available
