OFF POP,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,332468,spotify_germany
1,Home,711gGx1GpUv9YW9KTSfJfH,Caribou,4aEnNH9PuU1HF3TsZTru54,Home,00sZIJm0igl6aBYNktEuSy,0,https://p.scdn.co/mp3-preview/a786e173cdac2c990756e74321782a43b54386a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Dance Monkey,3HCfLj84q3qXdArLlA1dV5,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,797fOEI7XtMW8HMfL0OFbp,80,not available
3,Alibi,0yCL6EMx0Wn8J0jkHp9OWD,Mansionair,4qOzMSukiZoiSjPQw8Zs7s,Shadowboxer,3LwnSZ7lUh1jUWYPNGQ3gj,45,not available
4,bad idea!,1M4Ud66z18wuIq3oOxqVHa,girl in red,3uwAm6vQy7kWPS2bciKWx9,bad idea!,6riOnMD3YhF8kGpAXpxbdj,69,https://p.scdn.co/mp3-preview/f99f14ed1250bae0111186e3edd5086efb4c122f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Can't Stop Your Lovin',5P1eorfAD2voGnX7ZbuvFz,Poolside,5szdY7KaSi7epwyffrbV8c,Can't Stop Your Lovin',4wk1q3SvmE08InkoJKodlW,64,https://p.scdn.co/mp3-preview/38ea5c24cead7747e173803cb5145036a8edf79d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Linked,3rCtueI7qBN2kZBZnXuk5K,Bonobo,0cmWgDlu9CwTgxPhf403hb,Linked,6Eb3lH04iEMK0YJ8gk01MR,65,https://p.scdn.co/mp3-preview/a5edf2b1a999be17263c35ea296cb41d2b72ad25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Never Let You Go,6H15f8zwZSiFE1iseSvkLT,Georgia,06knYh538h5SI7OAEF8ek3,Never Let You Go,29aFzMPjs687GKSJCPLfNI,59,https://p.scdn.co/mp3-preview/a5ecb0597a1cf56961cb52d69c0cebd986fbfa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Contaminated,4uFWvdUqRUjL9LkTULhPzO,BANKS,2xe8IXgCTpwHE3eA9hTs4n,Contaminated,2MMIuj2Fzrsz3sr7UKHZAp,60,not available
9,Borderline,3O8X1DE9btbzy4UH9cSX9a,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Borderline,5zGidcaAvNahQrYhyQwAQn,77,not available
