Folk Feast,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3066,spotify_uk_
1,Out of the Shadows,7B1XhimX3HvVoikbrZ5y0d,Opus Orange,2DtidViVelNGRQW2Znq5Mf,Outside In,0t5MvcmrYOgd8VuQOu697t,19,https://p.scdn.co/mp3-preview/2c69064cc928a3229e36a01104f6c67a00334886?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"Brother, Do You Know the Road?",76JDoy8f4jN2zffY7uhuRN,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Southern Grammar,4POcXHLmnpD7FDe3bvTLL3,23,https://p.scdn.co/mp3-preview/abcfb7ace6d8eb1c1ca49abf6f29f2341006ab5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,If I Go,6UfKha2TAX95dHfOx6muVV,Jake McMullen,0kBHkziT1rQpUBWW08p2dN,If I Go,5M3HD7IDfnTJizPnshtJ0H,32,https://p.scdn.co/mp3-preview/fcc0b0723ace970bb9a39d4a6ef62439c2ab2574?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Love Is All,1OBQdMPd2M31EEwhqRbZKo,The Tallest Man On Earth,2BpAc5eK7Rz5GAwSp9UYXa,The Wild Hunt,76wyyl9FRdt1ACoy0nEpfK,3,not available
5,Don't I Know Enough,0Kl7o2iYhnlKOCTvgkXcPa,I Am Oak,3rkCcFVpbFYCvnNKTT7LUe,On Claws,1CWeRpj1CFgZHIw7OoqP0e,0,not available
6,Man on Fire,5GFfRpAb26A57ao6nxjIIS,Edward Sharpe & The Magnetic Zeros,7giUHu5pv6YTZgSkxxCcgh,Here,6JyPG8lkkHvE1f76H1fysw,49,https://p.scdn.co/mp3-preview/005874eda207d20296addb673b8dd0c61b2a1c88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Love Love Love - AU Master,3e5Ee5GrNzSnCt2laIDm3S,Avalanche City,1PX8bguYn6ba8NaBOJuu8A,Love Love Love,09kk6sdd81BYJY5YFzV2uJ,47,https://p.scdn.co/mp3-preview/a871df2eff73768f40a5e38e97610b6f73805934?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Goodway,4iT50ui4u9zukAooQTEZhJ,Monsters Of Folk,7wcYEfyBTrH0iT6J4PgSTj,Monsters Of Folk,5IYzvGYq475r52HxDuWU58,20,https://p.scdn.co/mp3-preview/8ac7b7f3695826374c463e292f7f3314f652947d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,In The Middle Of The Night,4vQf8BtRmXZa7EOaX3VA77,Chloe Foy,3KSEcvpvbR40uwA4eiSJUa,In The Middle Of The Night,43OAuV9KE8DHnMO7n2EWw7,0,not available
10,To Stumble,1BsCxwNSw8ktsf7SYbl2Bh,Andy Oliveri,1zGaeZv5mMnHI7D698LCzt,Pay Your Respect To The Rose,2F7N55mhSzgWkCXSzMb5OD,0,not available
11,Keep Your Posters,51sqr0itaquGI9mshTADkn,Joe Summers,7uEIBOXinEi2AM6rGT7A1q,Joe Summers,6ytO4zk2STmML3z9ZYL1Vy,0,not available
12,Lost As One,0eys93s2bPzkyHAG5lfCGq,Brother & Bones,02NcimRRy6oEYbad5MXUGR,To Be Alive,4o5nncAzpEKewaMXQ9A6rd,18,https://p.scdn.co/mp3-preview/1d6d52b7c6d7dc52d962738b70e7fd7859e943d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,The Falling & the Rising,1OC3C2g2tbI5zSKwsWtUj0,Midnight Mile,0FnHabe76LxXxkiw8WkWz7,Silence Brings the Morning - EP,4sWByQkonT0CSUhlEhAdgj,0,not available
14,New York City Rain,13u2JDE8vMB6R2z2GolHTK,Chris Tye,6fEJx92WdzNhxOw0bJ9HVV,Matchbox Stand,7ok1gT2J9mOjOz57clGOzq,5,https://p.scdn.co/mp3-preview/bad6cd4595cf0b8923baf48964a2786629fbdeb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Far Away,5GYaHY8438i47fwW6aJcez,Thomas J Speight,4D2PoRGMNBKZE1eBIpRxuq,Together or Alone,3eKN6Ioyyh8ViSXBivZOUg,4,https://p.scdn.co/mp3-preview/d97042ac3d8717385a1af8d61279ff5abadaa09f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Not An Exit,7E9U61EA6swGhGYtgGYLzJ,Twin Oaks,2EhsRPMmPKBic0M4pFJkWk,Not An Exit,0KpSUwFYSPbbNAJfwt0QjK,0,not available
17,The Dancers,0szqLQYZWUjtmiNR1hHRiw,Rosemary & Garlic,7MZvYitgCWAOaKjxdm2S17,The Kingfisher,0wYOnQ14Bzo8RqXmZxjz7y,0,not available
18,Echo,2TitMuNAjbUFgmAAHCEErQ,Adam Lempel and the Heartbeats,0AS6P61aAaD8BSuV0dnFnB,Adam Lempel and the Heartbeats,2IfnMj8FsRt7o8QkFwNrRP,12,https://p.scdn.co/mp3-preview/e1513c5c799c0ba71de120eb661ad63baec04e54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,This Must Be The Place,1XNypoAwJ5zShNIDsaqqJT,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Sing Into My Mouth,7HXvXyk3wOhwLX3RM7ewGc,3,not available
20,Once More With Feeling,71kzSDnmw1CG4ihpeLjc1m,Julie Peel,0ZatCBdBCqqXtLe2tUUNug,Near the Sun,0uL22tGy4MVSWVSOHN62Sl,4,https://p.scdn.co/mp3-preview/ddc73bfa4fefd5c30e6668074818fd09e1cd15c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,So We Drift,00lkH627C6QDaUW0CDL3L8,Novo Amor,0rZp7G3gIH6WkyeXbrZnGi,Drift,6mapHMrJtKxySBe8aGvatu,0,not available
22,Sailorboy,7iTlDpGGgJkjLMuWl8RFn7,Love Like Birds,3tYRQcOZMAo7uZ6UnZUlOG,Love Like Birds' EP,2hdagPXUi8R9IG8aDr1a7Z,11,https://p.scdn.co/mp3-preview/4ca97818ef737634dfc49ae8218a894f92d10ef6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,The Great Escape,0NemNX2znA1VVuUFBUpTra,Patrick Watson,7bPs6jf983f0bjRAt1yxDM,Close To Paradise,4qnlwasiAmhwy58lCX7GaO,0,not available
24,Mrs. Cold,0wi8l8td4g1AqsiLGvMzbi,Kings of Convenience,41AbNVba2ccpmcc9QtOJE7,Declaration Of Dependence,1jsDXIvC8IFffURwvjwxfS,57,not available
25,Mother,0rECQZW9qNDAFMzexFhCA3,Cocoon,15h5B5quwDm2C1rhbtvUPD,Where The Oceans End,70W4zRpexYYJZRUauTxTMr,0,not available
26,Are They Saying Goodbye?,6zEMzsBKL0ljltbnvGmico,Ane Brun,2L3kwZFd16zjHz9a5kEPAm,Spending Time With Morgan,5h4INJQiRpzTdTSCPdCEMS,0,not available
27,In Our Talons,36FofngFOQTDHsx7Iwgr2X,Bowerbirds,4MoGkOmfK6oKi1Isc8Iv9m,Hymns For A Dark Horse,1OkY9kkuLuHLcxvbAA44kO,0,not available
28,Reckoning Song,2t8enZHPCb0OGEUGPJO2Sg,Asaf Avidan & the Mojos,2TwepUY7feaTuipStcyzLZ,The Reckoning,6HalW18bbvUrrEWgJ2y6Mk,8,not available
29,That Look You Give That Guy,62gytJuWGNY1CiPLFNNATq,Eels,3zunDAtRDg7kflREzWAhxl,Hombre Lobo,0iJm9xwZ5CRsF9sSFPSLGN,2,not available
30,Home,2ZQyksYO4zzhyHNcueL0CP,Phillip Phillips,6p5JxpTc7USNnBnLzctyd4,Home,3ZZ8jN93SBl4v8lF79eVzS,17,not available
31,Bottle,6m2P0YQOVRQ9W9Y7DpA3CR,Texture Like Sun,3VLQ5ZANI2IGJ8mns2cRcM,Bottle - Single,4ysJZU9iOZt7f6jNpcotCL,30,https://p.scdn.co/mp3-preview/ae6db0f1d4297e3ca8a2c5369b8152ba1ae394d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Wasted,3cdrrtzZCJUx47pKsnb7F7,Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,A Book Like This,1CE2LKHcDf4rQmdF2GegUd,36,https://p.scdn.co/mp3-preview/7a7240884f2a93c35fc170a8a5a1202576175df9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
