Massive Dance Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,742756,spotify_uk_
1,Destination Calabria - Radio Edit,5TmFTHZp7HjBXjjsFvCY6h,Alex Gaudino,7vb7VLDqpLTlAy1ctTMR5d,Destination Calabria,4sRexfGVnXMBJ1k5RW5WT8,69,https://p.scdn.co/mp3-preview/7e1aff2c135a45d4595a4a984281cb6cebc0a5cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,4zrl5YGi2OqMar45Kdn4BM,LMC,69QKcDt724e93ZYkBSjsYP,Take Me To The Clouds Above (LMC Vs. U2 / Remixes),2jOxjU5Mw0eIKQIFohnghC,59,not available
3,Pretty Green Eyes - Radio Edit,71NJqORRmwlcZSLk0VsFjU,Ultrabeat,596ByjVYnslGJIHxEBGjF8,Pretty Green Eyes (Remixes),58OdGlUwUexxHJP8lp6QWk,60,not available
4,Dreamer - Janice Robinson Vocal,6wetvpPWooBdmAEOKnDhpo,Livin' Joy,3PUzVXdNnsJGPDTIU7xvqu,Don’t Stop Movin’,78Iw3pQjjmhlZ9JqJsFl71,60,not available
5,Set You Free - Edit,6EKMwaNzxKVwkX4BD8t2ds,N-Trance,45InkbGypoMk5nVX6dsHkt,100% Clubland,7FQQSKTRD2nMIuO5WQmHaM,51,not available
6,Tocas Miracle,08zdy4lrvZ1s6OBcpd0gBN,Miami DJ Collective,4X7dzCzqTd2brov4vp8IIn,Shape Up & Dance,5FNwt5F0v8ECukNoRl7tpb,50,https://p.scdn.co/mp3-preview/6769a8006b8f9f9dfc789976f61f6d18d4638b55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Lola's Theme,5mAh5J4w6BEZkajB1M7XrB,The Shapeshifters,60FV7KyxIH9FH1uq7u8inP,Lola's Theme,0thmU9CS6evNvZSso54yCU,64,not available
8,Turn Around - Radio Edit,2nx86MrPkXWQctveAEFJBf,Phats & Small,4WLGcWrkSExCqILxDk7ol6,Turn Around - Single,0ekbBXoxN1AsU6dMJxpyzJ,62,https://p.scdn.co/mp3-preview/14a1d0bf9689282133308cf4caffcd1792d94af6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,You're a Superstar - Radio Edit,0o1CpOzg6GA7L1PRnocChr,Love Inc.,3l92Uh3rqMSv8blPDWNTZx,Party Hits: Summer Edition,7A19ynZIohLCG6dr9k44rJ,54,https://p.scdn.co/mp3-preview/4029794c32702ff8afa76187285cef87f31cbbfd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Stereo Love - UK Radio Edit,6TyXieyAu2z51H6VMPKRI4,Edward Maya,6XwwFnewNgWp81MYMK8zLq,Stereo Love,1g9MChpxVdgoyA7kMbcnfj,60,not available
11,Heartbroken - Edit,3dhzZ068rKh2fRB2uitX18,T2,4Q5MS10mWfrDyiXVeAAzVd,Heartbroken,64swz2DD6MbqPA2hXTvdru,10,not available
12,Let Me Be Your Fantasy - Radio Edit,6Kj5J5oNZymOJl0eBTh5W3,Baby D,33ZOI0WTjYkLh5WuwucLhc,Let Me Be Your Fantasy EP,7tGw0gXS1zYLjuL2wVcsWo,4,not available
13,Another Chance - Radio Edit,0EvphKjVl4hVGvvAFYoJt1,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Dance Floor Anthems,7yhnBLWv6EZ5BRY8oYLdYC,59,https://p.scdn.co/mp3-preview/e4fe82db9241ef04a792bd58e20f853d9403df01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Holiday,69lthMmNtlYX3woh9LK3yx,Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,Tongue N' Cheek (Dirtee Deluxe Edition),3D8oReEDS5wROmx2DbxX0z,8,not available
