Easy,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,308224,spotify_uk_
1,Sing It With Me - Acoustic,5VoAmDgLauPPfUNcVasc6G,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,Sing It With Me (Acoustics),1XK0ARZ0qqFBLfH1IoA050,57,not available
2,Favourite Ex,1a1SQeSqUKzH5OUVTEx4ae,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Favourite Ex,0hIIlNhG6PZoQxCmSA24Uz,74,https://p.scdn.co/mp3-preview/57c84d691c92ed70eec76175eb2c67eb1bacb924?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,when the party's over - Recorded at Spotify Studios NYC,6H7fWtwEUHVfTyZD7zeG4w,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Spotify Singles,65mtbxKKczJgxPUeyVPUrc,76,not available
4,Castles - Acoustic,7gVS92mQ6SBwxpl0bSQSTd,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Castles (Acoustic),0bX0JvaS7M9f2x1VvICVxj,55,not available
5,Outnumbered - Acoustic,7FCdJdGEOBCHqZAYRoZAWV,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered (Acoustic),4nk0xj3tr6st2yzimGINin,66,not available
6,Meant For Me,6qwGdW7MnqS7n95YOTKFaT,Lewis Watson,40ELTAg7Kg6vbWnlyx2n9R,Meant For Me,6Ayd3EDMuxdmmjEC6PGCMO,28,https://p.scdn.co/mp3-preview/353a8f23611af57e9cf80075b4056d1a5193cb02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,All That Matters - Acoustic,5tAkpRX2FCx8XWQOzb0zBL,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,All That Matters (Acoustic),36t1ObyoXjycfyKsYWHdIr,63,https://p.scdn.co/mp3-preview/36df58302074efc179493709bd5c62c7a2b83cbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Bad,3xRcQ04b0l5RiU2w7lJhCD,James Bay,4EzkuveR9pLvDVFNx6foYD,Oh My Messy Mind,2aIsEIVLrAP75xdEhdVm1d,74,not available
9,Isla,1q8w8yw4JRO8k1iMWJDiak,Toby Johnson,6aWiYkCceJsc6lorPBdvIg,Isla,28s2XfmPA5wWVgWQC4JvEe,50,https://p.scdn.co/mp3-preview/2c98f76c62c1ab67f560e5038db0b653373fd184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,America,2ydhxOqJQrYEETtWcuD06y,Mabes,1kTrYYWMLQsBKlbINUg1Su,America,165tYANcQE4kZWM0NHx6Y6,60,https://p.scdn.co/mp3-preview/c6b31ec30e0cbe4e4b9230061490a49030c462b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
