Ibiza Sunset,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,239094,spotify_uk_
1,Linked,3rCtueI7qBN2kZBZnXuk5K,Bonobo,0cmWgDlu9CwTgxPhf403hb,Linked,6Eb3lH04iEMK0YJ8gk01MR,65,https://p.scdn.co/mp3-preview/a5edf2b1a999be17263c35ea296cb41d2b72ad25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Retina,4Dlf0expNuCNzBEL7yytZN,Joe Turner,6mWRj2iXabH0pqlYnqYMup,Retina / Stay,0fvdyiNRkHyE8OhCLvfB9s,42,https://p.scdn.co/mp3-preview/607eec6227c489f925a4b0b3fe7bfd1b236771f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sacred,3scH3LfC2eyoX4zd5sp759,TSHA,2kLa7JZu4Ijdz1Gle2khZh,Sacred,4DEhXZRlriX0ZRJvE5dU9i,45,https://p.scdn.co/mp3-preview/358ba4107ebf8761b80ccd8da27c9669a137ac68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Free of Debris - Folamour Remix,1A2UE3IXICVrerorkk0pg4,Morcheeba,6bWxFw65IEJzBYjx3SxUXd,Free Of Debris (Folamour Remix),3l2inFjceagP2KPW9zupXo,43,https://p.scdn.co/mp3-preview/60df6a2218e5612b562394ac50edbd58f81ead0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Beginner's Luck,6adjXENHRzh4uyVziFlVGm,Maribou State,7zrkALJ9ayRjzysp4QYoEg,Kingdoms In Colour,70FGsJuLXPQHYdKmEZZFq9,61,https://p.scdn.co/mp3-preview/277be0eb7a09b64dc99d7be7c9512707babfe6a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Dreamy,42AEBg2mJ3xV0oJvQXlMgQ,Marquis Hawkes,6BDLwOIauGwERNYxaOciyq,Light of My Life,6sGB0qJBmsILPKj7w6dmKE,48,https://p.scdn.co/mp3-preview/282feb919904c8fafea86de9f9a50ad7a3a81840?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,2daBeat,1BpG59DLyW6jZxN2PYiUA3,Super Flu,1iZiG82D4w7FLHvOUUj4zW,Musik 3,7vHtRLKLA8ZkNBN3kNwlT6,56,https://p.scdn.co/mp3-preview/cba89382ab21f50011df2216d2e2cb0212d591bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Moon - Edit,0qC6CVPzhHF8SvLzsJAC4c,TSHA,2kLa7JZu4Ijdz1Gle2khZh,Moon,2uwQGLZKdEHJMfEYgPTlZ3,38,not available
9,Back For More,2cXHOvzaaqGCk5Jv9yct0t,Ted Jasper,4PfXiTCDXTYEobjXjcRFNW,Back For More,5d8sqcPfuKrj53ZBYSy8wI,45,https://p.scdn.co/mp3-preview/7e1b5139bbcf2ff5f9ecdfc0ccdc7e5493ca73bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Nervous Tics (feat. Holly Walker) - DJ Tennis Remix,6FEDMxhIewYQdzxFuB5640,Maribou State,7zrkALJ9ayRjzysp4QYoEg,Kingdoms In Colour Remixed,4KBMoononZPCM80QtfOzXd,43,https://p.scdn.co/mp3-preview/5b27ebbea0f8313098f239dd94822d1702f6bf70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Tiny Dancer,6jX75WLcCee0jUMg1kE9X3,Elsa Hewitt,7xwbnGpTJA94MgILLAeThK,Tiny Dancer,1VfohC2oQbxzKv0H9UUqx1,38,https://p.scdn.co/mp3-preview/62568d962ee7c94e725e6060cf9d89f2e3c97afd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Nobody New Around You,33OTdf4l4rnrAMIc6FPjh1,Daithí,2N5V735dwftKHqBpx9YPrz,Nobody New Around You,7MQyqBx6A1JbidrUgYWveK,46,https://p.scdn.co/mp3-preview/e04e80eac6467190a28091686ae8c7e35b66c135?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,It's Good To Try,1c7O3CwjXh4GtkLHh6riwk,Laurence Guy,1PTEiCpkzNkLNgMi1LL8JR,Making Music Is Bad For Your Self Esteem,2uM2WWarpblam6YIsk9pAo,39,https://p.scdn.co/mp3-preview/dc9e5fe8cbc89f418b47e669d2575c4422d574df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Hungboo - DJ-Kicks,2TbtpyknAMjF6JT62ww6kg,Peggy Gou,2mLA48B366zkELXYx7hcDN,DJ-Kicks EP,6NYvPsNqxcFXiNkeNi3sBx,55,https://p.scdn.co/mp3-preview/599256e7d4b923356e64070b22f61dce01ec6be8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Hemma,3y0kdCDS69w3b41XnlGgOL,HNNY,6Yae9Ia1nq6JLLojBzwN1r,Hemma,6P0hX8rddGBTBBVnagxfR3,7,not available
16,British Summertime,6AWElb3A8ZE1iZe8PjuWix,Bent,59xljcfdN2Z9VX2U5RFKEa,From the Vaults 1998-2006 Vol.2,33lBpS0mVv49w7EDw5BRiX,54,https://p.scdn.co/mp3-preview/42f07d722a975bb682ebc126ef4076416d0f7cde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Loops For Healing,1RL9gghbn6lqDyCTPteNfB,Octo Octa,2GH8Mzo3Ur1AdOnGUUpt17,For Lovers,1kV1CYyGYVePD90IJ7ZzYZ,42,https://p.scdn.co/mp3-preview/23853c8c02532802f0d5d46f996ac5c265459525?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,U,2tYctbOGPK2OZ2g2wKipgj,DJ Seinfeld,37YzpfBeFju8QRZ3g0Ha1Q,Time Spent Away From U,4HhdC1y4XOl56QnyEWhjDF,7,not available
19,Rishikesh,6yqYYtWq8adm5RCiCRONqI,Jayda G,3NKVm2Jedcf6ibJr6pMUVx,Jaydaisms,0GTpJe1gLshpt4CssdQRSn,40,https://p.scdn.co/mp3-preview/5419264277179b9ad6692a90cd39bff1862d5e1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Dolores Park,1zuYkeynhql043LhzlpLsy,HNNY,6Yae9Ia1nq6JLLojBzwN1r,2014.12.31,3pw1fE5XRqKpA5NtEBcngw,41,https://p.scdn.co/mp3-preview/c7aee91c4e4c40165caa1f8ade3aa31d0b5619a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Searching For Signal,6Hqt1Fvtmebm8FIaJOwjEk,Chaos In The CBD,0QOQc6jEsPX5Y45TV0hXQy,Hydrate EP,1X4AfBEtMngYcVObm6QKq1,42,https://p.scdn.co/mp3-preview/8a79facf52d06095cd1dc3b8c1a31164b0bc2827?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Rex,0IkTUVwAZuJibQCddlt5Wz,FERG,4WUnl8sNbzqlJPZkX3Psnl,Rex,6S92KN6rEEGGV5N36td8fJ,37,https://p.scdn.co/mp3-preview/a030187763c997e0eea4ff3bb13fa961e25e2dec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,small talk,2C7VzkQt8CEqr2qkueHiCP,Seb Wildblood,51Rlwvwkj8L3zakIRr6dUV,small talk,0gnsZmbviCp5VN6QFcihfh,38,https://p.scdn.co/mp3-preview/a08b8ca4474e767101d75b312b35ea78ed5a0a8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,4:20,7Bb0O4hmvyRKcj7Yl3MnmW,RAS,5quzk8QzHrBaPWz4JH15cj,RAS,0jQ3zArVV1wo3Fjobq1pG5,39,https://p.scdn.co/mp3-preview/c95e06d782dc43dae4a507f319e860e9c2c60a34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Pink & Blue,2XjRIFpALuD2lgQVxVUKwS,Tycho,5oOhM2DFWab8XhSdQiITry,Pink & Blue,1Qd8Dbca7apJiE4hKrFzwU,40,https://p.scdn.co/mp3-preview/ac8cc62133df20417df116a9123989f4533b8df0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Truth Is Light,2XTfdMl5x2qgGl9ZVjmNhF,Joe Goddard,380fnmlGnkyueBMqGWx2k5,Electric Lines (Bonus Edition),3IbY6WzMWrPx7ZnqMfEkd6,60,https://p.scdn.co/mp3-preview/b0623ab590531b3638cb9576a995f8a1a1b0f8c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Stay (Warm Edit),7s1HxpgOVxouwuLfQNzFpx,Elkka,5Ly0z60jjgsY4rkmjRFtPS,Stay (Warm Edit),2asUKelGk48aZnWUtQLB1M,27,not available
28,Night Service (Whatever/Whatever Night Version),0zQZRDXG0SXPUt45LuIa4X,Jacques Greene,0ygIgsjUzKivFgxgjQ9iV9,Night Service (The Remixes),0kxtHU1jeO0l22oFw1uQc2,31,https://p.scdn.co/mp3-preview/f48b028ee6267943f8692b9d65ce13e7bd49905b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Siberian Goose Down,0V4jOFyjSNScUuCn7O6tFc,O'Flynn,7LTSTQkL7iK7zndjFQgHQo,TKOTN / Siberian Goose Down,76BCoEud6zFzwxGge3u76C,41,https://p.scdn.co/mp3-preview/099c2f2a35efa5a34ea8bc039865b0139de75158?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Marathon,4BqRD9aJLCZqYUGK0ObcuL,Kornél Kovács,0Ij7th9uWcDVYNAIOn5W22,Stockholm Marathon,1y8E97vb4VzPzXZnsFO5Jy,42,https://p.scdn.co/mp3-preview/2bbb6b97cc96f58d2bd3914912ed9ea38ba28819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Making Movements - Baltra Remix,6FalTkmo0IU0Vy7XbKjqp8,RALPH TV,4ClXiGv8w47iekyGEmtAyy,Making Movements (Baltra Remix),2A91BBWe1U9C5witjYi7lS,38,https://p.scdn.co/mp3-preview/80ae71f38cdf9fcb7dccd4b68efb47d496e45cbd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Les Nuits (Radio Edit),1y1xQf7kcYtk96q3iyl7jJ,Nightmares On Wax,4tNxq9NGKTKaX8OkZBLgf0,Les Nuits,5x9ex9cqxZWYe0bYqsPk4r,41,https://p.scdn.co/mp3-preview/c455cf980230ab43f6e6ab84141cf630fb075f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Vibrations,4NqKg2LV80B1Q8q2a1zAdy,Detroit Swindle,6hJtgCB3L5cnJSND7sp6GU,Rhythm Girl Swing EP,0yrazUH6D8SdVu3usRgU90,39,https://p.scdn.co/mp3-preview/357d72ce10afabf9dc215662bdb17a5ba354f403?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Glass Shards,1Yhkq1TUW3d1WYyhS7Vt9g,Laura Misch,0NrVrf231eji48nhNUJTXe,Lonely City,7067zgNsGbFQdkyS6jL1wn,47,https://p.scdn.co/mp3-preview/4ac08c887437213c0886d844d5882b081881033c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Heron,72vbNSCDx0cIQpxMaZuqNj,Palms Trax,52XSRQqTAfZ8ZrIqkQvQyA,To Paradise,64jvb64H3iNncpeLsp2Clp,37,https://p.scdn.co/mp3-preview/3517d237d9e24a5c495bf69e404511a891b6856a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Silver Linings,6Ad5TdlevXBRsOsYhCbgb2,Catching Flies,4zAOqBfNLyWFvj1e3yvypJ,Silver Linings,0JPGUlvwYA8enb1XhaUIbh,39,https://p.scdn.co/mp3-preview/05d0d73525b7536828660a84d1547f6085ca3124?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Sun Goes Down - Radio Edit,0ko8LNAAqO5fFaxjrc3O3D,HEIN+KLEIN,5wGMxiL4U64AOTFb3XbTMU,Sun Goes Down,1rNUJncQ2FyqEvgkA6ZOWK,45,https://p.scdn.co/mp3-preview/db4b508f3b61f715a33fe96d3cf35b9dbbd0c9b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Nova,0hNjpXoBes0taQu4rMT8mE,Edgar Mondragón,5I0dT5ftsahh9CXCvwWS0D,Nova,54aylhasfzfYSvLX9mQHFD,38,https://p.scdn.co/mp3-preview/9b9556862adebe1c8c18c89b306be08cdd39c1ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Talking with Myself '98 (Canny Remix),1mqgumZf8MUmNsy9tIWWI3,Electribe 101,03E0TlGIGYR5G3vzkjGrtv,Talking With Myself - Remixes,16vvi1guYbBkEhfqhbiSdF,43,https://p.scdn.co/mp3-preview/df978fb4a1b4e8af709f06c2e9c283a2eefd13ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Sera,74cn3Rd9iV1my9ST3Si2Xm,Asierhans,4hN3QFUZ6g9QKTvy5TI0qU,Day One,0idk2ck3PCZBI5lccb3FMg,34,https://p.scdn.co/mp3-preview/49a8b163409afb47355f95859f61277a32c5755b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Weightless,4sQlaGXf6u3jYnqPzGmoZ4,King Monday,77jpzy5weUPR09kFXk7Kus,Weightless,0VhJptCjMb85vOqzwJcljn,12,https://p.scdn.co/mp3-preview/d046f5b54c03c1d6ff34328b63ce2209955c849e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Fruits,5lrOjZ4h5Lx5xFxQkhG49l,Moomin,5GyUtaUuEnR7uhRF3jDj4s,Time Circle,2m44k9HeFmTNC20dMGHU0A,36,https://p.scdn.co/mp3-preview/9508e6560bbed6709b370aeb2b136ac6a48cf865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Down 2 It - Edit,5ALt2cmmvmY7XNeEfKA26z,Ruf Dug,08Jin8iRNko0j3gewozB0T,Down 2 It (Edit),0FiR5NaTszpT8fg5qsRKaB,36,https://p.scdn.co/mp3-preview/d356ddaece6dc01672ea6714296a6ad232bc6762?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,(I Am) Human,0X9veVzkoydHcP4FqON9cS,Fluida,3QvuOoePuqI8kHbA920MYM,A Self And A Mind EP,0pKimPjCPfmM91zVVG10DI,37,https://p.scdn.co/mp3-preview/66674d0e5e0d334666c6e7ee6110570182e09fa8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Solitary Refinement,3rzYSppR0SRvRW6LJfUZYG,Neil Cowley,3jrpFxybBbCCh7EGCXMfdB,Solitary Refinement,63uBgb5mfLO0SQbFCe49zm,38,https://p.scdn.co/mp3-preview/2bda03ad6696cc95f4b40e79ef0207df116477d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Alps,2i53VTwL981M6liUtus9FQ,Dimitri Veimar,4xtrZoOZTAmsq7kNRSmxO2,Planet EP,11QygQJVrLQ8gAzHN2eqTD,35,https://p.scdn.co/mp3-preview/407e2dd7bebf6e146595079c27368c9b43cd4a61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Ella,6tHtqQ2VYGqgcjh5TAMunF,Kendl,70kLAtCzsMiSqLU8qY7QQC,Ella / Manyara,5XtGBGivm49kzDEWpSPjaI,36,https://p.scdn.co/mp3-preview/a33145ae7411a4d32fc1ad2353ddd4f85fdb4233?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,It's Not the End,36aCTJfCvPccCHj8iA4e3Z,Harbor Tea Rooms,0Dw0INyiFoEym1rU58stVQ,Ikigai,4zY19XJHJtRj36g60SjQgd,38,https://p.scdn.co/mp3-preview/0dc0d74b450e62d5e7f0134e57b33777658e4241?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,XME - Original Mix,27WSFQu4FJ1tqX07f9PRaK,Pional,49mZfy9v5oNXAxp8FadWwI,XME / One Night Stand,1vjzgpSzy4sKU5kFAHMdFG,39,https://p.scdn.co/mp3-preview/c1fa93c34438e1ebe5d56db91bc19df4c81c0d8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Benediction,5RJc9Ex116Dx1zHGUOZGgX,Hot Natured,4aKZ8rfdsQeR7YSskFu9V3,Different Sides Of The Sun,5w2vOtzeCbWhxcrHTzkwO6,55,https://p.scdn.co/mp3-preview/7722d73c04f46238ecc87cf017d469cf7a26d616?cid=fa83a2fec7c440b7a2795d600d6b2c7e
