Ultimate Road Trip,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,61436,spotify_uk_
1,Highway 61 Revisited,6os5B6xjuke9YfBKH3tu1e,Bob Dylan,74ASZWbe4lXaubB36ztrGX,Highway 61 Revisited,6YabPKtZAjxwyWbuO9p4ZD,48,https://p.scdn.co/mp3-preview/6233d6760c70d6d2d35658b37d8e9eaf0737e387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,On The Road Again - Remastered,1R45EyWM83EVqPOrDWtZTG,Canned Heat,27a0GiCba9K9lnkKidroFU,The Very Best Of Canned Heat,6tFVTuFanTqdlTeTtTz0ag,39,not available
3,Walk on the Wild Side - Remastered,5IWaBDlSj7YMGW7IFGLFEV,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,The Definitive 70's,5VNZN3Z19EUyeEax31nAee,2,not available
4,Ooh La La,4lJ6YVXQ0jUk5ILu0PSrA4,Faces,3v4feUQnU3VEUqFrjmtekL,Ooh La La,4eTVgxB6wm5eGvesA4cUN5,70,https://p.scdn.co/mp3-preview/2652374b71b4c7913481e345b9a5bb318ba3a67d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ride Like the Wind,7gUMShP1l20tC0xf17Zplk,Christopher Cross,695W5F2Ih8dYahLdjVOIoH,Christopher Cross,2m2nl8cBT7bEgIA6LLmgah,65,https://p.scdn.co/mp3-preview/f4e0f304f07c7ec2c5f99f4316970c83b8633f9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Truckin' - 2001 Remaster,7cer0SfbnGwmwJGu6lF2BB,Grateful Dead,4TMHGUX5WI7OOm53PqSDAT,The Very Best of the Grateful Dead,3qzvxfhCWUYsJuVSOSv0AP,48,https://p.scdn.co/mp3-preview/b4721e3fd4d326698bff4a9a2a92ddacefecbaff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Kids In America,0q4xWbV08szzUpGPhVsrcD,Kim Wilde,73a6pNH4YtLNgDbPQwXveo,The Very Best Of Kim Wilde,0W8AprzSATgTr5urju5yYz,15,not available
8,Road to Nowhere - 2005 Remaster,2co8fDyaVmxv8xruQWORnC,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,Little Creatures,5Dja2ASXd7MOM628iwYdtA,61,https://p.scdn.co/mp3-preview/2d66bcf807b48d2f2939f548fcdded042d8508dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Cars,3CKLPDN1AIOYa7QPpy6oDH,Gary Numan,5KQMtyPE8DCQNUzoNqlEsE,Premier Hits,26Q132EhFDzrSjpYhmMQph,9,not available
10,The Passenger,3yP0cohcr97BUNJcgvmSVg,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,Lust For Life,7ynKEunH8LSit4TR3foMVC,21,not available
11,Into the Mystic - 2013 Remaster,3lh3iiiJeiBXHSZw6u0kh6,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,Moondance,5PfnCqRbdfIDMb1x3MPQam,72,https://p.scdn.co/mp3-preview/e80d5c0efd271bd14f752d6c7ef11202e89d29f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Six Days On the Road,29fflNwELe8dHQ2zN4IAGw,Taj Mahal,1aTDTChWWyiJH3SEnYrdVp,The Essential Taj Mahal,2PqzqwqXkeDn5UoL4WSkV6,29,https://p.scdn.co/mp3-preview/b5ab24e2ecadde790f8345e9a82f11e1c653a8be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Till I Gain Control Again - Remastered,2DHoZH84E1EujXggZlgEfp,Emmylou Harris,5s6TJEuHTr9GR894wc6VfP,Elite Hotel (Expanded & Remastered),312OEZO2boUMqdNMuuip6h,40,https://p.scdn.co/mp3-preview/88513519f2bb2b82635b1ad4ebc5664ddcc90453?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Dee Tour,20OV3COMIypdLOqywOidu5,Karen Young,3vOSs0LEPDM2iCBK99VJzX,The Best Of Karen Young,6G1LTm46vsrExpEFd1Bb1C,18,https://p.scdn.co/mp3-preview/a585c320e3a71e025a5a15f913e2f9e2ab4ee299?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,"Ease On Down The Road #1 - From ""The Wiz"" Soundtrack",6IUTkogN6itN7rMDo5ILq2,Diana Ross,3MdG05syQeRYPPcClLaUGl,The Wiz,7e2t4ffh03Dz7ngo0I1P5S,0,not available
16,Sexuality,4rXzck0csqstoLS7CTqlRi,Billy Bragg,5yXAFDZNUNyO92l5WTImkO,Don't Try This At Home,7MKuyfppiqPmxVa5wK3GlQ,0,not available
17,Drivin',2px3gydEFtEutUlrztNWeG,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Arthur (Deluxe Edition),7jf6D9BJqcGaBF8C9FezqM,0,not available
18,Looking For A Love,6RLWLQXfIwEAL7fHOne3kI,Bobby Womack,0vqkz1b2qBkoYrGMj2CUWq,Soul Sides,6KKHZmdxcO1tnD6PXnldcE,11,https://p.scdn.co/mp3-preview/2a2f3a186ddbe067831379bf2f267d5e16684bb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Road Runner - Single Version,6rsuhv2L1C1joNh1DBhrVS,Bo Diddley,2bmixwMZXlkl2sbIbOfviq,Rock N' Roll Legends (International Version),0X8E5lUCriTpvGa6dudywW,0,not available
20,Cars and Girls,73rnSkWusiKg4Xec8W1mN1,Prefab Sprout,4w3QqrcmBv8dasemwBXmxf,The Collection,0IZBNyZn1RCcFp7p3Kmk7z,26,https://p.scdn.co/mp3-preview/76ad7d2a95f46a9666996cba945b35623ff4d2bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Have Love Will Travel,5HPXoKxc1Dx44KgC7oNxtB,The Sonics,2g3PKH7Z1Ofn5oGR6oDjLy,Rocknrolla - Original Soundtrack (OST),0Ro37CuTGSat7ly803Ls2C,1,not available
22,"Travelling Riverside Blues - ""Top Gear"" Live Version From BBC Sessions",7DeqwGznUgAZFopnM8xtqs,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,BBC Sessions,61Qn5YwV7doXt2R3AI971s,1,not available
23,Diamonds On My Windshield,5atVmHjjWzHZYoHq4dCmzL,Tom Waits,7x83XhcMbOTl1UdYsPTuZM,The Heart Of Saturday Night,7MLzdbFViVmpQdnNmxQXoE,0,not available
24,Stairway to Heaven - 1990 Remaster,51pQ7vY7WXzxskwloaeqyj,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV,1Ugdi2OTxKopVVqsprp5pb,70,https://p.scdn.co/mp3-preview/da57b9497b855355f1874eac17817d25eb90b71d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Me and Bobby McGee,2WbKNC4c7OCiSqv4WGR3BN,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,Music From The Motion Picture Watchmen,5643V0ojEFh2bULWiPhuhs,5,not available
26,Apocalypse Express,3bF3lsE0Fzl8h53MAaLnmx,Judee Sill,2IkwqvwEnXFlZEq6eFP1wL,Dreams Come True - Hi - I Love You Right Heartily Here - New Songs,0zDCCoAnleKFNPqQee9MIf,16,https://p.scdn.co/mp3-preview/5f0ca75fd17383b7ec7a7d9d9cbff9dbc5859167?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Wasn't Born to Follow,60QHYadNcoxojU2Ar5Dc45,The Byrds,1PCZpxHJz7WAMF8EEq8bfc,"Eight Miles High ""The Best Of""",6roFTKHm1XiLhHTKerTO7x,16,https://p.scdn.co/mp3-preview/16198359574ec60680c2d57c0591904652aa3ee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Train Song,4isZunlXGO354O5pHNRruu,Vashti Bunyan,4chuPfKtATDZvbRLExsTp2,Some Things Just Stick in Your Mind,7H5N65DtbZcVt2fWhusYNf,2,not available
29,Short Change Hero,2inSaXfDWLkOfwYPZItoBw,The Heavy,0bZCak2tcRMY1dzEIuwF42,The House That Dirt Built,6GJl4impgRmt2MY5CY5BbW,8,not available
30,Hold the Line,4aVuWgvD0X63hcOCnZtNFA,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Toto,1mnu4hYvdwQgZXcNvtJ3D3,76,https://p.scdn.co/mp3-preview/3f451d46def07f436729cd5b48d7d88a7d48dc4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Diamonds on the Soles of Her Shoes,71GvlH0VdeClloLIkHrAVu,Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,Graceland (25th Anniversary Deluxe Edition),6WgGWYw6XXQyLTsWt7tXky,64,https://p.scdn.co/mp3-preview/75b35e78582e255a34e69a9b30bb12f6a9bcfc9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Roadrunner (Once),4m8Uj8yu78liS57VosLtr1,The Modern Lovers,2eRdPaLHWAL4d1WcNUO9Vz,Roadrunner: The Beserkley Collection,5iKbwJTf8URd3TSR3xlsuH,0,not available
33,Black Limousine - Remastered,0xoYN2alNDaN0RuM8mjUqy,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Tattoo You (2009 Re-Mastered),1YvnuYGlblQ5vLnOhaZzpn,0,not available
34,You Can Move Back Here,7DWxLxyT9aUqsXr8IEIPJc,Richmond Fontaine,2zTCLiQ8OUIWEyV6eZWzFy,We Used to Think the Freeway Sounded Like a River,6B61LG4GzFuD32wsd06lAS,12,https://p.scdn.co/mp3-preview/2ffc40ee09cc6320dc758c8409761608ba234af9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Queen of the Highway,1tBMs9Rmw3UMvPJrsXsUyL,The Doors,22WZ7M8sxp5THdruNY3gXt,Morrison Hotel,6AFLOkpJjFF652jevcSOZX,47,https://p.scdn.co/mp3-preview/f3ab25cb8e3453d970f49b7b204dac5c9dd2eed6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,(I Live For) Cars and Girls,1NdAWvRw9bOXqJq3jJW7Hs,The Dictators,2Ohpu0UE5PFDgfhUxEi0Fy,Go Girl Crazy,39ZIit32CoCg83Hl0bJwgN,0,not available
37,Highway Star,79q7xFOodcfIVbpNHjE2gB,Deep Purple,568ZhdwyaiCyOGJRtNYhWf,Deepest Purple: The Very Best of Deep Purple,2jm9Vixt3Nn2oE4VtOVUD8,43,https://p.scdn.co/mp3-preview/027c0a9ef8e8526f84a7b7bf53aed96bcd05ed53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,The Weight,2UgZeV435iztRTLrUeOrtk,The Band,4vpDg7Y7fU982Ds30zawDA,Best Of The Band,4RMbnuwtOMbN3INQcaJwUr,53,not available
39,Just Couldn't Tie Me Down,4UVYYMslvxQkCRa7SKbTpj,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Rubber Factory,6OphQUjIBIZHXzugkjMjxz,0,not available
40,Lakeside Park,1uks4PzFz665NtodaVP6L1,Rush,2Hkut4rAAyrQxRdof7FVJq,Caress Of Steel,4DLaDSQdt2kpln1OEfscVx,0,not available
41,May This Be Love,1Y6Dv0tWYUP3Za2Es9FUL2,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,Are You Experienced,7rSZXXHHvIhF4yUFdaOCy9,54,https://p.scdn.co/mp3-preview/3b296744864224472c42315010bc18d926297aa1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,2-4-6-8 Motorway,57gJ6kVr4Pcg21uEpE1V4M,Tom Robinson Band,57YVY9QP1mhqc51WqHln0e,Playlist: 70s Pop,3sh7JcTiFAok8V8tdSmr57,37,https://p.scdn.co/mp3-preview/983588b704b3c03020c7d390513871d7d27535de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Wuthering Heights,5YSI1311X8t31PBjkBG4CZ,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,The Kick Inside,5NKTuBLCYhN0OwqFiGdXd1,68,https://p.scdn.co/mp3-preview/3aaf3ec1603f1f8c9a8b2c5925bcff0319790a5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,On The Road Again,5s9wyZPvRc38hswkwEkxsS,Willie Nelson,5W5bDNCqJ1jbCgTxDD0Cb3,Playlist: The Very Best Of Willie Nelson,4MeIZnJo7peKj8ikuc5A1E,3,not available
45,Like A Rolling Stone,2aILnkFPaqqcjSeMHVpyTr,Bob Dylan,74ASZWbe4lXaubB36ztrGX,The Definitive 60's (sixties),4B5tAsWRbuik1yAOzdZcuX,1,not available
46,Life on Mars? - 1997 Remaster,2MyNVTCYMp4LBzUY1Q3vXQ,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,The Best Of David Bowie 1969-74,3htuY0OiwfkMfM6NJCRyrI,34,https://p.scdn.co/mp3-preview/d5a70cf39aadec3ee184ed4fb7f5483a9a7a79c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Ramblin' Man,6oKDxTVTmz89tKsB2ZwRqt,The Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,The Allman Brothers Band / Rock Legends,5QhEKDrrCovDx3FxsnuRTI,0,not available
48,King Of The Road,3ddVMNawf9ti6vqFeZ6rQi,Roger Miller,1RP2UpEaRzkF0Id3JigqD8,King Of The Road,2wgpgDRa0ILoJ5VBqmZerE,48,https://p.scdn.co/mp3-preview/2ae38715d7c13d4b2be787c3a7a0f5f8a56f1c5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,(Get Your Kicks On) Route 66,4F0PYMdi6Q0CL3qR7u5ml9,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,England's Newest Hit Makers,65ooWFjVpom41DROsgUbE0,0,not available
