The Pop List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,651089,spotify_uk_
1,Love Me Again (with Jess Glynne),359R03sj5qiwy4j0TqvLog,RAYE,5KKpBU5eC2tJDzf0wmlRp2,Love Me Again – Remix (with Jess Glynne),2xmB7JeP0mZQRuxspwwRi2,69,not available
2,Something About You (with Rudimental),24Hzd4FPhz0HPx9jhM9cap,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,Distinction EP,0xiqgV5gVnjsKVWpBqXyaO,61,https://p.scdn.co/mp3-preview/75705ae7c893e0c6af8a3c27694aa23637286f77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Motivation,0rIAC4PXANcKmitJfoqmVm,Normani,2cWZOOzeOm4WmBJRnD5R7I,Motivation,2r6BEK0wzXbL8JHyCkeJkG,90,https://p.scdn.co/mp3-preview/f6877dfe11a1c9ea4731947219a956cd18c6a7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,92,not available
5,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,82,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Feelings,0y675KDleCZEudjoeL1sQQ,Lauv,5JZ7CnR6gTvEMKX4g70Amv,Feelings,1MFxXAGWNIuz0X1hS9VRiS,85,https://p.scdn.co/mp3-preview/542f5d521155b6839d135e41e08d232982cfe112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Graveyard,6V9fHiv84WlVTg7CSnIVY2,Halsey,26VFTg2z8YR0cCuwLzESi2,Graveyard,66QwiCFDLtRbrZ5Vs9wlL9,90,not available
8,Do You Miss Me Much,4x6O9trbmMCafB2BnRAyyE,Craig David,2JyWXPbkqI5ZJa3gwqVa0c,Do You Miss Me Much,6oKG4dQ4ukOokZGFKWIMo2,64,https://p.scdn.co/mp3-preview/9afc5b5565240c74567dcdad01d2cad5e9db31e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
