Very Nearly Nashville,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,107440,spotify_uk_
1,What If I Never Get Over You,1kqVSbwdlNKsPGv0aehcAZ,Lady Antebellum,32WkQRZEVKSzVAAYqukAEA,What If I Never Get Over You,29nEDtxAppakEN3LIDZD4a,75,not available
2,Place in the Sun,4RQdARC6X4nbQJfebzYnvd,The Luck,1ZiLKiDuHyrckm1ubrrYtK,Place in the Sun,2Llw00M1NHddyUejHuCTwQ,39,https://p.scdn.co/mp3-preview/349618c99eb868289da09bebf53b7475a8c67e99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Beauty in Your Brokenness,0mOx1iVoAPA3lNHDGlavZN,Wildwood Kin,2KOxHm9lGE9lFZDQdebD6B,Wildwood Kin,0gdQ8PGuLpDQnOKWMfOfBH,31,https://p.scdn.co/mp3-preview/6466e901ce4176a2b3e0c78b629147cae4e542a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,We Were,6JOeNbZ3X6dtXusG3hkHn8,Keith Urban,0u2FHSq3ln94y5Q57xazwf,We Were,2yXYlRyEDDjZwKJ9nZbSib,72,not available
5,Someone I Used To Know,5MWj28tW4Kt3ISnIXdTQux,Zac Brown Band,6yJCxee7QumYr820xdIsjo,Someone I Used To Know,0eznD0XpmDh5Js0tqEMHPc,68,https://p.scdn.co/mp3-preview/1ddb5bd78e94b39d1b2409603f10fb60f34417bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Breathe In,05jMBDlGSJgIqEuw5xo38F,Ward Thomas,0xBhUB0EfzvchYnaIWkdBw,Breathe In,2td0d4u3UYjWusxqccZVIo,48,https://p.scdn.co/mp3-preview/2e458caa2a0bf6b43c18aa383e47ac05d3ed3469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,One Heart To Another,1OxdfwY8faL2y35bCUn3kK,Maddie & Tae,34bhyY8jfKez7uKakMfy4y,One Heart To Another,5SGkWkCxDBxdiMZZ92ToFn,53,not available
8,Rodeo,4ak7xjvBeBOcJGWFDX9w5n,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,84,https://p.scdn.co/mp3-preview/f618f9939f60ff4db2122bfd45a7e58be558d583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Broken Arrow,5jKJlIno2OGIauEMYGVivQ,Frankie Lee,5YK4Q85VupOqHLBsYaeqoW,Stillwater,11UYXSq3fcdcB4jCTUcRQM,34,https://p.scdn.co/mp3-preview/44d84bf597da5cb15ddc49172a68031438e13481?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,90,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Social Babies,0A8YtSv4O8Y6i3RVRDBIz6,Twinnie,73zbrZKfIqOfVWaSM4k71b,Social Babies,333QOXr4z6hWxX5IIsGIZB,41,https://p.scdn.co/mp3-preview/abd0217691a31731bcf6c86eb9bbe35365224c97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Lightning,2qV0kK2qSBmJpvKmM3NFVr,Holloway Road,1Kxrrv2sb3CnCBX1wACHSq,Lightning,5tHp9LfAByKiSzE10ciV5J,36,https://p.scdn.co/mp3-preview/999d1766e0fd976ee4705dc2c88b6035f3f5601f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Love That,6R5orfPIOuk9YoV7GnOz2h,Seaforth,1ryJB2bhfYjjIt8kqy4BoG,Love That,3uOBdfK51I9H0mko4OMoH5,58,https://p.scdn.co/mp3-preview/ac3ccd44f083006f6f34ce4762389fe29926d24f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,I Am Too,2Yg7CpZF6qplQLz4N0BW3z,Runaway June,7yPbJOX7olhT3ynAyuj3Zl,Blue Roses,0BUbVHeDmGXl3lzOENF9Wc,44,https://p.scdn.co/mp3-preview/d99e3a5aaf4f878aafe31cc25e1c50e790e51726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,The Water,0bD6x6TRWNu4Um56wOOHON,Gabriella Cilmi,5v2GEv1pQaCp6oeOQROdKE,The Water,4mFQyL8JznNGYq3t16uA0h,31,https://p.scdn.co/mp3-preview/9a15c76a3f4d00595949b47f2ea4f32d14cf1056?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,The Blue,0POIPW2WjXSyLhFA7rhDjQ,Alice Wallace,3bjvwCwQw1L6zbmG1y29Qi,The Blue,0gCiqF3DvzwvgXeYc9CDCt,36,https://p.scdn.co/mp3-preview/bc582a17bd1deb818060b9f5b3a45b1e46edc93e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Flying Visit,1UKLsQ48vSVbYkPZZ19V9m,Ferris & Sylvester,1LnhhjMNydIGawXsnfNhCf,Flying Visit,2HihnyOIa42nLcadqHaNCX,28,not available
18,Watch Me,2XVcwo8kIRVPadU8BIUInK,Lisa McHugh,0hdsor8yel8RFdw4HA4RMP,Watch Me,6BoHBbIQrwT3XWFc1EZypT,38,https://p.scdn.co/mp3-preview/9a43d31a56167673e79f2da64bf2d8b7ec0993d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,City Beats,4ZidtVuf30mS8RXN6kiVgN,Hannah White,4jBAAVKZyTtkEbIaHYyR9l,City Beats,5rLw96GhMAVPNJZjZq70gm,35,https://p.scdn.co/mp3-preview/b470c88aab6e78c2dc80ed1b58f0a909188e0098?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Center Point Road,1ZBH3RN8bxxBJE9rFoZwDT,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Center Point Road,1FGFqkB35zDg0TtrJJWNqW,61,not available
21,Wasted On You,6pZUVd9yyVNkjP9OMBcdTH,Kaylee Bell,4J3TXBvAMckFbTxqxNYpDj,Wasted On You,5V2QuTscc2vFziTXtrc756,50,https://p.scdn.co/mp3-preview/fdc04dcef2a0a84d0bccde44b8629352c44b8265?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Freewheeling - Summer Mix,3pC1H84UDxBspK0kYoNbTR,Jake Morrell,6AMQifmWNqLxpJZhxVTJYN,Freewheeling (Summer Mix),3cncXLwy1EB7tHnoVvDoYf,35,https://p.scdn.co/mp3-preview/3fb71b3f673d14f04e550beabb6d1f8fb8726a14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Wildfire,3JReNn62aM6MfNtPCkwDpX,Emily Mae Winters,32DWWN4wxy82xoUR4gLdsA,Wildfire,4u3ax2v7CNAOG7gyDzePfR,34,https://p.scdn.co/mp3-preview/cac50396b6ac45812d7b2b7d7c50c708ac450e69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sing Along,0JwtuqKYYCA1iJ5cubotGW,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,SOUND & FURY,2ITJBRqMwZ0luWBnnZQ4Hq,65,https://p.scdn.co/mp3-preview/40a05b0ed842ee729f81d69caf81b9056e05d65d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Movie Scene,6CUmJ994dhY8ZN3SPpRk9X,Bailey Tomkinson,3SIJnnckGx5KwXlmFGfKSI,Movie Scene,49O5DoZUtzH1DeTfZAGH8Z,38,https://p.scdn.co/mp3-preview/100ced8d72fb0d1da6e5ece32a366711d8865e19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Never Alone,7mEjc3ahPCmNuh0Pg8MRgE,Wildwood Kin,2KOxHm9lGE9lFZDQdebD6B,Never Alone,3Uy4qD8TGOKPodgYfpjUhh,37,https://p.scdn.co/mp3-preview/d75d1208fb53818f8d743562dab1490d19deb015?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,The Old Me,4Sue4IgfhJ15XbSJ6JOC1P,Jess Thristan,2rtfPkaYolh8brr0j5MVuM,The Old Me,2zIzIJuy0Q7bnyaOv1Nloe,35,https://p.scdn.co/mp3-preview/7dbe310ad387deccba114711538d65f58bb6da8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Signals,7758OMHtUD1iTHsJaNiUHF,Letters to Daisy,3S1K93gdL0Qlwv0KlF0hzO,Signals,4PUk4O43bPOJU6E3OxBMjn,34,https://p.scdn.co/mp3-preview/e7439f2873ce6d6d92d33d72eb2abc62327b681c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,On the Road,6XjPS8xF0I3SOlMPW88sg0,Donna Marie Songs,4NnfkppHhdO0gg8U6giW1k,On the Road,61BOrMkLt1u9PtCfv60U9Q,33,https://p.scdn.co/mp3-preview/dbccd8b7803b749dc517eae784c684f29278d217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Brake Lights,6KSEtiu8G3KP1X8aPXdjhx,Rachael Fahim,0l7PmxcaTok6bxl67BX6XT,Iconic,1IZ1XLQY0PfS7ZaxC1XSsT,29,https://p.scdn.co/mp3-preview/039eccee3aa859613710643dc170305ca15ea738?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Selkie-boy,3bEJYXRnOSP71CV6Na0EaY,The Lost Words: Spell Songs,5GL5xJTQ7CG216T9L2C0gz,Selkie-boy,0UZ41s2FpA1FBrW7wFhBBl,35,https://p.scdn.co/mp3-preview/299b0c6fee210f55dfab9acd3fd5c9a77c409bac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Y’all Boys,7BgJrMEAiwiw6lCqWZD6Pi,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,Y'all Boys,654boyGhfvAWg9ZHFqUe92,52,not available
33,The Crown,1LEOpFhhTdJvI8MnvlfVeN,Wildwood Kin,2KOxHm9lGE9lFZDQdebD6B,Wildwood Kin,0gdQ8PGuLpDQnOKWMfOfBH,41,https://p.scdn.co/mp3-preview/3c389deee54d075649cedd71460a989fd334aac1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Matthew's Daughter (feat. Devin Dawson),5lPYiHC6p5iXRtxOnGffiT,Beoga,659fOqEHzm3jL8AeWuOwXO,Matthew's Daughter (feat. Devin Dawson),6Z9epNjW6s5jLRe12cE0L6,49,https://p.scdn.co/mp3-preview/52ba73c5bc95d0d2ba5358126629a3368e9dc01c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Better Off Gone,6IqUm14MgoKbwt6jdGBikH,Logan Mize,7tje8UB3cuR1ZfeJx2U38T,Come Back Road,1xCo4ulACLVZ6lbYaQKQEL,69,https://p.scdn.co/mp3-preview/314a65b4eba6b21b7dc45b324b9fddfad65c4096?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Little Wing,6W6xbvrkBXRXALFVDYXeMq,Valerie June,4QZdOCb3UacKbQ1ybDFAKM,Little Wing,31ouv0slZULXCbafbGF0kF,46,not available
37,Drunk Me,3N2AIfVOq6NiTcWHIP4Oco,Mitchell Tenpenny,1p6CdzJRoicjRcSdWoB9Qc,Mitchell Tenpenny - EP,36Hros61c2dlrO3A5ZapaW,18,not available
38,Closer To You,7xELq8WliIctkuvWXONX6d,Carly Pearce,4sIl4BTo9l9KqEi0Y3RE72,Closer To You,2MeiGrtUTDghhGTImZuF42,63,not available
39,homecoming queen?,1s71G3V7XQaVo5IOR6gLbp,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,homecoming queen?,2lFDv7V3owbyWPJ2Ln5h2J,74,https://p.scdn.co/mp3-preview/b48e810e0950f16e1e8352de28f5f746caf8b0e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Kiss Somebody,4f3fb3alVLFc8Ga4ncpg7x,Morgan Evans,6fzQ81ouajOEFqCIB9VwrS,Things That We Drink To,7CgrejBVsP6OeA3WgxDPPc,69,https://p.scdn.co/mp3-preview/47559b56a7fa0835bad5565b80e49fd36b9d1f8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Landslide,5XPTKgKIuFzSinSUKfrYZk,Andy Brown,7jDFhYWDrh0qzdG0op40UL,Cedarmont,1su801cFXN57dqGWV8sN1u,35,https://p.scdn.co/mp3-preview/de9abf1492119c8633ee9627497f9b7a2b664285?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,When We Go Out,37n1gSqzeLZbgnxzBQM75F,Keith Harkin,5mRROw71EceBbR8KutvmOx,10 Years Later,7FYrWINHbhzj7YdQtVfuAt,10,https://p.scdn.co/mp3-preview/3797713136db8d4e5f7a1dc06ae975d869ae3b99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Get the Girl - Radio edit,7N341MRYWLY5fz5sQbSRdX,Holloway Road,1Kxrrv2sb3CnCBX1wACHSq,Get the Girl (Radio edit),1JyDhCa270a1Bg1tO5Ozew,33,https://p.scdn.co/mp3-preview/ac1805c15d726b728d528ab62112ce1c69f22641?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,The Hills of Cinnamon,5eDKTzK2ulTI7lR3NCqJbI,The Lilac Time,1cMcFL2NdeUDYg0OtD1GeA,Return to Us,1XLNQvlxsixBBbbgyLkD0M,1,https://p.scdn.co/mp3-preview/1c0dcaf46349b8c2f0217fe94badc54f335f4802?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Girl Goin' Nowhere,2lyEpuvVOnNGzV5c89Vnpf,Ashley McBryde,371jpyGdoChzUASOIG2ECV,Girl Going Nowhere,2FeaUU9jFydTIsVO5F8rNU,54,https://p.scdn.co/mp3-preview/649aeefc7e62acb296e38cfa277770a8fef61197?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Thousand (feat. Lisa Hannigan),2QlPMIhutG3WHV26Eza8u9,Rosie Carney,3Aut8hgiqZSy2qmJluZMU9,Bare,11uRisUr2dNqeKIn8dhB3Z,67,https://p.scdn.co/mp3-preview/4b4434db83c1c617d1d164e9aab8b9b3eb4874d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Lie Like Me,6liuBUOD6mPYwqwy6pxutg,Ward Thomas,0xBhUB0EfzvchYnaIWkdBw,Restless Minds,5wIJ5KSFs23rMjn3JDoTR7,37,https://p.scdn.co/mp3-preview/fd092c562a73f967f65b4271a61f3e9077fa0cfd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Merry Go 'Round,5UDqWOgDdixYMAgAyNbpgh,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Same Trailer Different Park,6IGpQUt0KNi5rBUXZZOFI6,61,not available
49,Guilty,6soeVwLfg0BmMi3mCdtP9X,The Shires,48hCuDf2HUMGTgMhqLfic3,Accidentally On Purpose,5Oa2ntjwl4Ao49v9ArJCti,44,not available
