New Pop Revolution,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,160853,spotify_uk_
1,Afterlife,6PFyGdWw0qnstR8KJAWrrr,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,Afterlife (Dickinson),5172ZzQfuoa0joJIekZCDa,76,not available
2,Some Say,4poybupy26pTWPr9zY1i7h,Nea,7nqlScm2smydSRl13eaP8E,Some Say,5pCAWYym13GcQN8CXEb89m,73,https://p.scdn.co/mp3-preview/d3ac475db72a68005ee24a616aabb355145f3af2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Hello My Loneliness,7s1pVBcyE3WAjIKDTu4q92,Delaney Jane,3fuxStOqQv8TiytHeuGiE8,Hello My Loneliness,4Es2JrBlX5GYELe2bdoCWt,61,https://p.scdn.co/mp3-preview/885c69b3657571691c1e1ecf3708c075bf30d842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Easy,46D0hYb1B7qiU33VtXt21W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Easy,514p9UpvibpBhShFgpZaxS,43,https://p.scdn.co/mp3-preview/6f5009b375be1030999e0daad648da898eba3990?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Shoulda Been,0IyOXuRbcDWpSaGmqswmvu,SIIGHTS,59wzcVw9vvQvKIEHddgF7n,Shoulda Been,6KBmAqG3AXFx2DquN22slk,43,https://p.scdn.co/mp3-preview/d17d4271cdbf40b77e55e24c43d77c95f449e4c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Waste,5eV4XhCZT6QaeqK4nVqIEo,Dove Cameron,2W8yFh0Ga6Yf3jiayVxwkE,Bloodshot / Waste,2GkFw24RAab0MJNexdE43z,66,https://p.scdn.co/mp3-preview/be97fdabcac6320611e8408a138afa6b3db95ddb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,66,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,smiling when i die,7yCyhsU75MYdbeqRLhLY51,Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,smiling when i die,5bHqzyMbrdJTLui0HQdRG0,70,https://p.scdn.co/mp3-preview/3da66e1004253e1ad83b53a16f59bc5628c55010?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,How Many Times,4Bzm2OdnJD7bVWeqdHU8uD,Molly Rainford,3tYGIUJfYvYgbq3qKpjOlY,Commitment EP,0aAa1YL383souTDqtTsrCm,37,https://p.scdn.co/mp3-preview/021a163504c5279a83d7110109c91eef55840d1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Slow Dance,5FNS5Vj69AhRGJWjhrAd01,AJ Mitchell,6dn6x1XOng3LOAnfTjUn77,Slow Dance,3tnCAhqSU4V0EEgYnrTRuD,75,https://p.scdn.co/mp3-preview/23a45aa698c2ae20a755154c6459ea527f267efd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Don't Let Me Down,6B9ldF8UNFJRJLfTu0mDo6,Glowe,2RZUpkLcPheIJuXLexerK0,Don't Let Me Down,51M8aQc7TIvm5iWbCTnOgS,41,https://p.scdn.co/mp3-preview/3f21d230bf93d6503e8e2951ed52cab2746ac50d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Optimist,6qu92JSTOFopWLTgFnnAIC,Evie Irie,2ReivzVeWl6GawKNyVTLmK,5 Weeks in LA,7Ccf3H7eKKFRyQjnMDAkQ9,52,not available
13,Wild Girl,3IqwOIVNLdBs7av6n8Plrt,Kito,3FLUBwpAnaIlIKeaBfsxFe,Wild Girl,5gjaKIotnXLPTsb9lvp5vT,61,not available
14,M.I.A,3QqXIxIUYW9PVeCiYDNUWG,Cher Lloyd,4m4SfDVbF5wxrwEjDKgi4k,M.I.A,0Uclo3Ca1CK4okCv3h6PNC,25,not available
15,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,75,not available
16,moonlight,2HIaDofqzTiB41a5CsuiOh,frogi,0frlcBV9pFq0Ip624rdUen,moonlight,3uh3cnlcKIvQUANMd2Sy6D,36,https://p.scdn.co/mp3-preview/ba3be722078c5bfc570fba67b926cf2819ad265b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
