I'm Only Happy When It Rains,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4129,spotify_uk_
1,Take Shelter,5AJeDwoBgQz32OEaQz14yB,Years & Years,5vBSrE1xujD2FXYRarbAXc,Take Shelter,2dzxJbiJKhQo2aqUrtjZP0,36,not available
2,Only Happy When It Rains,1yea9mxOFUgcXOt5cgiBT6,Garbage,6S0GHTqz5sxK5f9HtLXn9q,Garbage,3gcPVCFXfShcfVtFdMBXNG,56,https://p.scdn.co/mp3-preview/54588e502c272cceb81d045b2e2ac72a9587f9e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"Green & Gold - Live from Spotify, London",7i7YuOz9VtxCrUmWlZgtQN,Lianne La Havas,2RP4pPHTXlQpDnO9LvR7Yt,Spotify Sessions,6k5wZGeFAgaF8zI6JoguFV,23,https://p.scdn.co/mp3-preview/d4c1786cbb5ce09d8094332fcf97be6895a956d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Paranoid Android,0LTZD4vTsp0EN1wXatc9IR,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,OK Computer [Collector's Edition],5bNn3KPcrlgLmhRXj4d2EX,4,not available
5,Anyone Can Fall In Love,5lClOLW67gELiHeQBLC8zd,Kindness,6SYIsHAQ1sPokVxmzpaDBU,"World, You Need A Change Of Mind",0iw5phulHXROOAF30bOrqO,23,https://p.scdn.co/mp3-preview/c5201992fa9570dae13784ca49a4acc9cf65aa88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,No Sleeep,6sfsSWPSWjOJpgDpkujHu6,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,No Sleeep,0nE0jpGoe87UZQ2RK2tYkI,12,https://p.scdn.co/mp3-preview/d3756a786ba8bef5b6ecdb82e13f92aac9421290?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Wayfaring Stranger,2oGhOS0lp9rFPpd61RonLp,Jamie Woon,1fUMEn4Yk7ZUloozE0fRLL,Wayfaring Stranger EP,4BwqIQOjJYXDwaOlr3zqI5,33,https://p.scdn.co/mp3-preview/e86c01733cb6bd887c1f498daca0091a848417d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Everything Happens To Me,6iCXohDr3gENvef8KilmNM,Mr Hudson,1zV9UjTUevjp5VUddqIUUn,A Tale Of Two Cities,6WmXJbPmLROp4WkCGrMSOZ,13,not available
9,Wicked Games,137wbDM4s2ugav7MKO45O9,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Trilogy,7g9RcHiOu1Di3B4Js96Fz5,8,not available
