Teen Party,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4002815,spotify_uk_
1,Easy,46D0hYb1B7qiU33VtXt21W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Easy,514p9UpvibpBhShFgpZaxS,71,https://p.scdn.co/mp3-preview/c56216be5426c927962636e64f4b67981b06a556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,blackbear,2cFrymmkijnjDg9SS92EPM,hot girl bummer,37CqAwxTungNxKpIK5vSgE,93,not available
3,Dance Monkey,3HCfLj84q3qXdArLlA1dV5,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,797fOEI7XtMW8HMfL0OFbp,79,not available
4,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Nice To Meet Ya,3KrYBAbfxlssMirZLs6HzZ,80,not available
5,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,boyfriend,3zVB99XMdbP9HTVNg0GJwV,94,not available
6,I.F.L.Y.,4R9ATNRRl1uth17i5qDCc0,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,I.F.L.Y.,5Q4g8NWSgDf0AEE0Vy7bz9,66,not available
7,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,83,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Stack It Up (feat. A Boogie Wit da Hoodie),1xU2QZ40MY4Ex2pfczZa9U,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,Stack It Up,3R4bm24vpp2UiKr567EtAD,79,not available
9,Lights Up,2plLJpUcYPFrl1sW2pMG63,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Lights Up,4Aag1alBrdk2TFnATVmn8D,81,https://p.scdn.co/mp3-preview/aacbe5176d00ff0ea6cae1977ff71a1ac0d92af1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Circles,4VginDwYTP2eaHJzO0QMjG,Post Malone,246dkjvS1zLTtiykXe5h60,Circles,75n7rjlC1fxezRtoMQmtL5,82,not available
11,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,91,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,93,not available
13,Afterlife,6PFyGdWw0qnstR8KJAWrrr,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,Afterlife (Dickinson),5172ZzQfuoa0joJIekZCDa,76,not available
14,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,2wY79sveU1sp5g7SokKOiI,How Do You Sleep?,7baaCf70tVcUBL2bbkuXjo,96,not available
