The Weekend Wind Down,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,40588,spotify_uk_
1,Hearts and Bones,46T1ANxhnavY7eD0wWFtOn,Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,The Essential Paul Simon,4kdOH3s9cRL9YykvHFpSlD,35,https://p.scdn.co/mp3-preview/1d5e9e92b397de49ebddb5a963a5f56044d64d94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Atlas Hands,4C9kCkhaZcbgk5IyZoPFjC,Benjamin Francis Leftwich,7D5oTJSXSHf51auG0106CQ,Last Smoke Before the Snowstorm,2llC1TaaFaKVDEveEq9hXW,2,not available
3,Big Black Car,3Kj2EWpIBnvETsYq4cq0IH,Gregory Alan Isakov,5sXaGoRLSpd7VeyZrLkKwt,This Empty Northern Hemisphere,06UoTVgpPiGnRPGjowrG3g,67,https://p.scdn.co/mp3-preview/33d0366daf0a31c0c7ef3d3dfd3661a1ff684f22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,To Be Alone With You,3K9PY33TKt25UXX6YymFQq,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,Music From The O.C. Mix 4,0UGpMXZjVZQnOcO1j5NVCn,3,not available
5,I Can Bring Love,46ywq7NGyAfnv2hGIpkiJK,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,To Whom It May Concern,2B8Ai6pWXyYb8IaVtet1yN,0,not available
6,Wherever You Are,2TLgg4GpTctFeaJKLG8WnP,Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,Angus & Julia Stone,5vHEg5Bla2RHel4mfIlQUF,23,not available
7,Night,2gTBvfIJD2VflftLe2O9Ta,Dark Dark Dark,3UORxcctdWi6drku1qOrol,Flood Tide (Original Soundtrack),3WUZz3jMYiPoUzo9IQFW0K,0,not available
8,Lion's Mane,2F55aIDkke9UXhBiFWoBvK,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,The Creek Drank The Cradle,2V3rsfrAh9uinNeNwR1MaH,0,not available
9,Friends,0dij6a5LPNyH8P3EomFeR6,Meg Baird,4NkfNPTsDtbPntbU1pBYVt,Seasons On Earth,7kABvRj3WDpYdxR9Xj95Ee,13,https://p.scdn.co/mp3-preview/961413060b1e019a76a87e28bf0c431d3105a1f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Running Through My Head,0SEcsb1Li3MlDhuZmsukpZ,Simone Felice,2tfqowGe1sXV4u2ZUZCW9Q,Strangers,4C7MRNFaH8AqAZ7JrQ0W5C,12,https://p.scdn.co/mp3-preview/28dbe4f4333b2015282155043b41c96ce2941914?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,My Lighthouse,6Faknw08BA4mCeKNOMQisX,Villagers,2m1l9MLSslzup4vvokKgvQ,{Awayland} (Digital Deluxe),4fD1uoU05A4d9A7sb2YcCr,0,not available
12,Girl from the North Country,739sLmfUkVFoyPtb0C3263,Bob Dylan,74ASZWbe4lXaubB36ztrGX,The Freewheelin' Bob Dylan,0o1uFxZ1VTviqvNaYkTJek,53,https://p.scdn.co/mp3-preview/9567e5d58b8eff57a5f5c7797672535d2cf2e7f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Grace Cathedral Park,4vVMUzdYX0DCfgefWcOBOg,Red House Painters,2GATzeg62cr6sH29wSOVWe,Red House Painters I,2jyD7ec8W1FDFctmr43B8n,0,not available
14,"Please, Please, Please, Let Me Get What I Want",6f5o6vEZUz71SWw9P9m6CM,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,(500) Days of Summer (Music from the Motion Picture) [Deluxe],0PXyit5G9tFl7btBSa8sQy,0,not available
15,Wild Horses,1hsrmBpddP05q7XvJA8ehw,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones Singles Box Set (1971-2006) [Sampler],6In2W0PN0sp3DjhjmbRuQ5,43,not available
16,Homesick,0WeqauIUZSjsupDGXsXWsP,Kings of Convenience,41AbNVba2ccpmcc9QtOJE7,Riot On An Empty Street,5QE8eXeN0q8M7atLb1fT6c,57,not available
17,Take It Easy - 2013 Remaster,30IBvpPNjPYe93fSiiNcTl,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Complete Greatest Hits (Remastered),21SQdfthbXUibmA8Jtf30b,44,https://p.scdn.co/mp3-preview/1dde876336ceab70ad0bbf832a3feff49783c3ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,A Pillow Of Winds - 2011 Remastered Version,1XBdENtl2D7fHHoKf0WuHp,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,Meddle (2011 Remastered Version),397UShovgBCMVxbnDXMjUN,0,not available
19,Free Fallin' - Live at the Nokia Theatre,05cLHUb65Na1jBi9KC2oUT,John Mayer,0hEurMDQu99nJRq8pTxO14,Where The Light Is: John Mayer Live In Los Angeles,24Bbmix2O8f2mpDR1bhj4s,9,not available
20,Ring Around Saturn,0YMrMfFFH5TVG7EZj9V5vM,Dead Fingers,5TZNvC6pnkFTjNpJWlfwdU,Dead Fingers,7n5WB6Ru8AGg3oNucc0M96,0,not available
21,I Don't Know - Remastered,10FLYqpqDN4uo6eWtD6WEB,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Hello Nasty (Deluxe Version/Remastered 2009),6eGYLONkDMja0MNtZWnRRB,49,not available
22,These Days,1MD4tX2g5hx0D2WQ6JsC2m,Nico,0IwlY33zbBXN7zlS9DP2Cj,Chelsea Girl,4jcbc5NOowR1ymMlCMwgHZ,15,not available
23,Husks And Shells,05PxNZJfr9OTpCo2JjH0xe,Volcano Choir,6gAtOqhriLzOzb3Qqmg5kO,Unmap,03RN67Pc5FEWgZnqKgncS6,52,https://p.scdn.co/mp3-preview/358ecaef331af1c274d920659ad2c4bccb6723e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Echoes in Rain,0YdJ9sgBxjqK74oFLOx64c,Enya,6uothxMWeLWIhsGeF7cyo4,Echoes In Rain,3cIOhmhGz4sdi2jbU05TlJ,32,https://p.scdn.co/mp3-preview/945de6c8976e7d1935218e8905c29457d6f04ff5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Saturday Sun,7sXTokBfIyPG7WOjjCLSJD,Nick Drake,5c3GLXai8YOMid29ZEuR9y,Five Leaves Left,5zau80zbjOc2uEO5P1olK1,12,not available
26,Candy Says,35fM8c1Q36wdOn4e4IfP8w,The Velvet Underground,1nJvji2KIlWSseXRSlNYsC,The Velvet Underground,4kR4Yr84lErTVOaZ0uiULu,0,not available
27,Can't Find My Way Home,7t20AEMjEBgO2V4VCt2VRQ,Blind Faith,5GUVj2b1lJ4DolQyHlzyaO,Blind Faith,6DbV9aEOPxY5hxJOObyxzU,9,not available
28,Young at Heart,20Ecl51K31i9fpFgF8d0zE,Covenhoven,4LIT8mdtAtzP41gXEEyQFG,Covenhoven,1dGHr95p8sbBxGamhRp0P1,30,https://p.scdn.co/mp3-preview/cb7a1b939c21d4f711a8a28db8cc8e060903dd92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Down to You,3eH95cySq82dDtpwrGCCfQ,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,Court And Spark,2akjxkzFolkeV72Yyv5KrM,41,https://p.scdn.co/mp3-preview/8bded077790d21c72a041352e5685ded033dadb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Song For Zula,3cjimTXToU7PtN6NfLqCEG,Ronnie Fauss,11GrxvoB2O9fec16HlMSyC,Built to Break,43d6KcQZ7mfwCbE76wYkuG,0,not available
31,Cuddle Up - Remastered 2000,4ZueRj5bCgbhBWV5kXWZee,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Carl & The Passions - So Tough (Remastered),632t0m8ejm3Geu5rW1CELD,39,not available
