Chilled Pop Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,198592,spotify_uk_
1,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid),3E12WU80fDMyu7GyIAx7wJ,95,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,2wY79sveU1sp5g7SokKOiI,How Do You Sleep?,7baaCf70tVcUBL2bbkuXjo,97,not available
4,Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Find U Again (feat. Camila Cabello),1GySemCUsaTUREhIPAF3hH,80,https://p.scdn.co/mp3-preview/80c0b6e9248e7c684425557e497ea30764c4e9d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Outnumbered,6UjZ2Yx2g2a52XxiA8ONxZ,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered,4BQVnx1yJrDa1tcky9D9N6,86,not available
6,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ready,6l7lX8hJXVIUyPrTaabpqk,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,Ready,0ypEjnegb85LxjkycDf1Zf,79,not available
8,Hate How Much I Love You,2v00WuRHH1WdnXxlHnyURi,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Hate How Much I Love You,14XTLEelUegZgKjQ6XI5oA,71,https://p.scdn.co/mp3-preview/e3ea1416f684310c23fbc6547a01cf2548f75d64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,OK (Anxiety Anthem),5Wdf9bRdfnYRCgfahgpNHM,Mabel,1MIVXf74SZHmTIp4V4paH4,High Expectations,7G9QcvG6U223NqJzVIMNrZ,71,not available
10,Slow Dance,5FNS5Vj69AhRGJWjhrAd01,AJ Mitchell,6dn6x1XOng3LOAnfTjUn77,Slow Dance,3tnCAhqSU4V0EEgYnrTRuD,76,https://p.scdn.co/mp3-preview/23a45aa698c2ae20a755154c6459ea527f267efd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Sad Forever,4a5zacCsHLtMC2mcxkqWwn,Lauv,5JZ7CnR6gTvEMKX4g70Amv,Sad Forever,1kYth2YmXOBSfLKvWIbr12,77,https://p.scdn.co/mp3-preview/891c540bc77151a0c921e8cc77227eac5d75483f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Love Me Again,4QbX1M5JblYzGTVwdZTgfb,RAYE,5KKpBU5eC2tJDzf0wmlRp2,Love Me Again,0Mz15UUJtdswzlTpPfhPfc,70,not available
13,Hurt Again,3JPXFD2aJ4dHPMnGwo41bO,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,Inner Monologue Part 2,2f4Ejh4Po2rpuXSYa6IDCe,73,not available
14,Bones,3RGvoMBGhoY43FudUpVvqo,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Bones,2umIONJdwiF43nstu1xtpI,65,https://p.scdn.co/mp3-preview/7e2d8ab2c455868f2fcc2a9de484b56c5cc26465?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Takeaway,6wo37KVqFJhtuxPTpLCcfe,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy...Takeaway,1JawI0XkEwmQ5Bwef3RMbq,92,https://p.scdn.co/mp3-preview/d6acd39ff853fe8d1fd60603143c60eda0f7f672?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Must Have Been The Wind,1PsMieVYFXrSeXMxuE2SbG,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Must Have Been The Wind,0A5GgdYeE7UJDnBeXuZWma,77,https://p.scdn.co/mp3-preview/68b70525da23fd56860cf53bd7c4d8429e56f4db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Way To Break My Heart (feat. Skrillex),3QILjG9RQzZBtfSd54zzaj,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Way To Break My Heart (feat. Skrillex),1e0B33rcH0vHHumZofYV3y,56,https://p.scdn.co/mp3-preview/019973614fa762562f662100c315022d5109e2bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Lover,0bzbvANY6oETSJLc0wlVGY,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,3rYkgtFOo9AlPaeKTtn6pM,77,not available
19,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,68,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Not Over You,0gr7xzfKDED0mKuv7i5PI7,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Not Over You,4HNgQRfYsHbjnMn5HSpJJa,66,https://p.scdn.co/mp3-preview/0c8b4240deaeea3b757985af1fa16913e99e7985?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Jesus In LA,5i2JGF65pHKSfMEjSMrBC3,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Jesus In LA,2aygqrnBUbPolcC6H1GUPS,82,https://p.scdn.co/mp3-preview/590ba446b10a2955c178b843e429dca8e8c06eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,72,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Wanted,6hLkeOMrhZ2CMLBp2of576,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Wanted,19xtr8RaBkQNaDaNmXnVDj,83,not available
