Sweet Soul Sunday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,432395,spotify_uk_
1,You,7h1GRMK9eeVwjYNl3VnEBE,Hamzaa,3TXjnAw0sg1VVdnR9fGdBs,First Signs Of Me,2vIJ06C2k4jqCL4jT5ckfo,47,https://p.scdn.co/mp3-preview/c6051842dd7e5a5645d316419fc7ee53056a2836?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Mind’s Eye,3UYKvI6JYzkp8eep9fcWT0,Jordan Rakei,24icoQNJSEWNu3XvqKBR68,Mind’s Eye,6KkwKYVuL4LmQyGelCjhUO,22,not available
3,Limbo,613oIUXt3mei6b747Ugbvf,Joesef,28EyduqESEOVMO6vglvaUZ,Limbo,02gmwXM8cg2Ly0qL7YqEBj,10,not available
4,Delilah,2MOsa4NltIx6KhJPaDhWAl,Aeris Roves,1O5IeYqvtwnWzlNq3Ux3jd,Moon By Island Gardens,76XVjqkXUROffb5jrbdeOK,56,https://p.scdn.co/mp3-preview/00c2ab5f6d74fbd6df4f9d092b4d98e15a67eaaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Probably Sorry,72VSo5LGhQz24MlULSh2G7,Mathilda Homer,0uwGk8b2zINQFSKiLbK50Y,Probably Sorry,143RT46s3JeoVZR8agkqQu,45,https://p.scdn.co/mp3-preview/ca69ec82b5da759c6f74b014e80490588147a182?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Let Me Into Your Heart,6HfXfC5aZR5fZq8Ag50lVI,Isaac Waddington,4ebKlOJFmoNuBQLKSEGDuH,Let Me Into Your Heart,0uVffzwyBDvOYbh8IrVVEc,49,https://p.scdn.co/mp3-preview/7d3579250f2c33aea1a323dcfbf630682e2555db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Strange - Edit,5Ck2pBM8zZNIjIxeiEiVvy,Celeste,49HlOY4gkHqsYG9GCuhkcc,Strange (Edit),30vifvgruBQrs9w7fA1feh,58,not available
8,Lying To Yourself,7jpLx7Y8GCLvXwSQZ6qhQf,Lily Moore,1SQeTDXO492WB6aFvrntSS,Not That Special - EP,2BaKMdx0fIY62NkZchjxKk,51,not available
9,You Saw The Devil In Me,3MTNBnVNiC3KnxyZ2LXfc2,Liam Bailey,022EiWsch2zvty0qBUksDO,You Saw The Devil In Me,1N1ctMzZxUskZddjnUNFF0,41,https://p.scdn.co/mp3-preview/e236978e3c44b6322400b965b9c288db3d078150?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Strange Roses,6JUZ97uMRSB2bKr0CMKyys,Ady Suleiman,5LuLeXlnT2jFxbx7Cg7j88,Strange Roses,704YDMBOnxoCOyEdYgSLu6,49,https://p.scdn.co/mp3-preview/fc3a2ace7c6907330955e313259071de5028c552?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ready When You Are,6YdWqo5fvo8VXRcELskCfK,Mathilda Homer,0uwGk8b2zINQFSKiLbK50Y,Ready When You Are,47sSqdqjxUwfqhfW6nNpdI,47,https://p.scdn.co/mp3-preview/71a4afc9c850812d4edabe0b1de67a4dff0e71e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Try a Little Tenderness,0JykQXWGNwVGjV2HleUPuo,Pip Millett,1QfEfvB62EEl4upf2ANKkR,Try a Little Tenderness,7pNPnsQmwf86kDUcUbJQH0,49,https://p.scdn.co/mp3-preview/95300eafaad5d54005af9e2b7b7b0286d8895c79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,M.P.B.,0w4QlIOtXEJEPvftQo9VSe,Womack & Womack,7qShKycqNUP0GLEiTENDVZ,Conscience,1Ekl9JY2EBWZ2xzR2Iog7W,55,not available
14,Lost in Paris,6lxcWIvMQK3yezxwFfZcKZ,Tom Misch,1uiEZYehlNivdK3iQyAbye,Lost in Paris,3OGqx2jmVKVkKOIOxGjOQC,57,https://p.scdn.co/mp3-preview/1683441657b333aa5feb5ae36891321696a10ee4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Under,1s5SLEd0djUCuyQ5Wz35tQ,Jordan Mackampa,24WPEGLYPvEsmk4GSDFyST,Under,4hMN0yProqPlOvHPn9kxKM,46,https://p.scdn.co/mp3-preview/462183ac3ea0f33234b87c2a3a06550bc9f0c086?cid=fa83a2fec7c440b7a2795d600d6b2c7e
