#ThrowbackThursday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,780281,spotify_uk_
1,Budapest,7GJClzimvMSghjcrKxuf1M,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Wanted on Voyage,5tF2lAa2rh2kU2xIiBzWia,78,https://p.scdn.co/mp3-preview/9dfa0b98773c257fb4234228f24773c6bef2607f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,The Time Of Our Lives (International Version),0IuHVgAvbNDJnJepuSZ8Oz,80,not available
3,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,Second Helping,54V1ljNtyzAm053oJqi0SH,83,not available
4,We’re Going to Ibiza!,0b8PKDeFc2T5u9cRbLLv2r,Vengaboys,0cwmNvclzPd8mQnoHuIksj,Greatest Hits!,5t02mTYT9ks9sOC1ihea4a,63,https://p.scdn.co/mp3-preview/eb0c16d57d9a950d8b56bd0fea1f30dce2107324?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Fresh Prince of Bel-Air,0UREO3QWbXJW3gOUXpK1am,DJ Jazzy Jeff & The Fresh Prince,1mG23iQeR29Ojhq89D5gbh,Greatest Hits,36F8dqIQunGUWbsOPWQSjz,67,https://p.scdn.co/mp3-preview/3d29421d7b16d027d4d0d3985d57552b62404ee6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,From Paris To Berlin - Radio Edit,0XSxvknneLhfyRv0g7ka7t,Infernal,2nnBn2iyqkuOBj85nhGp1k,From Paris To Berlin (Radio Edit),0T5OaaNOmQesbXtcHuMzLM,53,not available
7,California Gurls,5uOUxoxEMZQo0cFT9YWFdi,Katy Perry,6jJ0s89eD6GaHleKKya26X,Teenage Dream,6i6vC7SKe2d4lC4Habhs9x,57,not available
8,Africa,2374M0fQpWi3dLnB54qaLX,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Toto IV,62U7xIHcID94o20Of5ea4D,85,https://p.scdn.co/mp3-preview/dd78dafe31bb98f230372c038a126b8808f9349b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,LDN,5wD6de7Fz1QfxVNkv1SEy7,Lily Allen,13saZpZnCDWOI9D4IJhp1f,"Alright, Still (Deluxe)",5ySBiY0v4b03yw98oRDKtS,62,https://p.scdn.co/mp3-preview/e83fc9697a67d08f0aaf52a0dcfa4807a6411f52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Moving to New York,7GvkOFkNsM6Exnkyqeajqm,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,"Proudly Present....A Guide To Love, Loss & Desperation",75l5Bqvc0BH45UhJrS04Xj,65,https://p.scdn.co/mp3-preview/00897f75c0a83cc51002d3e075ff978c73d26243?cid=fa83a2fec7c440b7a2795d600d6b2c7e
