Tropical House,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1469730,spotify_uk_
1,Silverskin,2DMqiPZ8uLE2AtwHLInHOI,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Sunrise To Sunset,3DXfe2cEsCdAjORfXw0NDK,11,not available
2,Grow Up,5I1K6LJMvIdV5kpHS8tMkr,Bolier,65NscqgsoMPqBtoLbkP3jD,Grow Up,44SAlrDrWV7DvwUbfMisPC,57,https://p.scdn.co/mp3-preview/c46881416951040af4b7f92f44c8b59362ff50c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Handful Of Gold - Hounded Remix,7oxHEN7q9V67XUReaq0txr,CAZZETTE,1IELhvOMg5VQlU7syRm6CS,Handful Of Gold (Remixes II),2lcQOnaDZFj0ZSH386B3R8,54,https://p.scdn.co/mp3-preview/8b0d8752c45bdb54ac89b34c237f661dd07b6856?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,All or Nothing - Sultan + Shepard Remix,52DNTZvyZREUZC6dEjq3J6,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,All Or Nothing (Remixes Part 2),5hYQG9MTBpC3SRpTpJoC36,36,https://p.scdn.co/mp3-preview/322649add00e17f8057bdcbf46323cca2d2bcd62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Whatever You Like - Radio Edit,200UDgTJl6xvSejJzMP6Ne,Dasco,4Zv4yFnzY2v8IE2Fo0pqY8,Whatever You Like,6ZdIp3hlkuZvNceiXKMFqg,54,https://p.scdn.co/mp3-preview/11c4a127791617a282680f9d0020c93f32aaa765?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Save Tonight,70PH29yzcK8ZQVseOZlAJG,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Sunrise To Sunset,3DXfe2cEsCdAjORfXw0NDK,9,not available
7,Ha Leh Lou Ya,1gAbEXZi4ZrmA5KPQARXrD,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Uncovered,4iu0toRdSjyU0qIdKTWMoY,57,https://p.scdn.co/mp3-preview/d9cbd4533f304b692735b847aba1ab167c6d7630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,We Start Fires,0hsMhZA3gguNuHOcDsGmOf,Little Giants,37X06XsrLg91pJf5y9kb8A,We Start Fires,4exjA36NpcCqgSejlIVkaL,50,https://p.scdn.co/mp3-preview/6d0fd31fcd0bdf0aa9cd40fc8c2ae96b3df905b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Recognise,510UgVCpnUaQ5ACHW2J8gu,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Recognise,03qoJ4Ioczrn4dBFrKRHxU,66,https://p.scdn.co/mp3-preview/a04dce028fe7b3bb76e471c0b813b2d2cbc377f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Pumped Up,6lFbdi743kgerMZDjSqbuA,Klingande,1L9i6qZYIGQedgM9QLSyzb,Pumped Up,3gOrwurXTwy0TaWuLOfAB7,68,https://p.scdn.co/mp3-preview/79553a1bbd1267e0236dfca38e87985b46eefbc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Déjà Vu,2vajU8g5DJCuthr5pb7RVT,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Sunrise To Sunset,3DXfe2cEsCdAjORfXw0NDK,9,not available
12,44th and 8th,3q1dhgO6MmeA7LUoz86BPh,Sean Bradford,6NH017cWdDip8d3zS2lXbD,44th and 8th,1AcgYj8rGqP01e3xQe149G,33,https://p.scdn.co/mp3-preview/dc5f6554f89b73a165a3a711414dacb51df5923d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Love That We Need,58U52B6rDjT30RIquT51dE,Silience,7yk8lN0B2B5wBdb4DJfQLI,Love That We Need,2zGvqQVpjRZRF7H08V5en5,49,https://p.scdn.co/mp3-preview/30638b8cea24ddd73c346349b457531fb8ed2bd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Electric Feel (Kygo Remix),0toJeVTW2hHX9qYVmdOpBs,Henry Green,0VbDAlm2KUlKI5UhXRBKWp,Electric Feel,5wpZhWqsoXKBcVwvcEtCvv,59,https://p.scdn.co/mp3-preview/47b538ac87a1e9ef633a65aa41091c35e8a5c6bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
