All Night Dance Party,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,630158,spotify_uk_
1,Sorry,23Q3zB4aIt4vvGknhBSE7O,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,7sb2NIRjstX3Uimi4oCWMQ,36,not available
2,Mad Love - Blinkie Remix,5qiQbOa6AFEO3P111y9Jry,Mabel,1MIVXf74SZHmTIp4V4paH4,Mad Love (Remixes),0o9d312clt8gVtz1uZZkBW,63,not available
3,Cheatin',1Ei4I19L2hnsMQYAlaqQLM,Nathan Dawe,2gduEC76ry33RVurAvT05p,Cheatin',5TMEkU8Z3GWcIDI6xq5dDU,62,https://p.scdn.co/mp3-preview/80b47796c42dd9a47b90f0578a7558f660d4fdac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Wish You Well - Benny Benassi Remix,49jQjsgh1bqjLW1UXGPIj2,Sigala,1IueXOQyABrMOprrzwQJWN,Wish You Well (Remixes),4Sa6vVIaKKiPQ87kcMR0W4,44,not available
5,Ladbroke Grove,7b4ky1LlQLFhXHmhZkFgqV,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,AJ Tracey,0vrKGjXSGcTsxNGxQdXT5p,83,https://p.scdn.co/mp3-preview/d9f524a216cfdbee1ebfc063a7d3ecf09caf224b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Dilemma,03druhrRJ5f3MJYg38NF2c,Sigma,01pKrlgPJhm5dB4lneYAqS,Dilemma,00BfFTfksSFZD9HiWqfTFR,62,not available
7,Piece Of Your Heart - The Stickmen Remix,6gpx6upCWKGaUn8Ngv2wjr,MEDUZA,0xRXCcSX89eobfrshSVdyu,Piece Of Your Heart (The Remixes),5zG7q6eE3V0vMTGWKq06gF,55,not available
8,Dance on the Table,5OPutqODUjt2Y8fdBYTGH0,CLiQ,2IQIEHvL14Tj7vOKHbIMMj,Dance on the Table,2L0u9nblK3tphsl9HSCdgf,62,https://p.scdn.co/mp3-preview/dad4d27b2b89d5baee389353d1975fded5443897?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,White Lies,2UkF0EWfh0T90ScJzGqnD1,M-22,4WFtYn5RyU8VGPpPyW9Pxw,White Lies,0JsabMB0lptwSFeqdBhVB4,67,not available
10,I Was Lovin' You (feat. Dots Per Inch & Ayak),5fOJe6vJ3vJXMrN6v362WJ,James Hype,43BxCL6t4c73BQnIJtry5v,I Was Lovin' You (feat. Dots Per Inch & Ayak),4ezQbrx5XOoMMfx7Ux7TAC,65,https://p.scdn.co/mp3-preview/91d2ab4c9070c7fc3bcbd089cb0f51b90f24acaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I Wanna Be Down,6nRNYQiLt3RU06fzHxCnsc,Majestic,6QMABvTzixnxzsLYyhqRxI,I Wanna Be Down,245HRIEl1u62R4afHFTgtc,62,not available
12,About You,2dzmO8gQgQQBFchqng9MKx,Papa Zeus,34Q1USAO0pv4gNxcnOKNav,About You,3p0BU885ZO6h15ShwrV0kj,62,https://p.scdn.co/mp3-preview/d8970aab74413bd8433fbab419383ed7fd0c1042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Little Love (feat. Grace Tither),5FQUb9sBnjA2Cd0lujJ3hr,Blinkie,0nJcDqY6ox4kHB92AuRA8j,Little Love (feat. Grace Tither),6lHj117hPNngTDVKswcP5x,59,https://p.scdn.co/mp3-preview/bdeede3cce848c46161184f185e69a78cd73c238?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,After Hours,6qLkMLUIkdtX34gHF9sPFL,M-22,4WFtYn5RyU8VGPpPyW9Pxw,After Hours,1LD7wfM8EYjricnmu1EpWQ,67,not available
15,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,89,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Just You and I - Paul Woolford Remix,2NBgfdrHa281oTjYQtublb,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Just You and I (Paul Woolford Remix),4Ltp67VkSWbKeUyFUtqel8,59,https://p.scdn.co/mp3-preview/1beb23baaf1effd96dfa36ba89fa1759fa6fdfb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Everybody Wants You (feat. Sam Fischer),6bXi3POdPDmcJJ2A43pLIw,Black Saint,7JMPwFdbHhPe46HDJXKhA5,Everybody Wants You (feat. Sam Fischer),4fGbB2oX0mUJWRpYJpf1PU,55,https://p.scdn.co/mp3-preview/b8f264d476a405d35b0c77d1ef69585066ead44d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hotstepper,7DC0O3pMpDFefdk51dr7pU,John Gibbons,72luDUYRlE8N8lPSgyhiwo,Hotstepper,0fCWjsxczZ1k3LBAzuGnVe,70,https://p.scdn.co/mp3-preview/188ae3855f59648a996172679505b9bd0d8b0902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
