Easy 00s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,860406,spotify_uk_
1,Dancing in the Moonlight,1FHNctV68GUNLgXclG2DtR,Toploader,6xeFne1rkxMhKSW3ipvkdV,Dancing In The Moonlight: The Best Of Toploader,3Yxy4ITyguWRkdXwrB9uC9,71,https://p.scdn.co/mp3-preview/22bdb0d1b85e258e30c6dfdd921b12bd934a1127?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,World of Our Own,4SAHTVRe6EBhgAOWl49yPf,Westlife,5Z1CCuBsyhEHngq3U5IraY,World of Our Own,5FECTGZ9UdITzeo7o0AhUZ,66,https://p.scdn.co/mp3-preview/72b97683262eda27fc7bae2a40c49659d95e4bcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,All About You,1KlYwG56LQZhSoVtfpp70G,McFly,47izDDvtOxxz3FzHYuUptd,Wonderland,1z6APXc34SwPp6HYmeSAMl,51,not available
4,Whole Again,16MJqq0vEuW6GRX6faetTm,Atomic Kitten,6JMHws5haIO6V35YNYDnDw,Right Now,4C2pT6x3mXXgeV3FdyL3DW,68,not available
5,Put Your Records On,2nGFzvICaeEWjIrBrL2RAx,Corinne Bailey Rae,29WzbAQtDnBJF09es0uddn,Corinne Bailey Rae,141Mp3P2VKHQMhtkW1DyQg,77,not available
6,Unwritten,1D1nixOVWOxvNfWi0UD7VX,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,Unwritten,1meis09isQJFDA65afUTt8,77,https://p.scdn.co/mp3-preview/54cf4f47feb840242695d20e560efaa2990d5f6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Greatest Day,3LF54Y7TxU5vy3YKAIfiQ4,Take That,1XgFuvRd7r5g0h844A5ZUQ,The Circus,4ZQyCspw8NPzUZm1VantTn,62,not available
8,Obviously,2iPIMWQYcrvV6MDlnEgw4i,McFly,47izDDvtOxxz3FzHYuUptd,Room On The 3rd Floor (UK version),1n1amLlhmOOFLCpwvSqo0G,7,not available
9,The Tide Is High - Radio Mix,5WuVWOngcRkMOx9RRLCvui,Atomic Kitten,6JMHws5haIO6V35YNYDnDw,Atomic Kitten,340y6ZpqGxp4xW0203bOPN,68,not available
