A Perfect Day,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,645859,spotify_uk_
1,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid),3E12WU80fDMyu7GyIAx7wJ,94,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Rocket Man (I Think It's Going To Be A Long Long Time),2zvot9pY2FNl1E94kc4K8M,Elton John,3PhoLpVuITZKcymswpck5b,Honky Chateau (Remastered),46g6b33tbttcPtzbwzBoG6,28,not available
3,I Found You,1b1Wb55rTakaXDtWzn9QwX,Andy Grammer,2oX42qP5ineK3hrhBECLmj,I Found You,3mvyLqpqEQrXayhvATjGow,42,not available
4,Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Rescue Me,57BhVBJbVPfIbwLANO5fSe,88,not available
5,Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,Uprising,321q9p7PELvzcFAWxml7VX,78,not available
6,Feels Like The First Time,5EskCxy8YG6UKPbIzBH4Gt,James Morrison,3LpLGlgRS1IKPPwElnpW35,You're Stronger Than You Know,5MSaKdet5kiMdSczHYxEmg,59,https://p.scdn.co/mp3-preview/525e548330e17394aff0b0b4a1d7ceb6a8847e5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,What Am I,1HimGOB6BjOaCQYMIF1xtU,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,What Am I,6IEEEv0mmFYPjhATWKYZRE,81,https://p.scdn.co/mp3-preview/07c61d627e0537fa0d7f11bbab0c763bd9165d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Outnumbered,6UjZ2Yx2g2a52XxiA8ONxZ,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered,4BQVnx1yJrDa1tcky9D9N6,85,not available
9,This Life,4dRqYKhLVujxiBXcq50YzG,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,Father of the Bride,1A3nVEWRJ8yvlPzawHI1pQ,72,https://p.scdn.co/mp3-preview/e4b0a402e350266e2d2323d2e395429e8622ab2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Castles,5o8lxcSYAj8uXTiIHoyyA9,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Castles,2r0ybH1gnkMCRq1ZnBrPXx,67,not available
11,You Can Call Me Al,0qxYx4F3vm1AOnfux6dDxP,Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,Graceland (25th Anniversary Deluxe Edition),6WgGWYw6XXQyLTsWt7tXky,76,https://p.scdn.co/mp3-preview/ff8c2381dbea9e5c5da615f6321d42c603175761?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Your Girlfriend,1f36D2fxgU2Mk1TxS7WhjG,Blossoms,22RISwgVJyZu9lpqAcv1F5,Your Girlfriend,6wK5L2FA5TwVIAjwh2B8ay,69,not available
13,America,18fwfypFEcZArzsRZgozs0,Razorlight,450iujbtN6XgiA9pv6fVZz,Razorlight (EU Version),3gGRZAElMWfDYpfnQry2ot,16,not available
14,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,90,not available
15,Ground Running,236mpwKuKAvqTfI7NIkrPf,Will Young,2U6gqwyl9F33YxawnFrZG7,Lexicon,4db8BMgokS6LyLR8sTVlH8,29,https://p.scdn.co/mp3-preview/43f6c4b8ae69804fca958d8a62614f2e5cc974dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Small Talk,4NmE2ytXI8S2svTRSmEdpO,Katy Perry,6jJ0s89eD6GaHleKKya26X,Small Talk,5FOy9CM3AZs86TIK7fsJTV,83,not available
17,Torn,1Jaah2tmN9Hv81A87KZ1MU,Natalie Imbruglia,0dlOr0VIysztGWvU1dpjmP,Left Of The Middle,38alWeQVP9UUAGJvLptys9,69,https://p.scdn.co/mp3-preview/6226210d4427f1f4dff7555abbd9801aae3af1f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,The Last Time,1maoY6K6fsTEv9fhXhBL14,The Script,3AQRLZ9PuTAozP28Skbq8V,The Last Time,7hKlP3f3yyQjizcUIKWvZk,73,https://p.scdn.co/mp3-preview/a01724234b85486ecd51a9033b18b6ba8b08e8d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Pure Shores,4mjLAbsWBCuqSOqMvaPkXd,All Saints,5TDVKqW9uhqGjwwwKGuma4,Pure Shores,0q5pj4C8Fl8d3pzn2OH0ZV,60,https://p.scdn.co/mp3-preview/fc85b5f71fb0415b048a110e30be8d4f793e5835?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Rumour of a Good Life,7G0R0wTup7aDC4MOsIgHEb,Toby Johnson,6aWiYkCceJsc6lorPBdvIg,Rumour of a Good Life,0CFvAE9MUv3uTCM9LPOqjU,55,https://p.scdn.co/mp3-preview/b423845408faab63e52462a579f1962ea0f0c4a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,I Will Wait,7AwvxYLlFmdoz0hQgyKtNU,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,Babel,0wQOzO44QldOoDo2nIty0X,66,not available
22,Butterflies,1RMvWA6XFFN8cciB2GHYFy,Soulé,1XRCocF9w2bZKho10CbDOP,Butterflies,4u3b4Pc923P1iz846Lz1Pj,54,https://p.scdn.co/mp3-preview/3eadac539c15457df4b82d6dcc42b11fc9d77ecb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Carry Me Away,6TL3MOcVW8i1UiJkvhpDbR,John Mayer,0hEurMDQu99nJRq8pTxO14,Carry Me Away,5KvmuOTWNRFPAQdz0KRPcf,77,https://p.scdn.co/mp3-preview/b2e497009f29df18a4bef52ca4f1f1b9447cd65d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
