New Dance Revolution,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,52047,spotify_uk_
1,Changing,56SkLjnwBXnAkHSf6jBPk3,Becky Hill,4EPJlUEBy49EX1wuFOvtjK,Get To Know,1vlHG5JJCSsWBuA5vPTY7Q,59,not available
2,Sweet Like Chocolate (feat. Lily Allen),6r4EuFPtH2P8DJHBajoYaH,DJ Spoony,6tDESlsE9MXHHGHASpXukv,Sweet Like Chocolate (feat. Lily Allen),46VnIdu2vMb2uq89H7cZsO,51,https://p.scdn.co/mp3-preview/1cd7f9e69950c3838732704b45b17bf8db0c500a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ecstasy,4N42Ta28mOYeiyMlypgCTK,Fabich,1mwP5J1kB8clYx0SoNL0uh,Ecstasy,5Hrkn1HmX82KNlTbsUUweN,37,https://p.scdn.co/mp3-preview/7041ef8a23cf100c145f07cb87fe0e8b46908f3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Shake It,2MPFdZU4chLoyrUqYNR033,SOULS,2mkSfdbk3EkKfh45pd2CWH,Shake It,5QljY5ZZFoZwkC5yQH5zzH,22,https://p.scdn.co/mp3-preview/0038cd99813ed62a37657a19aa01fc7d7834cd63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Grind & Hustle,2PI0Nlt5YFC1Zs8wt3epX3,DROELOE,0u18Cq5stIQLUoIaULzDmA,Grind & Hustle,24a7MtSD19HGYSjgQfpOrB,51,https://p.scdn.co/mp3-preview/20857e214ee11e1c3e332c0a5739ad172c2ce725?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Baianá - Jack Back Remix,4TPSHXXcFWCf6Z9Uvq69cB,Barbatuques,5xnMjuPp1eDXa8du0SKIHD,Baianá (Jack Back Remix),3VCdr51Z3C9ptAv8zbL5xs,16,https://p.scdn.co/mp3-preview/d046dab07dae1858de26af9a577d9942edfb4d2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Nothing Else (When I Think Of You),3hHcL95Pqlj93e8YCAkkys,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,Nothing Else (When I Think Of You),28RD2BPGDTlPvnz8kR6i1e,48,https://p.scdn.co/mp3-preview/6e82f9a5b550234601d8a1fb548cf104451c1249?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Home,0AhyPq3FOWAjZtl22KjeT9,Basshunter,37DdwREpvvQHmGLFEZ4h0Q,Home,432stS7KpR0XH0HYa5Wi5q,50,https://p.scdn.co/mp3-preview/5893477e9854349dba2462a06361623ed22b3e26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,One Thirty,1DP4D6hnxTRKAUKctHE8mr,Anna Lunoe,7d96RW5Vix23AiCHr3mf3D,One Thirty,2UMWoDlJzoVjTw5MsvCgZl,42,https://p.scdn.co/mp3-preview/cc9d960a7bf02f3d5c43c8d5088ce61f4b3f2c43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,I Need Ur Luv,56hU9lS86U02iJx6WhYHmq,OFFAIAH,2E1NFr5AeEGUJkLUUsWCAO,I Need Ur Luv,0CXsQO1YkSz4cM3gv2yCQc,38,https://p.scdn.co/mp3-preview/5e984a11ac0cef6f476203f2e46a5dae1811c534?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Catch The Spirit,3ODOQfdKXTdLrMWQv21vVA,Jack Beats,5dUIQXIt7WeBKpETFZyTFW,Catch The Spirit EP,0U6I23JmyhZVRrOR3vWRsY,28,https://p.scdn.co/mp3-preview/8deaa0ba9026bd7aa5d836df8464c9fb546ab26c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Dreams Of You (feat. Rae Morris),6pu5jQqenr37n0z6eBKOh0,Icarus,0nUF7iT0e6D5xEl743Jfu3,Dreams Of You (feat. Rae Morris),26et8vS0ynfWtbIFKKtZi4,41,https://p.scdn.co/mp3-preview/53a9cea425d69c91bcadbe38792b6c6fb1874c9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Click,2eWfI0Qxk9oFezaeZNTyJB,Example,6Vh6UDWfu9PUSXSzAaB3CW,Click,3zeB6s8ftsKjQZyD17oMJ3,60,https://p.scdn.co/mp3-preview/5a9ee23991dcbafd5f4c2d122748f84784d221ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Forever,2Ci9hgh4lvPdvlkwPv9r7Q,Disco Fries,7G7KvDCLdVG0Ok511Iqc9U,Forever,7Bwh0T7yxAUkZOiebPhQnd,45,https://p.scdn.co/mp3-preview/9d16656890e0dc1f9b9e5054baa6b610bcb5816e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Put A Record On - Shorter Edit,6hwAWntAVbgyohFJTqDPkf,Matt Sassari,21dVknSLCsK37cWozWDZZS,Put A Record On (Shorter Edit),5m7OQoQrSJ9F9faPBey6T4,25,https://p.scdn.co/mp3-preview/3a58d4f5db3e850bac5435c8e73a2f45d11d04e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Pump It Up,0Qbwjk9wKSEjBywgZoMDYm,GotSome,5eALE6GKSAiBNMyqpsqoeX,Pump It Up,1iTOcAUe2ra8a71aj52yWc,31,https://p.scdn.co/mp3-preview/48d4094759d4149b2a731562a29eda1c7961be18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,I Don't Need Love,11YeL3eE19GsSU4EYi6fIs,Karen Harding,1QOHbhVRpDoNtRkz79si6b,I Don't Need Love,2xOc24xBzKOFw916SCPWiy,44,not available
18,Hide (feat. Robinson),5ipHvBu6d4LBtSjQtcaeKC,Franky Wah,3IG3Ub4ra8AuSxCFDVkVco,Hide (feat. Robinson),46tyyj2fcBxrhajWQHTZj3,45,not available
19,If You Want To - Remix,6kLaJwG8unMHMv6JuxVbsE,Dimension,1QMgre3BHX161ZHtWMUu6S,If You Want To (Dimension Remix),4hgFcznJFMY4IQLZqMR4H6,42,https://p.scdn.co/mp3-preview/28ea0daa9cc631d189f5488a22644b3b1c78fb98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Right Here Forever,4VjKfvfiHHhLiF6nBXBB5o,Alex Metric,6RDNTAgm2s6ae71nXWGnJD,Right Here Forever,0wFCn0l7UZ0I7Uu2noJpcI,32,https://p.scdn.co/mp3-preview/600466e163ec0e3445c501b17c9b22c9a27b57e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Holy Water,7Ga9ZSdPAcQXQvd1ObVFpm,Galantis,4sTQVOfp9vEMCemLw50sbu,Holy Water,18C3JLfjKrkCKZubEhqJuw,70,https://p.scdn.co/mp3-preview/c2c54ef611015334a3a315ba8352365bbfaf9877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Bad Behaviour,6hN8uK3SRMPsWevDLXgo3W,AC Slater,6EqFMCnVGBRNmwPlk2f3Uc,Hi8,6mZ49FCEebP09rg5TIgwCg,27,https://p.scdn.co/mp3-preview/01c58a089eeb6966afac48958c45c39c669bdca3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Baggage (with AlunaGeorge),214h7kR7uNssAoU5AbcaIS,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,Baggage (with AlunaGeorge),6HkVLOM8m07Du0cz7SsnwR,71,not available
24,Messiah (feat. HÆLOS),6lZwegV6oPqgNtvGDXWrt6,Joris Voorn,4jGpKAmwvU263l0tUh4xKU,Messiah (feat. HÆLOS),647lwUKMFcnoSBr68LyDwj,50,https://p.scdn.co/mp3-preview/66d5f3e474a6320762a2ccfb98dcbcae4173f64b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Stand Off (I Want You!) [feat. Hayley May],1KMhHimZZdUqsgDeZCyRa5,Tobtok,6pcxIOhQCNb7DX2iuEXgxL,The Stand Off (I Want You!) [feat. Hayley May],6Tqq5RFxYpc4CqjYz0hMRX,55,https://p.scdn.co/mp3-preview/923bf6c71e9f93e646c92f9fe67d244ea395a4e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,It Could Be,23gzGRBeEOwbUHGFjoJAhD,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,It Could Be,71uBAeBLnEKR3sPJ9waFrb,61,https://p.scdn.co/mp3-preview/6308b7ba4e6eea459353cd172b0aca3bb24eaf57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,SWEAT,7Dv0Sz5wIrD6uELLaV251n,Billy Kenny,4vOWtH59x00IhY805tdf74,SWEAT,1m8OhAwwMHvir1qadi9zRv,54,https://p.scdn.co/mp3-preview/9a6aee2b8d413f3478e500725c08d60148f98595?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Burn Me Up (The System),3ySgPEVjbKeXCgjNr8VszL,Low Steppa,5OImcY3khBn9UFjzgaapob,Burn Me Up (The System),5JVPVwNZpb9kQfZLXVo5NB,42,https://p.scdn.co/mp3-preview/adaac89ed29278bb9b3b84fb233f03efb2a85ae6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,All I Want,0RpsN5i29wzKUXUBRX0AVO,Cyantific,1fAFVmxFjwB872XsEUomIK,All I Want,09r1GsCovwrSLiMvkoc3e8,41,https://p.scdn.co/mp3-preview/e86db4fcb2d6e6b3603675f7e1948d429848173f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Baby Baby,2fMtXRKJDPtT8Xs4EJkBQh,Noizu,3VRyybsQu0MDG0F2LBxnv7,Baby Baby,6qvNPB4vRSs5TnBR9qJqWN,44,https://p.scdn.co/mp3-preview/f950ea28f45ce6cffe7efd5ab9ab91b0e166a211?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Jacques,2Eld7kejX6FH9OptVyKQak,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,Jacques,4ka7Gqb1T5lWqbtPUxiLsC,50,https://p.scdn.co/mp3-preview/754bc6e38734a4b09228617f5d44dfb424f89bc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Fried Eggs,0vmsFIAzQxauYf7aMo02tV,Redlight,4ly0VtIYiDYVA4q6ry0NUk,Fried Eggs,1IBigy8zrSFRm1jJjhXLMY,48,https://p.scdn.co/mp3-preview/1e0f942c003d30a01bdf6770d157388212218b63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,San Frandisco,4KrATQEoEbKAAY7j0kMDBl,Dom Dolla,205i7E8fNVfojowcQSfK9m,San Frandisco,66IfXKLEgsVPqwElkk8aeP,56,https://p.scdn.co/mp3-preview/b34a5288b3708e975f507aa3958495f6d50f8a21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Gravity,3DEOsCKFcseZtobrpOH2J7,Metrik,2NCEtX40i9lLNpTg2X5583,Gravity,59oNG70vYOhucgQvVV4EG7,55,https://p.scdn.co/mp3-preview/f8f7d349c1ecaf5b1ecc045732762425db0640fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Moving Too Fast (feat. Paloma Faith),1flaDTNzA2EKknCBbowb0Z,DJ Spoony,6tDESlsE9MXHHGHASpXukv,Moving Too Fast (feat. Paloma Faith),6QmRN9TIPbGeHs4CsrUOwQ,50,https://p.scdn.co/mp3-preview/7798680e4fb24dc176cefeab30aa47085d8e6e9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Finding Our Way,0Uc2Bg05ybIP7eMu2U73O5,Jay Pryor,1ZUpQr4VSnnP86WbaRRMpd,Finding Our Way,0uHc8tnBZlYglLFzVHyfUT,59,not available
37,All Of Us,5cQscm1d6XOrBTnm32NXRE,PNAU,6n28c9qs9hNGriNa72b26u,All Of Us,1D0ZMABP9fW1ujVbWQNwKu,63,https://p.scdn.co/mp3-preview/d6123cc1444128f136d95964584026cb552c3f10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Don't Take It Personal,5tkcXrKUD07rj2mWAT13nX,Punctual,1ocnIbhFWM9bSPrd7Hu4zF,Don't Take It Personal,2aarIN5uqQblQnzBKh2Yq0,38,https://p.scdn.co/mp3-preview/e6ec754fc157b100183cc7e6f1495abd8c7defc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,I Know,59jHH3RyODRyVPCgpM106o,DallasK,7uas0F5EhsZg6KDJ7yy7rW,I Know,4aV2pC92HD6Dw1WTEihept,55,https://p.scdn.co/mp3-preview/847f8492c6b7d77980d0ce833cc9bd1aa4bce93d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
