The Indie List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,266096,spotify_uk_
1,Go Out With You,1ETajdK6h5qub64KFsU8e4,BLOXX,4wYzzR0lpEub1gUU8bbBTw,Go Out With You,33VOTiFZa62yttu5roeQVa,45,https://p.scdn.co/mp3-preview/d070b8ef580cb9e9a02deda87da3e7e44cecb228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,69,not available
3,Never Let You Go,6H15f8zwZSiFE1iseSvkLT,Georgia,06knYh538h5SI7OAEF8ek3,Never Let You Go,29aFzMPjs687GKSJCPLfNI,59,https://p.scdn.co/mp3-preview/a5ecb0597a1cf56961cb52d69c0cebd986fbfa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Now That I've Found You,4QSxcUAwEx5sFitOKZfQDN,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Why Me? Why Not. (Deluxe Edition),6iInyjotj1rYpx3vbX0MxX,67,https://p.scdn.co/mp3-preview/995b65f84419ca454aca539b187976a8a442fe65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Your Light,6vYRwtuNmaQJg7SlcrMdPs,The Big Moon,0KU55rzxAihPhi27MAuz9O,Your Light,08Ry44RWNOnXiw7gZlBXkg,57,not available
6,Hell N Back,3NRql0A1Ef4RCvT473iqgD,Bakar,3K2Srho6NCF3o9MswGR76H,Hell N Back,3aEdbaJGWXbBxn79DgjamF,64,https://p.scdn.co/mp3-preview/6e4104d14a5ff037a436002f8204bde266b9db27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,bad idea!,1M4Ud66z18wuIq3oOxqVHa,girl in red,3uwAm6vQy7kWPS2bciKWx9,bad idea!,6riOnMD3YhF8kGpAXpxbdj,68,https://p.scdn.co/mp3-preview/f99f14ed1250bae0111186e3edd5086efb4c122f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The Borders,4oZxIJoCv6UVuseYGoy0h3,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,The Borders,5x4JCQ9nQE7qQoKyWY7D6f,65,not available
9,Fishing,239w5yDs9pfGp8mFXzm8rv,Sports Team,04JIxSs2P0iteVWtaskfeh,Fishing,2IJJNKNhk6kZsATLQWzYsi,45,not available
10,Violet,1f7o2FSvyyui1mRelukp5L,Sea Girls,45FqwUG4hTT6d39r2HUsUe,Violet,6KzBtepfs00BIIlOBOlfMm,54,not available
11,Petty Thieving,3dxAvrqRv4KENeZTpACrnJ,FEET,7HeBQpJ3UmyybgEvqfdRAE,Petty Thieving,0KrIYFiZf4hEzi2BXUFfKp,40,https://p.scdn.co/mp3-preview/af00bb478ab4bfa50dd712b482c6f6b6e073b9fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Maybe California,4hniacOAySC5Ucu7rkjgkA,The Snuts,4AzAfQNuAyKOFG4DZMsdAo,Maybe California,3lR38sssmmT1ZJardCo5i0,50,https://p.scdn.co/mp3-preview/7165f6f1a3e882f4f28845afaa11f99ddc221719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,British Bombs,4ZdmTNaBTErD8n9AQE0YaX,Declan McKenna,2D4FOOOtWycb3Aw9nY5n3c,British Bombs,18nvSHmOdaQNgpz7vsJKPr,65,https://p.scdn.co/mp3-preview/204a0791c029faedce01691a68d4788373d377f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,She Don't Dance,4XOc8gjhKl7FvdD4CHBYIy,Everyone You Know,4UAnAM35NDxEWd5WXKv7jM,She Don't Dance,7JuHmjs1ho2kL6DvGWvnmH,61,https://p.scdn.co/mp3-preview/f8ec767784e411875b8fdf26b1805e34a77f486d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,AFTERTASTE,12OmGbV8mpZBnYO8K2YvgX,The Academic,3VLf4DlBTN2ZRwygS3TNti,AFTERTASTE,2kqx0mfatoMrEpm155ITgu,38,https://p.scdn.co/mp3-preview/7b2ba38f3b73f15f81b7a16ea328b99126ce2130?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Under Your Sky,5cH1pYrDq7D6sARLDP5EGo,The Sherlocks,4SrofCfzlhtiKRAsMfBxV4,Under Your Sky,0lwUPNRsaLEa9dV3pgoCWn,35,https://p.scdn.co/mp3-preview/c678225a87590b662bc068933df1d991e0130df1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,The Great Escape,5eea4rxrbKTgnUZwJKuhBk,The Lathums,6PXYvMeTixxDzYAYugMlbg,The Lathums,0aPTOHQ2WVDD5NZrqBnBXV,39,https://p.scdn.co/mp3-preview/4930cc775bce8bdffc68773f0753881c8cc72641?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Sofia,52uTp5TrlfPrtgiUdIhkbU,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Sofia,7JX98HsEi7hCH0vmfT7s2K,66,not available
19,Run The Wild Flowers,3V1kaUcf9rjjiYSUHowmbK,Friendly Fires,3mZqziCJj4pq3P2VBpmK6p,Run The Wild Flowers,1EPgwIWRJzhYkKj4ecv8RM,53,not available
20,Waiting,0vJyzamRqV9RAQhK0R9ZxV,The Sherlocks,4SrofCfzlhtiKRAsMfBxV4,Waiting,0WdCH6bIH5LRYf76sqpZwZ,44,https://p.scdn.co/mp3-preview/002fe03c46246dc8e414c75a7c8bacd199de5056?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Take Control,4ayIpClJzUh43tJgzyPI9f,The Mysterines,15QhuBSLfDNECfF8wvxj0M,Take Control EP,60fONqEriuAr5UWfkIXJPa,48,https://p.scdn.co/mp3-preview/e58c2b83433eef70d7e7150eaa64be8b6b01999d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
