Monday Motivation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,598234,spotify_uk_
1,Joy,3QpkbrYXtlU3LRJu3sTK6V,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,Joy,3sXJapthAz9vvXDKIwEprp,67,not available
2,Sucker,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4W0r9HOcuCC6Vh7aze2hwi,88,not available
3,I'll Be There,083Qf6hn6sFL6xiOHlZUyn,Jess Glynne,4ScCswdRlyA23odg9thgIO,I'll Be There,7o6j8wph7fvEcAL67jLVGN,75,https://p.scdn.co/mp3-preview/50b537f9f475abff638562ae8806391009d24d43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Paradise,38zwkK6TtTjIW9tpYBfZ3D,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Staying at Tamara's,2NaulYO6lGXTyIzWTJvRJj,76,https://p.scdn.co/mp3-preview/8528a83aabba1174b138f919363776a6fa32a993?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,It's Not Living (If It's Not With You),3TgMcrV32NUKjEG2ujn9eh,The 1975,3mIj9lX2MWuHmhNCA7LSCW,A Brief Inquiry Into Online Relationships,6PWXKiakqhI17mTYM4y6oY,75,not available
6,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),1V9oE8bVilClrk5naqyyvL,89,not available
7,ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,Taylor Swift,06HL4z0CvFAxyc27GXpf02,ME!,0WGakTFs8cnggcYsHjIhgy,47,not available
8,Dancing in the Moonlight,0w07a1vsKahQMM0RnPXHVT,Toploader,6xeFne1rkxMhKSW3ipvkdV,Onka's Big Moka,1U8WGKT3mIvxtoJZ9D3UDz,52,https://p.scdn.co/mp3-preview/880d4af15de80a4294607efb1a2081a137859861?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,2002,6SFStUDQZNaGPKWOx9ZiJB,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,Speak Your Mind (Deluxe),661ouXU4o4oBewWvVzQN7H,25,not available
