Get Your Guitar Out,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2710,spotify_uk_
1,Wonderwall,79RUMZfMNMpqZnswovvTqv,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's the Story) Morning Glory?,0PTVq4kaAAuROnfvfA7bHG,74,https://p.scdn.co/mp3-preview/48a875fc1117e0c027571813c3c65b7c4fe52cfa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Dancing In The Moonlight (It's Caught Me In It's Spotlight),7pzJHDC3qv0qMJ92WZJk7G,Thin Lizzy,6biWAmrHyiMkX49LkycGqQ,Wild One - The Very Best Of Thin Lizzy (Remastered Version),01iw3ZO4AQKvvIjXq5wPEL,4,not available
3,Graceland,51KKQAgYFoJHgVIuJWHdHb,Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,Graceland (25th Anniversary Deluxe Edition),6WgGWYw6XXQyLTsWt7tXky,65,https://p.scdn.co/mp3-preview/7e2256807c1cccc86e17d5f6775be16331499551?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,"It's All Over Now, Baby Blue",4qaIiHj2xKsrLBWymx8sA6,Them,5BaHqGtf6UAZnHfqdPaTDA,Gold (International Version),7c0kHEfTvWuKKzhyiyuTNH,5,not available
5,Mr. Tambourine Man,3RkQ3UwOyPqpIiIvGVewuU,Bob Dylan,74ASZWbe4lXaubB36ztrGX,Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v,64,https://p.scdn.co/mp3-preview/f4270fc48011ef0864a7c32a889d641579dba929?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Brown Eyed Girl,4myBMnNWZlgvVelYeTu55w,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,Super Hits,7cQhE9arqGBgQfdLu47zdm,18,not available
7,I'm On Fire,3PzsbWSQdLCKDLxn7YZfkM,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Born In The U.S.A.,0PMasrHdpaoIRuHuhHp72O,74,https://p.scdn.co/mp3-preview/f3bae9928744d8a6840dc8bf43a5ed1416adadff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Hallelujah,7yzbimr8WVyAtBX3Eg6UL9,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,Various Positions,6I58qJMqZHhb8jtNT3CuJB,65,https://p.scdn.co/mp3-preview/d26172635462cd43756f9a7bd30c1e0f68334954?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,House Of The Rising Sun,29vSiQwtecxwoyw1dJdEZ8,Animals,0TMFgOxugjho5stCdUSGBc,Legends - Animals,4NewwHkrwbFpAQzvp6tJxt,0,not available
10,California Dreamin',7BsD3xcEhgTmc4zegwbkHj,The Mamas & The Papas,1bs7HoMkSyQwcobCpE9KpN,The Ultimate Collection,6j4YQLLskYcicSaYCavV6q,14,not available
11,The Sound of Silence,4YFRvewBPozzyXqSgHYUfi,Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,The Paul Simon Songbook,33wIA16ZMEUGgKQTdQl9Mv,45,https://p.scdn.co/mp3-preview/f95af05e622fcdff8d55e1719b1eedf8f298bfd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Got You Babe,2SWBfqj1FrS8t8z56G55rP,Sonny & Cher,71lGEtP9qYXDsSXjfexTqO,The Beat Goes On: Best Of,5QzkzMcvCJSk30pQS2mqia,61,https://p.scdn.co/mp3-preview/aa94b4bc2aaa671a0c0b877a2d466ad190d6ec59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Walk on the Wild Side - Remastered,5IWaBDlSj7YMGW7IFGLFEV,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,The Definitive 70's,5VNZN3Z19EUyeEax31nAee,2,not available
14,Go Your Own Way,0FeCO85RKW8fDRytwXof2x,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Rumours,63k57x0qOkUWEMR0dkMivh,28,not available
15,Tiny Dancer,4BGJSbB5rAcg4pNzD4gfxU,Elton John,3PhoLpVuITZKcymswpck5b,Madman Across The Water,6eXE4xeu9GHSa8zTEVtFep,21,not available
16,Golden Brown,4pC4usqAN2930VJNKoA79Q,The Stranglers,0RUEHcBiENFEqxgicqS2ig,The Collection 1977-1982,3zLQ91RSvlMXoaHcOxU4T7,52,https://p.scdn.co/mp3-preview/483ee8625f80676748f66982e54982cfbc2032ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,New Slang,47F10EemSKAI6A85hLIpn0,The Shins,4LG4Bs1Gadht7TCrMytQUO,Garden State - Music From The Motion Picture,24mCiOTIF5Ob1uwluRFERv,3,not available
18,Come As You Are,0MKGH8UMfCnq5w7nG06oM5,Nirvana,6olE6TJLqED3rqDCT0FyPh,Nevermind (Deluxe Edition),2uEf3r9i2bnxwJQsxQ0xQ7,78,not available
19,(Sittin' On) the Dock of the Bay,50uGbeaQIxKiSc7jvRTjWx,Otis Redding,60df5JBRRPcnSpsIMxxwQm,"Atlantic 60th: Soul, Sweat And Strut",1LBWNRMsbEWb17KmDD4jfD,65,https://p.scdn.co/mp3-preview/f4a5f20ce3896f0a7a7cb335ff7b544cf0219a9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Wish You Were Here - 2011 Remastered Version,1wHSxWBfPr3GO31y8KGrWe,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,Wish You Were Here [2011 - Remaster] (2011 Remastered Version),1x0uzT3ETlIYjPueTyNfnQ,17,not available
21,There Is a Light That Never Goes Out - 2011 Remaster,0WQiDwKJclirSYG9v5tayI,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,The Queen Is Dead,5Y0p2XCgRRIjna91aQE8q7,73,https://p.scdn.co/mp3-preview/839d38dbf04ca2ff858eb03d0442358ffb393adb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Africa,2374M0fQpWi3dLnB54qaLX,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Toto IV,62U7xIHcID94o20Of5ea4D,85,https://p.scdn.co/mp3-preview/dd78dafe31bb98f230372c038a126b8808f9349b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Island In The Sun,3Pnhzf3Knhdsavx0VM2ZmG,Weezer,3jOstUTkEu2JkjvRdBA5Gu,Weezer (Green Album),2hDiTEsKePTnDcvKEuLizk,15,not available
24,Fast Car,2M9ro2krNb7nr7HSprkEgo,Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,78,https://p.scdn.co/mp3-preview/d7c7088e15ff83fd4352fa675f52e29986671b0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv,Eagles,0ECwFtbIWEVNwjlrfc6xoL,Hotel California (2013 Remaster),2widuo17g5CEC66IbzveRu,83,https://p.scdn.co/mp3-preview/50e82c99c20ffa4223e82250605bbd8500cb3928?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,The Joker,371VkfwKiXJxgH5ZPoQNHD,Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,The Joker,6jIR8ITF5YSa3i9ILvA9E1,20,not available
27,Ain't No Sunshine,3gJgUanZ5JcFZJ1a5hM3dw,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,Super Hits,6HEy8GSZ8tefx3VrSLRSlp,9,not available
28,"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2015 Remaster",3araxDbRmXOwPPiG94HR15,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,Forever Man,3gaFg68VkhrZUU9wfaLp5T,41,https://p.scdn.co/mp3-preview/454a3f4b9d9e93270b1bbff07ada177aef18633d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Ain't No Mountain High Enough - Stereo Version,4fZJG8y70r2hyw3Kb4sU4N,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,Marvin Gaye '50' (International Version),6dP88Q6t9UMPowre0Gaywa,18,not available
30,Everybody Hurts,4tCWWnk3BXinf7FllmSyHW,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Automatic For The People (U.S. Version),006Qsi10luS9xEBAcIWGTf,23,not available
31,She's Not There,3dzW0SoVNyJTWWJimX8stj,The Zombies,2jgPkn6LuUazBoBk6vvjh5,Begin Here,1vWVHhniWzqyNC0UzDDGs4,59,https://p.scdn.co/mp3-preview/3a76321231fe16df6523a7af5d0b83ae23d7f566?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Stairway to Heaven - 1990 Remaster,51pQ7vY7WXzxskwloaeqyj,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV,1Ugdi2OTxKopVVqsprp5pb,70,https://p.scdn.co/mp3-preview/da57b9497b855355f1874eac17817d25eb90b71d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
