50 Years of Songs of the Summer,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1157,spotifyusa
1,This Guy's In Love With You,7a3g7jILDCvADVN9NQIyYj,Herb Alpert & The Tijuana Brass,09L3cUdx0hq6qn5bKuJJ4I,The Beat Of The Brass,1gLr8rpbgu3NHm40y03aKh,57,https://p.scdn.co/mp3-preview/7ba7c4baa98c5a36ae3e5ab2228ac86e7a7f08f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,In the Year 2525,3LdLGNKCW0dNr14JQlZPQt,Zager & Evans,55IyYO6fmYpYw6Nd4YF7bw,Radio Hits Of the '60s,7utciXyZzFAXrLFl2PAoBA,37,https://p.scdn.co/mp3-preview/f9d32b2028d483a90718293b0b73d4f1b9ea70b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,(They Long To Be) Close To You,79SE4x5ZROfEqaN12nXFHj,Carpenters,1eEfMU2AhEo7XnKgL7c304,Close To You,12W640dvidMRkzymxpCdAb,6,not available
4,How Can You Mend A Broken Heart,1jy0RbDHyBMTupSdc98XbG,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Trafalgar,2FHiXBmtRn9fuTRyRHWcnV,57,not available
5,Alone Again (Naturally),6vuEG9sZtC4W2zT64f7zLF,Gilbert O'Sullivan,4HVmeVTQBgvTuvjB1JYwaf,Back to Front,1INjTJtV8EwpUZF2xgwvAt,54,https://p.scdn.co/mp3-preview/71a1274d87e164cbb184f92093a9f35dff48932e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"Bad, Bad Leroy Brown",7qFg0joTjCiYOvzrt9nNtg,Jim Croce,1R6Hx1tJ2VOUyodEpC12xM,Photographs & Memories - His Greatest Hits,5M1LRjo6pwaxEBuu7Dbvjb,52,https://p.scdn.co/mp3-preview/61903380c8e8a6f4944fb14cf5defd910e209c7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Annie's Song,5qxFudz7A6PGptviHsz4Yd,John Denver,7EK1bQADBoqbYXnT4Cqv9w,Back Home Again,33KGuaxYmTlMgauIxfovy6,21,not available
8,One of These Nights - 2013 Remaster,608xszaAxVh4m7NcKJiAbF,Eagles,0ECwFtbIWEVNwjlrfc6xoL,One of These Nights (2013 Remaster),0F77QekrNe8vVAjU2sepja,70,https://p.scdn.co/mp3-preview/bb44437d983ee6ed4cf63453dc20f29a2c77db88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Don't Go Breaking My Heart,5pKJtX4wBeby9qIfFhyOJj,Elton John,3PhoLpVuITZKcymswpck5b,To Be Continued...,7iKDBfOFUtg8E8RbuDhiux,72,not available
10,Best of My Love,6UjlpJhUqOQqv0hrb38IDI,The Emotions,64CuUOOirKmdAYLQSfaOyr,The Best Of The Emotions: Best Of My Love,30OwtFBugzMGsAYhXzEBEP,58,https://p.scdn.co/mp3-preview/e20c1aaa3a9cd0654d3315b31cf9d7079f244d63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Three Times A Lady,4ztwMHfPZhPoruZdBbgriM,Commodores,6twIAGnYuIT1pncMAsXnEm,All The Great Love Songs,5ZsWgDWvZ2luAHlczO8h2o,55,not available
12,Bad Girls,1Hfm2cnD1jjv1Fl7tBGTQW,Donna Summer,2eogQKWWoohI3BSnoG7E2U,Walk Away - Collector's Edition The Best Of 1977-1980,1stKyFV5HMvPMj3tlUG0nm,4,not available
13,It's Still Rock and Roll to Me,64UioB4Nmwgn2f4cbIpAkl,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,Glass Houses,5sztejERqpktXEdemlUvU5,67,https://p.scdn.co/mp3-preview/6093eca9ada1703e23bed495e84cb8ded9a6496f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Jessie's Girl,0TF3F5Lw5apoD1zvR8LikO,Rick Springfield,6IFXsrXBpwbIqtOUOiAa3p,The Best Of Rick Springfield,7bVG2FiRaUwDyzlOFxVX9i,66,https://p.scdn.co/mp3-preview/756a04b27d001a10c2ecf5a287ba815c58a9ffe2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Eye of the Tiger,2KH16WveTQWT6KOG9Rg6e2,Survivor,26bcq2nyj5GB7uRr558iQg,Rocky IV,3t3BbpFJiGcXl4jI5CRLLA,77,https://p.scdn.co/mp3-preview/9e37f230afd37042e49f3d144c3b94e0b39ef8ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Every Breath You Take - Remastered 2003,2sXp9Qmvc7mRaDBjBgcGGi,The Police,5NGO30tJxFlKixkPSgXcFE,Synchronicity,7yDxJXFPl88Dt9kBo0dDD6,28,not available
