Top Daddy Tracks,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,24,spotifyusa
1,Despacito - Remix,6rPO02ozF3bM7NnOV4h6s2,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,Despacito Feat. Justin Bieber (Remix),3Gq2Dme9nesdgoqNNlcN8O,77,not available
2,Real Love Baby,6YDf6QV7QfCEo8O2dbWalK,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Real Love Baby,6IpBMtAMrBvSHc9y6rTtQQ,67,https://p.scdn.co/mp3-preview/a73451291399b823c9f1b36d2f507dd0e5052c97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,The Lion and the Lamb,5Pw7N0X98heh5jfGmfO8j9,Big Daddy Weave,4SsMf4SjhOlSqEitcprgBt,Beautiful Offerings,2nWTqt1W9qwhfWTMQ0vcNV,3,not available
4,Let's Go (feat. Big D & Twista),1fLibtVj3MrNTwRZq5yUOs,Trick Daddy,12FHARd9fY0Tu0ila4Ua25,Thug Matrimony: Married To The Streets,2Ve8rF1LYTRGl3ZAI2z2YT,66,https://p.scdn.co/mp3-preview/8625e92bd385d2d883f4438c834f173427de7ebb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,One Last Night On Earth - Speaker Of The House Remix,5auepChUKwbHO1NWBwqGBN,Dada Life,00sAT5YX8W3xNd1EuqyHw9,One Last Night On Earth (Remixes),6EAROQtS16YckG2Iw0g4I9,48,not available
6,El Telefono,614NVFo5csQqRnryl4jXs2,"Héctor ""El Father""",2TjgzYcbTdsZjbT9OItIeB,The Bad Boy,5eklEkHSU1l3yewxdePzRL,64,not available
7,Heartthrob,2cFEmtq7p1GGEkQY1PJXdw,Father,10AY17ALos2o3akPqrPydw,Heartthrob - Single,5U8CvyI3yZnjIt187e3VpQ,42,https://p.scdn.co/mp3-preview/e152abd0d9e8778513af255e2da069aba6b0d624?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Something New,1NJPdIrqu7QFP61Es5UUZb,Grand Daddy I.U.,1XMAYcdy0aZQTZ6S4deMUd,Smooth Assassin,0l3rIBo4oiewp4M9qGbKcl,20,https://p.scdn.co/mp3-preview/50dce50c102fe59df6e5d93a94b14a1557df53c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Shame,0BxwLWELYVGKqzUGXJNmT7,Young Fathers,5mZC7ndY6oGMxJentRwsuV,White Men Are Black Men Too,3xtwcBeltPMO0I4PnDfV0k,48,https://p.scdn.co/mp3-preview/d7f6a5fc8009838446db46f57d9bcf90ec430b18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Burning,68P6curJxwqo7ockKvSIAa,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,Burning,5SZYc1M55bN5GUi3Oozv6Q,2,not available
11,Ain't No Half-Steppin',0dNiLb9FEHrRK7VFDJctiR,Big Daddy Kane,6futYSDVulYR2PktBjTB5W,Long Live The Kane,5STvD2F7IQ51f4Cd2y5r3z,57,https://p.scdn.co/mp3-preview/9e0241178a2a399180f7440cdaa614ad68a1b2a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Ay Haiti!,3FifroUyur8j5mTM78WuXQ,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,Ay Haiti!,1Lf1a9gQPIuDOZqrbhzoGk,58,https://p.scdn.co/mp3-preview/19df6f2062fc4538cd0fa7d08bcf438bec218d7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Seaweed,0J5UOyvGGgWmcQPUbScXul,Hockey Dad,1GJ1uwDfaA8GVVpVc2I2d2,Dreamin,6eJmt62sneU4X6mu0XbRfX,59,https://p.scdn.co/mp3-preview/47dd0be0810d901aa6543a2bbf79ea12ffb36c03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Regalo de Vida,7E2sMTzzZ2TfxjL7Bw5jIl,Papi Wilo,0lnehUfeSQDs1Mbbc4fa6K,Persiguiendo un Sueño,4oZSJFF5KUTlK5B4CTy3q4,41,https://p.scdn.co/mp3-preview/43bf7fac49623b3681a75fc5f76075799e6df95a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Pattern Select,0Oz1Zjhb8yGGaO9CXFqQVh,Suff Daddy,7BYXrz5LhCrix6A3EwPvU0,Suff Sells,7gNcH3fAnxtEQ4BpgRIqHl,2,not available
16,IMISSU - Radio Edit,4csv5dGlZ7svAgdQq21ZxU,San Holo,0jNDKefhfSbLR9sFvcPLHo,IMISSU,5DFEyjVOcb4JBORWDWEXBj,0,not available
17,Estupido (feat. Janeth Guadalupe),7jkSmurPDivppMGamGnmdN,Los Papis RA7,1y7GWTEfMzxafQ4mL0uZpq,Tonto Carino,4hHMUL65fAWuJUo8dV1tC6,60,https://p.scdn.co/mp3-preview/b57ea7445b2bf2fb80f8de0a1b8d82f38bd900e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Minnie The Moocher,0LFIogdKLhuH3y1Tf78EYW,Big Bad Voodoo Daddy,6ROyXB8NDG0fA78S46JdTB,How Big Can You Get?: The Music Of Cab Calloway,5EaHXOzSnLy8aRqD4gaCht,46,not available
19,Return To,25E8bGymV8oTPf4vbSM69C,#1 Dads,0RCHY4NGqCJ5GLWCYz2OiI,About Face,6mnMmgISatmEUV9WbCCY9o,43,https://p.scdn.co/mp3-preview/2875fa1373e0fe03171a7074d593995a837c5771?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Always,7ARF5nMaEIwAvGNoY5V5DT,Fatherson,7DRjM0vtwvKxZYnd9mPaP9,Open Book,3QtRa1ioVt6XegDsxMK8MH,36,https://p.scdn.co/mp3-preview/d162bf24add4a68addea1efb6d6ff77479bfcfbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
