Seattle - Wallingford,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,28,spotifyusa
1,One,3G69vJMWsX6ZohTykad2AU,U2,51Blml2LZPmy7TTiAg47vQ,Achtung Baby (Deluxe Edition),0ta5VdkJcpdVnNrn7g4cZe,77,not available
2,Blindfold,09zAB9TxGj2nhFrAFQAZu1,Charlie Cunningham,78CiW0UJbHspFaVuVexOK6,Blindfold / Heights,1BiVApg6RrzJ1KkF4gqqGB,2,not available
3,Runaway Train,3TW48DvQ7ChwY1Yy1tkMaP,Soul Asylum,02da1vDJ2hWqfK7aJL6SJm,Grave Dancers Union,3EFhsxrJoH3yE3r8bHheE6,69,https://p.scdn.co/mp3-preview/b7955ead5c4952e490595c31be111a3febf568a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Eugene,161iDrAGFqkzeXSaxworBs,Sufjan Stevens,4MXUO7sVCaFgFjoTI5ox5c,Carrie & Lowell,0U8DeqqKDgIhIiWOdqiQXE,53,https://p.scdn.co/mp3-preview/7f812befb1b02bb6c3d707160aa6ef87b14fa600?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Underdog,2YRuexk6q6so8F5M69n4t1,Spoon,0K1q0nXQ8is36PzOKAMbNe,Ga Ga Ga Ga Ga,6zEGEx2ZXpiLczrpu5wWqu,5,not available
6,Live And Die,19n9s9SfnLtwPEODqk8KCT,The Avett Brothers,196lKsA13K3keVXMDFK66q,The Carpenter,4RclFqtNPoThUz7327xFbD,57,not available
7,Dance to the Music,1MQWtVcs0PKsY4PA6ZvLiy,Sly & The Family Stone,5m8H6zSadhu1j9Yi04VLqD,Dance To The Music,2j9rvROPPJGn3xaRztD1rX,63,https://p.scdn.co/mp3-preview/286bb87c816fcb6142cef99f446e3c0f8ff8dea7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Lips,2MHdIP9qDvpHDsJfIXp0j6,Marian Hill,1xHQO9GJIW9OXHxGBISYc5,Sway,4GgwHp794AzZkv2hh8geZu,46,not available
9,Burn One Down,2QzMJkYUhThZxM94ahgOzN,Ben Harper,45lorWzrKLxfKlWpV7r9CN,Fight For Your Mind,3qw2TRebw37Mdb3aP78kM4,58,not available
10,Turtles All the Way Down,4NE3oWyUQI2b2NjyMyC8Bi,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,Metamodern Sounds in Country Music,4makbOuLd5SUdyHMaNM1Ag,59,https://p.scdn.co/mp3-preview/e2c12326bfa6e004ff11e42960ded8c24e09617c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
