Seattle - Ballard,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,21,spotifyusa
1,You Can't Always Get What You Want,6lFZbCc7pn6Lme1NP7qQqQ,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Let It Bleed,4l4u9e9jSbotSXNjYfOugy,67,not available
2,Cliff,17sgGdhxYjvpp4PZL8ZJYA,Låpsley,27ze6hCgfr3HcDZAHY60pg,Long Way Home,6yhHW85d9Z6D3uyvLZSZxI,42,https://p.scdn.co/mp3-preview/4b40b3fe5c28a965497ab480b83d8762df1889f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,50 Ways to Leave Your Lover,6Qb7gtV6Q4MnUjSbkFcopl,Paul Simon,2CvCyf1gEVhI0mX6aFXmVI,Still Crazy After All These Years,4A366gjTrYQwmRtkTezF2W,70,https://p.scdn.co/mp3-preview/b82d798743c8fae13ce9ba649805a39375569222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Falling Short,3FerxZiiAtj2SHpuHkPNdp,Låpsley,27ze6hCgfr3HcDZAHY60pg,Falling Short,1z2y5QRiWEZSEAZzzhM3Iu,5,not available
5,Gamble for a Rose,3qhyaik3Koy3cvLk9h5L8G,King Charles,6QKDcdjtwqu4E7rztEUQu5,Gamble for a Rose,2m7HIJEYualrBm7WAvcmZA,42,https://p.scdn.co/mp3-preview/3aa22c326507dc592d904638c2a0a474697120ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,North Swallow,3EapLR52jlyZQThOthMqpa,Barn Swallow,253nugtUUhzlGmERB9W53g,Barn Swallow,280Cs8jnSuuk4FXrLgIhvH,40,https://p.scdn.co/mp3-preview/8babc4a577c06b2bbe4e603fa5c8f4b6b8c9e1bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Heartbeats,2YacpExEbX9tF8IbFlFOo4,The Knife,7eQZTqEMozBcuSubfu52i4,Deep Cuts,1iqMDM4Io1tnDDl58NGeVJ,55,https://p.scdn.co/mp3-preview/f3c32a74aa29f96384928604336ab6ea0585bfca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Use Me,1k2ybm1oz7rVPchTKCgMMz,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,The Essential Bill Withers,36qxAJDnXvbjD2UVAkawwZ,49,https://p.scdn.co/mp3-preview/0f97716846b7b2e9e7e82edd8555b35030c8b90d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Nothing Compares 2 U,3Dg0NYsW5fYSSxMnkSlhA6,No Pressure,3ID4H5N5xdpCnhCkQe41bu,Nothing Compares 2 U,1tbZU28gO1z8TrbMJ8qCyz,0,not available
10,Lazuli,0Fc8hmAuH0rHYq2Ur9t07Y,Beach House,56ZTgzPBDge0OvCGgMO3OY,Bloom,5k565ga9B9EJqLyCatmrt0,4,not available
