"SO much love for you, Ma",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,31,spotifyusa
1,I Will Always Love You,4eHbdreAnSOrDDsFfc4Fpm,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,The Bodyguard - Original Soundtrack Album,7JVJlkNNobS0GSoy4tCS96,77,https://p.scdn.co/mp3-preview/91e6d3e0b48cda2f3a1b2391a1c1384fbf73b8a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I Couldn't Love You More,0IuvnSzxQJm4TcnfaaZcah,Sade,47zz7sob9NUcODy0BTDvKx,Love Deluxe,6Y8lHGQqTmbE6Hhj1mMCkX,53,https://p.scdn.co/mp3-preview/3a296c04d79b691bf925ef9f2efdb6d133fa7378?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,I Love You,6LlrR9hrCd12AFUXYlWqBe,Sarah McLachlan,4NgNsOXSwIzXlUIJcpnNUp,Surfacing,5qC5YqtLMlsm5Pyl6GtfpP,41,https://p.scdn.co/mp3-preview/ba13131510c40e2429ec6b57c01776eb97cc7ddd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,I Honestly Love You,4w2DQnTAbzmduTv0zCT5QD,Olivia Newton-John,4BoRxUdrcgbbq1rxJvvhg9,Hotel de Love,4TmIWqZ3vTzl9Q0poy8Bie,17,not available
5,"Baby, I Love You",2vWpexnqyNzFoUpmLHxGVb,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Chain of Fools,3m1QOZksdlPeoQsdSgCdvc,48,https://p.scdn.co/mp3-preview/54c6d5a806cc91bf599d47152c77739dcedf83e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Why I Love You So Much,7EKvTUo567BRNzZ37clvlf,Monica,6nzxy2wXs6tLgzEtqOkEi2,Miss Thang,71mPApAzW9HkbUGdYzMQHb,51,https://p.scdn.co/mp3-preview/3850cedcc9b38ee31ec05c76157f4a23fbc5f30d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,I Love You,22RAykmTzyou12bGRdFubo,Martina McBride,3P33qFNGBVXl86yQYWspFj,Hits And More,6qP0ktcSi5AOcDIAMwCxXu,30,https://p.scdn.co/mp3-preview/cee425f0e5ffac206be24adcca35591ea6f494f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Love You I Do,6cK8uSoVGXJG6k2FzV8zwv,Jennifer Hudson,35GL8Cu2GKTcHzKGi75xl5,Dreamgirls Music from the Motion Picture - Deluxe Edition,6CE7lOrUh9v8WSZkzGjCcu,0,not available
9,I Love You,6gsmFgUiSTuinJlScwFODv,Faith Evans,5NDMothbpdpq2xHqSjrrWn,Faithfully,0pP9NBXbbRH2ZJb7fazkZy,54,https://p.scdn.co/mp3-preview/fc42ce71c03c04481b4839307c58603f58b64b2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,I Love You,0rzAA20MzNwSmTQ4J4Thgv,Tamar Braxton,1MT1Wz4G9Z9EVOg4L5zZMS,Calling All Lovers (Deluxe),4t2hkcVn67lLkRJdnyuuBW,29,https://p.scdn.co/mp3-preview/4c4423b197edace7bd36c3fa2e5ddb55e8da606c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Greatest Love of All,6yJxCltgtmGxIgKOS6ndnu,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,2MH37enG6IPvNK5QFLyKes,66,https://p.scdn.co/mp3-preview/12144a766d983ea0484b29e7c43e70c4ccf535c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
