Shower Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1033,spotifyusa
1,Wake Me up Before You Go-Go,5J0S5UgpCwlmEagrqgzvoC,Wham!,5lpH0xAS4fVfLkACg9DAuM,THE FINAL,5jfcf8xqTcTcrzn95T3INH,21,not available
2,Work,1iMq1SKpMAfEDl7yh9g70j,Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,Work,19ueFHMzNqwsbbdvIEAFXi,0,not available
3,Reflections,2jLjVXkSJmMprZpIV4gXLN,MisterWives,5ivCbtrcD5N4rD337xIb2z,Reflections,5xM6nKztgu6QNXj8ciiUEg,3,not available
4,All That She Wants,4PifbP29I4IF0I437LTMW3,Ace of Base,5ksRONqssB7BR161NTtJAm,Happy Nation,6ainZWIWWIxOhIEGuSAZbg,8,not available
5,Dear Future Husband,10Lqmv7SXFxyfzk3gbgMMa,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,Title,23T52TnvD0UqLRsuRHHAHA,1,not available
6,BO$$,6rXcizzkBRUeExD57bALen,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,BO$$,1R2prHq7IRSRTzhMJz7I6w,9,https://p.scdn.co/mp3-preview/c0501d96f8f98728428d3533cf96d879dca192b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Something Big,5f0WLQquCf955JPSnt7JvR,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Something Big,7dDI5aF54pUpc6k8GfjYvZ,0,not available
8,Sweet Caroline,6b5PBL2QNXmAt1DfqbwO9Z,Neil Diamond,7mEIug7XUlQHikrFxjTWes,Love Songs,0t3mxFC9zsswDNT2OnfoVk,12,not available
9,It's Time,40xtweuHBkLXNMO3xCK5AZ,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Continued Silence EP,5eJa2BP7rrqkrpFpTiANPg,21,not available
10,Stitches,3oItS6DBV57fWiDExW2Mdv,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Stitches,6MDuZIhpOq0hVtNCjiTuS5,6,not available
11,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",11JqS3TUvbDQt4W9Lji8Ml,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Fifty Shades Of Grey (Original Motion Picture Soundtrack),7cY6OtWTUsLxuSnl8balDe,38,not available
12,Baby Love,7yrhYiObdVbdo1XDUg8VdD,The Supremes,57bUPid8xztkieZfS7OlEV,Golden Moments,4XIbmP53zK67wpaADb3ErR,15,not available
13,At Last,1hXIdXjAI4nWz4qnJ28iO2,Etta James,0iOVhN3tnSvgDbcg25JoJb,At Last The Very Best Of,5mKhSxFMOBFtf76VHaMyRS,10,not available
14,"I Can’t Help Myself (Sugar Pie, Honey Bunch)",2EiyrT9qY8aSzOZXffkxWK,Four Tops,7fIvjotigTGWqjIz6EP1i4,Golden Moments,4XIbmP53zK67wpaADb3ErR,4,not available
15,It Takes Two,1qVJUXLuF1QRit8wUKR94z,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,Motown 50,7ImqqRQS2qISxWte6YbX07,8,not available
16,Let's Stay Together,3uJ8zHRASayItvcSRh8TIm,Al Green,3dkbV4qihUeMsqN4vBGg93,We Are Marshall Soundtrack,72gsfXVb92BPzas9adrQ1x,18,not available
17,Try,0dSchkfNB8SzYj8Bx7bcCW,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Gypsy Heart Side A,7JRXqBqGNs3cy5YhqbvNuu,61,not available
18,September,6IWkdrBY2O0vfQdfEKGUdF,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,"The Best Of Earth, Wind & Fire Vol.1",3IdGf5JgMYUrO9gBaD0Oqw,15,not available
19,Skinny Love,0zP8BJOamm7Q9aNMwCby55,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"For Emma, Forever Ago",3JKLAR3XV8VIFIHagNAR3Y,9,not available
20,Unkiss Me,1FonxoT2h6EmGj1qKQ0vZi,Maroon 5,04gDigrS5kc9YWfZHwBETP,V (Deluxe),6i7WCdMCeqUKte5zU8DUUA,0,not available
