Seattle - Queen Anne,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,23,spotifyusa
1,O Come to the Altar (Live),1lEk3U3MzbDeL5MNHkE9JU,Elevation Worship,3YCKuqpv9nCsIhJ2v8SMix,Here As In Heaven,6KToyzPBIfHNyB5vWEfjrF,72,https://p.scdn.co/mp3-preview/7d7b21c22e4408cab450115286c248a84196bac8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Holy Spirit,1AtwsVXr1zaZf4YgIEOlDK,Bryan & Katie Torwalt,7bvAtcPT3evvSeHDyu2zBC,Here On Earth,19PjTWD8F605hMJgRoikEA,54,not available
3,Come Thou Fount,3TjbpRjtWYHFwigdLMr8Zl,Kings (MHM),64bkd3Cql2VeQBIfl5tjCC,Asaph's Arrows,0Pys5OxfX2iOtIUiFoDDMh,53,https://p.scdn.co/mp3-preview/a11ed68499a5687b02a5878b89e0b4712645ec9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,It Is Well (Live),5t0izTLPeWYLiIfHPJbORJ,Bethel Music,26T4yOaOoFJvUvxR87Y9HO,You Make Me Brave (Live),6wuUosaTZizPH4t085tNVg,66,https://p.scdn.co/mp3-preview/cfd051b3e16c45a282ffc7cbf83ee89a8f910c8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"Jesus, We Love You (Live)",6imkvepCHheIMhxdbxp53M,Bethel Music,26T4yOaOoFJvUvxR87Y9HO,We Will Not Be Shaken (Live),6Es2No0kYBzVAQlSmsEaZm,50,not available
6,Set a Fire,3LSna6W1dRf2QbsUgmRoFf,Will Reagan,3P9Tb34QQEWyjm1pYdPfOP,Endless Years,4UVvmClozVCOUjQ89uKdaP,61,https://p.scdn.co/mp3-preview/1e6f289e90d9f88ffa2044b8cfe1f79e2b79a664?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Scandal Of Grace,0st2C7aLz9xkr7JyshhUHK,Hillsong UNITED,74cb3MG0x0BOnYNW1uXYnM,Zion (Deluxe Edition),3A24aBx6jZCAgovIbZUubC,52,not available
8,Resolution,46C4o5fbERwSu38LjWtDj9,Matt Corby,7CIW23FQUXPc1zebnO1TDG,Resolution,4tdzAgo7pkWfip1jSWtXZ8,50,https://p.scdn.co/mp3-preview/f841090400150d302c742173cefd0063b4b6b0f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Sparks,5d6kimf9jAqvWOHWE0nV1q,James Bay,4EzkuveR9pLvDVFNx6foYD,Chaos And The Calm (Deluxe Edition),1wKwGLPJl68zYLaA0Od0vc,40,not available
10,Great Are You Lord,1Hv54MWloXiAZDam1ez840,All Sons & Daughters,44LPOpECjnIlnwH91wo2ir,All Sons & Daughters,5f8vRVVJgA5uAqYMDYDju6,57,https://p.scdn.co/mp3-preview/c179f073b8630f5d255e4300ab9a58dc5b6615e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
