Starred,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,163,spotifyusa
1,Come Fly With Me - Remastered ) [The Frank Sinatra Collection],1VVRAVneb2Fn1j7SzsnvMg,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
2,The Best Is Yet To Come - Remastered ) [The Frank Sinatra Collection],1BroPPEXd7ki3iKf7FEy39,Frank Sinatra with Count Basie And His Orchestra,46uyB9ZifPbLFQ7TXuZlJp,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
3,The Way You Look Tonight - Remastered ) [The Frank Sinatra Collection],7EKVb8drYSmAXWZ5LLc1be,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,2,not available
4,Luck Be A Lady - Remastered ) [The Frank Sinatra Collection],4F7mPv5qVHYqa64kE3taG0,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
5,Bewitched - Remastered ) [The Frank Sinatra Collection],3n854RodyeTdYpA03MA490,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
6,The Good Life - Remastered ) [The Frank Sinatra Collection],7djkv4t1vdbSOPWq2Kmrui,Frank Sinatra with Count Basie And His Orchestra,46uyB9ZifPbLFQ7TXuZlJp,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
7,The Girl From Ipanema - Remastered ) [The Frank Sinatra Collection],1mToe5ip1ntMACdU3ETnti,Frank Sinatra and Antonio Carlos Jobim,2YcL8guGsczVSJxaIwuCPG,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,1,not available
8,Fly Me To The Moon - Remastered ) [The Frank Sinatra Collection],4x63WB2sLNrtBmuC1KpXL1,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,2,not available
9,Summer Wind - Remastered ) [The Frank Sinatra Collection],1pDCQbBEVdLKNRQJ4ELCCt,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
10,Strangers In The Night - Remastered ) [The Frank Sinatra Collection],4NGvnNk7eUUYN4U52BuDfV,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,1,not available
11,Call Me Irresponsible - Remastered ) [The Frank Sinatra Collection],1oGXAqYXzt40YtIqiUnlv8,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
12,Somethin' Stupid - Remastered ) [The Frank Sinatra Collection],0eYXGlTTtZBmqAfMVZe67l,Frank Sinatra with Nancy Sinatra,1zw3G7c4vahr4WWYhnkCoY,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,1,not available
13,My Kind Of Town - Remastered ) [The Frank Sinatra Collection],04JvtDmldQRBWgfxqgkz9U,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
14,It Was A Very Good Year - Remastered ) [The Frank Sinatra Collection],5jrzcYgWeA0r8WPCx5NFdd,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
15,That's Life - Remastered ) [The Frank Sinatra Collection],2Fy3O4gz4ebroaLu9AfSIu,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,1,not available
16,Moonlight Serenade - Remastered ) [The Frank Sinatra Collection],2F5SYe5ipN6Aj6utZ5MSxL,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
17,Nothing But The Best - Remastered ) [The Frank Sinatra Collection],3clBX8P5uAcUqUgYqAVBRE,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
18,Drinking Again - Remastered ) [The Frank Sinatra Collection],2IjSaiVB5ekhJh3KEUKqFm,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
19,All My Tomorrows - Remastered ) [The Frank Sinatra Collection],2cFvZEqsxW2B9mV3tmYvn4,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
20,My Way - Remastered ) [The Frank Sinatra Collection],4691H7URWFXqTKrI4dMyKw,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
21,Body And Soul - 1984 Recording) [The Frank Sinatra Collection],4wyE0stpb2ahnj4j24h8c6,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Nothing But The Best [The Frank Sinatra Collection],48ijda2pd3B1CcrqN9sgdV,0,not available
22,Wish U Were Here,7w39SO42zGCgDxcrdjS1Qn,Deadboy,2YbV1TIoIl1Un54MmSvZ3V,Here - EP,5Gc4lYsAxFp5D1CEnxEM23,0,not available
