US Election 2016 Countdown,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,71,spotifyusa
1,It's The End Of The World As We Know It (And I Feel Fine),2oSpQ7QtIKTNFfA08Cy0ku,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Document (R.E.M. No. 5),6gMv3MgFlieOM6Uz5GZBzy,68,not available
2,That's A Lie,3iZFCLtKzcpiG9E48kLOSo,LL Cool J,1P8IfcNKwrkQP5xJWuhaOC,Radio,4sevefzBUFvJYAzijVBQ2a,20,not available
3,Think,4yQw7FR9lcvL6RHtegbJBh,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Now,55HZ2ectg1mMTEKDqIq3kC,68,https://p.scdn.co/mp3-preview/98251aa932f7f5cb0fea00c8abda5d0f33630139?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Born to Run,6hTcuIQa0sxrrByu9wTD7s,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Born To Run,43YIoHKSrEw2GJsWmhZIpu,75,https://p.scdn.co/mp3-preview/bac7b351bb2f85c715f66be9b36b8a1922081404?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Billionaire (feat. Bruno Mars),2M9ULmQwTaTGmAdXaXpfz5,Travie McCoy,7o9Nl7K1Al6NNAHX6jn6iG,Billionaire (feat. Bruno Mars),1PruwGvQDfgh6CTSFWPNtn,74,https://p.scdn.co/mp3-preview/bb1c32e7c8466d3cbbf01e268f3a572f4d3b0fb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Get It Girl,3UDRIQGgLm0BX5vRmBbCg2,Keri Hilson,63wjoROpeh5f11Qm93UiJ1,Get It Girl,7wcHtTytXkBMa7IexCxtoN,14,not available
7,You Talk Way Too Much,6lnnaGN20kl0jEYJSxCgU9,The Strokes,0epOFNiUfyON9EYx7Tpr6V,Room On Fire,3HFbH1loOUbqCyPsLuHLLh,48,https://p.scdn.co/mp3-preview/638f23c28fca54bcbf5a397ad9dc7828fd95503a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,LEAVE ME ALONE,4YcHuaXJb6dnGWkJzmCcwu,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,99.9%,1dZZh7PvVgce1DDsDPzy8Z,52,https://p.scdn.co/mp3-preview/d78a4e357db1aa818cc1596f0b200e3dbc5f3425?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Microphone Fiend,1gGcKk7W1priUoTwotuoqT,Rage Against The Machine,2d0hyoQ5ynDBnkvAbJKORj,Renegades,6iVOwFVjFRoQPgj8GUwSsi,53,https://p.scdn.co/mp3-preview/6b693a4089c9eb3715502409894956cb8dc788c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Nasty,07OzC5JlcaDwEkzWmvqp6y,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Control,7GWkceE5McMVfffd1RGL6Y,53,not available
11,Disparate Youth,0t2QiRkpag0fAgs9zuCPlH,Santigold,6Jrxnp0JgqmeUX1veU591p,Master of My Make-Believe,58ZjpgafuBeQ0JVxIt0hdr,60,https://p.scdn.co/mp3-preview/25b3e506c1b2542efab2ffc754a2d6bddefe0cc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Yesterday - Remastered 2009,3BQHpFgAp4l80e1XslIjNI,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,Help! (Remastered),0PT5m6hwPRrpBwIHVnvbFX,79,not available
13,It Makes No Difference - Remastered 2000,0fWe4v0BssKanrISjrYQ6T,The Band,4vpDg7Y7fU982Ds30zawDA,Northern Lights-Southern Cross (Expanded Edition),5fnE49AqsSBaLC62nfo3q1,43,not available
14,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,AC/DC,711MCceyCBcFnzjGY4Q7Un,Highway to Hell,10v912xgTZbjAtYfyKWJCS,84,https://p.scdn.co/mp3-preview/aa4f9186e0c3f4436bb40572a63862db80d7ef2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,I Will Survive - Single Version,7cv28LXcjAC3GsXbUvXKbX,Gloria Gaynor,6V6WCgi7waF55bJmylC4H5,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,2BU2SNYoIPtZvGEJckdIhx,67,not available
16,Insane in the Brain,1oTHteQbmJw15rPxPVXUTv,Cypress Hill,4P0dddbxPil35MNN9G2MEX,Black Sunday,02lktkm4J7K7N8T63Gm7KX,72,https://p.scdn.co/mp3-preview/cdb4418e8543eeb0552077f7696392f0c53c9815?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Ramblin' Man,2Q7LpkYrS0PBpoq3iCqypa,The Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,Brothers And Sisters (Deluxe Edition),1n9rbMLUmrXBBBJffS7pDj,18,not available
18,"Me, Myself and I",6XsT5UGfpaFeHQf5LRIy4W,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Dangerously In Love,6oxVabMIqCMJRYN1GqR3Vf,68,https://p.scdn.co/mp3-preview/c2fd6a04b5ef5e9ca5573c88679183aaaf9b356f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Welcome To The Terrordome,2HlKSufhcnPDZAS1S7jLg6,Public Enemy,6Mo9PoU6svvhgEum7wh2Nd,Fear Of A Black Planet,0aFNb4RDk2hmKKLa0bzXNz,45,not available
20,Crazy,2F9jMklOJOl65znIH4kc8C,Seal,5GtMEZEeFFsuHY8ad4kOxv,Hits,1EbspINwTMQK6wh9zS5Uv1,55,https://p.scdn.co/mp3-preview/10430129f53835a63dc7bc977a1ada82efc8865e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Girl On Fire,6qOEjO2IUD7PjtpsXawq0d,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,Girl On Fire,7sG2gH4SFp1GszxOkBZdZR,13,not available
22,Little Secrets,3kb38wezoUA8ki5jPYy3t5,Passion Pit,7gjAu1qr5C2grXeQFFOGeh,Manners,6H51jH1SuzV6ca1VxW2Tmv,62,https://p.scdn.co/mp3-preview/3436afdb5b62196dab504b1f4abd727774be3733?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Borderline,4SuabhTNPBTBFjfOjhvRNQ,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Madonna (Reissue),5lrlWKjNY0eTDXp9Bd3LpW,47,https://p.scdn.co/mp3-preview/b86ed63f0dac86573f91f2cd5aa54e948a9de185?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Landslide,5ihS6UUlyQAfmp48eSkxuQ,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,5VIQ3VaAoRKOEpJ0fewdvo,78,https://p.scdn.co/mp3-preview/8f5c821de4d47066ac5e68d58fd180975c86530d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Loser,5PntSbMHC1ud6Vvl8x56qd,Beck,3vbKDsSS70ZX9D2OcvbZmS,Mellow Gold,0iIGP4Sxw3KR4OCFv2yvz8,70,not available
26,Dead Wrong - 2005 Remaster,6s4kWgzQwsueo3mfllY1s6,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Born Again,7zg9ZSOQtYLjWnvSawflg6,60,https://p.scdn.co/mp3-preview/0bbacf9983140b4a55d92729976e0f11a065bbbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Treat You Better,1rtDwblY1CJ9i490fMzJnc,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Illuminate (Deluxe),2AJaA0is5qbaqFy77tPl7B,15,not available
28,You Gots To Chill,0f1yzIIGD8k32DNVeEn6jb,EPMD,3zpKjsMg2gw1St5WcWoUJN,Strictly Business,2HOl8gDiGGpt7wsIDi9jy5,52,not available
29,Always Look On The Bright Side Of Life,4DEcdqqKokU7UAE4wCGQEy,Monty Python,5IxfhXIHjAOAqibxl90NZO,Monty Python Sings,57awupvncNEIad7j0lkOuT,55,not available
30,99 Problems,7sLpSWxQazJzDVG6YGzlVs,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,The Black Album,4FWvo9oS4gRgHtAwDwUjiO,1,not available
31,If I Ruled the World (Imagine That) (feat. Lauryn Hill),5PQmSHzWnlgG4EBuIqjac2,Nas,20qISvAhX20dpIbOOzGK3q,It Was Written,78Fgb88MY0ECc4GVMejqTg,70,https://p.scdn.co/mp3-preview/f91858bdae13124834a3519b9e5271747c55585e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,The Tears Of A Clown,73C1yErumNeDkjHBtmA5Tc,Smokey Robinson & The Miracles,6TKOZZDd5uV5KnyC5G4MUt,The Definitive Collection,3AGszO88qhYdEvhs6pjsHW,41,not available
33,Respect,7s25THrKz86DM225dOYwnr,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,I Never Loved a Man the Way I Love You,5WndWfzGwCkHzAbQXVkg2V,73,https://p.scdn.co/mp3-preview/b0d0b4ec8963779239654542a0b33d25caf38156?cid=fa83a2fec7c440b7a2795d600d6b2c7e
