Valentine's Day - Love Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,329,spotifyusa
1,Love Yourself,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,83,not available
2,All of Me,3U4isOIWM3VvDubwSI3y7a,John Legend,5y2Xq6xcjJb2jVM54GHK3t,Love In The Future (Expanded Edition),4OTAx9un4e6NfoHuVRiOrC,86,https://p.scdn.co/mp3-preview/488c53471e56ff9f629652691444438951e880bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,85,https://p.scdn.co/mp3-preview/097c7b735ceb410943cbd507a6e1dfda272fd8a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sorry,09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,81,not available
5,Could You Be Loved,5O4erNlJ74PIF6kGol1ZrC,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,Uprising,321q9p7PELvzcFAWxml7VX,78,not available
6,Not a Bad Thing,1JmPASoql4lnXimD5ICqRP,Justin Timberlake,31TPClRtHm23RisEBtV3X7,Not a Bad Thing,32dGD25hfIVdhugEXoVu2s,0,not available
7,Pony,6mz1fBdKATx6qP4oP1I65G,Ginuwine,7r8RF1tN2A4CiGEplkp1oP,R&B: From Doo-Wop To Hip-Hop,4he7R24eqd1EbF9kegiAK8,74,https://p.scdn.co/mp3-preview/3ea8fa99dbd05e210739f960065718fb9ca0bdfd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Say My Name,7H6ev70Weq6DdpZyyTmUXk,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,The Writing's On The Wall,283NWqNsCA9GwVHrJk59CG,78,https://p.scdn.co/mp3-preview/26cde6756e631b05cb8b83e99bec8eac00980073?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Rude,6RtPijgfPKROxEzTHNRiDp,MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,Don't Kill the Magic,0RZ4Ct4vegYBmL9g88TBNi,78,https://p.scdn.co/mp3-preview/c72b1ced01765ebb7cdc26c679a346bea13121d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,Blackstreet,2P3cjUru4H3fhSXXNxE9kA,Another Level,2zGZLQiFl9UubtrVmtIkbi,78,not available
11,Good For You,1MfRXRUJsQK40GjFV0Sm0t,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Revival,3qsdWsIePeTOvpsRJV5yQB,53,not available
12,Adore You,5AnCLGg35ziFOloEnXK4uu,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Bangerz (Deluxe Version),3RDqXDc1bAETps54MSSOW0,72,https://p.scdn.co/mp3-preview/11b3c0ae6f467cf0dee3d99b0a2f21fb9db5dff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,x (Deluxe Edition),1xn54DMo2qIqBuMqHtUsFd,84,https://p.scdn.co/mp3-preview/7fba47d0806142cb34ad2080a5f139eba915fe05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox,58ufpQsJ1DS5kq4hhzQDiI,83,https://p.scdn.co/mp3-preview/d93150cf43f68c863d9f73a6f1e2b3e64e44488e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,You Make Me Wanna...,47TqCCnEliDp8NRDyIQoQq,Usher,23zg3TcAtWQy7J6upgbUnj,My Way,0fQdoem8dnrl80YcZzQ8f0,69,https://p.scdn.co/mp3-preview/eb361e93c1d270881719c6911214a03b4be80371?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Kingston Town,3e7yziCpnpx2ujgvXqSLzp,UB40,69MEO1AADKg1IZrq2XLzo5,Labour Of Love II,2jfea3275Ef5g1nUwnf1fg,51,not available
17,Kiss Me,0Tel1fmuCxEFV6wBLXsEdk,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,+,02pi98kE0nra0yBqCStzbC,74,https://p.scdn.co/mp3-preview/bef6270b11317ea8d6b3f6a6c4e40597db2b7131?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Say Something,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,Is There Anybody Out There?,1yOcLa4euMk9sV7rRJ89Dl,79,https://p.scdn.co/mp3-preview/fe73e55ae08bf3395db3e1ba4485533f59faf3ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Just Give Me a Reason (feat. Nate Ruess),4VC5nFbYO4avKksJ9jN4pY,P!nk,1KCSPY1glIKqW2TotWuXOR,The Truth About Love,0pqKb2y8h2BWS46HMfmEgD,35,not available
20,Let Her Go,6GmUVqe73u5YRfUUynZK6I,Passenger,0gadJ2b9A4SKsB1RFkBb66,All the Little Lights,2sRnJq6dfXdqhIflBk0ve1,69,not available
