Birthing Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,18037,spotifyusa
1,Just Breathe,3k9qjgu8zVKTEuJVJIYyc0,Pearl Jam,1w5Kfo2jwwIPruYS2UWh56,Backspacer,4yI2uDHf2YDG9iCPVuEjAF,18,not available
2,Let It Go,13HVjjWUZFaWilh2QUJKsP,James Bay,4EzkuveR9pLvDVFNx6foYD,Chaos And The Calm,5BxvswQSGWrBbVCdx6mFGO,74,not available
3,Don't Leave Me (Ne Me Quitte Pas),7til9cDK5rExLomnvyUhS3,Regina Spektor,3z6Gk257P9jNcZbBXJNX5i,What We Saw From The Cheap Seats (Deluxe Version),7DqwH3INnINi7aK91LoCOY,46,https://p.scdn.co/mp3-preview/c3538034f87ecc73c40cbc37bcac59a75c94a501?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Festival,3SsnufJnuqrXZmzJMw835e,Sigur Rós,6UUrUCIZtQeOf8tC0WuzRy,Með suð i eyrum við spilum endalaust,02VHZ1tLgmXAZrxmWSjdxM,1,not available
5,Transatlanticism,7DDRPKLKFIvDbNSQmnz19Y,Death Cab for Cutie,0YrtvWJMgSdVrk3SfNjTbx,Transatlanticism,5FJTVcpDFYqlo7vjjHEA9V,26,not available
6,Ho Hey,0W4Kpfp1w2xkY3PrV714B7,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,6NWYmlHxAME5KXtxrTlUxW,71,https://p.scdn.co/mp3-preview/57e57e6eb594e55de01b85cea4d470243f6121f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Sunrise,7zkLpY72g6lKQbiHDqri1S,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,Feels Like Home,7GaAXgbFSpcJOiLlFGYyOL,71,not available
8,After the Moment,5ozIJrlaCAf3g8MMyot483,Craft Spells,16lg8y62dC3J6ok1pNAbFJ,Idle Labor,3IzLouGQA5uY4NfT6zNe3j,57,https://p.scdn.co/mp3-preview/a4b01330abdc34c6c8d98cf941e19b8faa960c7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Follow the Sun,3KS09EvUKTtPgTHbBBsLCw,Xavier Rudd,5lbM4g6bhxjNX7R5QHP2nD,Spirit Bird,1EKasDeDwsn6HyaAZaSa1e,25,not available
10,Fruits Of My Labor,31nItlXwgCCFpttS50Rbxf,Lucinda Williams,60ht0hWRy1yjUDfNsLuHuP,World Without Tears,7uLuuklEzDu7xZ8QazIfzu,57,not available
11,Beautiful Boy (Darling Boy),752R2h0nzGsAacpFoXRKNB,John Lennon,4x1nvY2FN8jxqAFA0DA02H,Double Fantasy Stripped Down,15q7N7Wo307mfjqR29NpjF,52,not available
12,Capri,3g9iQpTgLeh6dOUVBVBzqd,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Coco,0gX4aTUhxNbdFTJBXX7OrH,37,not available
13,Really Love,2RcanAJpudPNDkyIe9DzKS,D'Angelo,336vr2M3Va0FjyvB55lJEd,Black Messiah,5Hfbag0SsHxafx1SySFSX6,57,https://p.scdn.co/mp3-preview/0db588ff22ccca8c3fbadf3f1690b2d6dada3b50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Nos Bailes Da Vida,1OdLHLz73fkZOKvT73z0RJ,Milton Nascimento,3Bnq7jiU506HcPjRgQ43TM,Cacador De Mim,1RQrEvGV4X4FbagIQTQI0f,8,not available
15,Don't Panic,62XuJOHM33VyWgKwNoj6w9,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Don't Panic,36Z4YfJRuw3r2VeHgNQbrF,40,https://p.scdn.co/mp3-preview/16934eff613fc29419342949db940ff154750a50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Your Protector,7dedfbRRBWpLisnJyzLUay,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,6spTDEWQfiSsKjkR9NmuDX,0,not available
17,Maps,1B5KN9mubQY65Xad38J4oI,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Maps,1lEJPeiPBd7sQSsgl1UUEq,0,not available
18,Stay,7gBj0VgcuAgkXkiRRYvSmK,Kygo,23fqKkggKUBHNkbKtXEls4,Stay,7CUcBQ9e6MDpsdBzz7wJaT,69,https://p.scdn.co/mp3-preview/a4efa1b584efd2077c680cc92b62553fdeee976d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Try,01DSvNTUsVROjnSF5j3UbD,P!nk,1KCSPY1glIKqW2TotWuXOR,The Truth About Love,0pqKb2y8h2BWS46HMfmEgD,26,not available
20,Starlight,3skn2lauGk7Dx6bVIt5DVj,Muse,12Chz98pHFMPJEknJQMWvI,Black Holes and Revelations,0lw68yx3MhKflWFqCsGkIs,75,https://p.scdn.co/mp3-preview/f7a1b8a270f310e43ced2720c9af5f29f6476b79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,All of Me (Tiësto's Birthday Treatment Remix) - Radio Edit,1mzGywacjpeik00PVLBPpF,John Legend,5y2Xq6xcjJb2jVM54GHK3t,All of Me (Tiësto's Birthday Treatment Remix) [Radio Edit],4c2rSdHI9WUXn0zyXoWtbB,65,https://p.scdn.co/mp3-preview/11b72deb1b6ef4c9dca09863364e8a214c6e343c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Under Pressure - Remastered,11IzgLRXV7Cgek3tEgGgjw,Queen,1dfeR4HaWDbWqFHLkxsg1d,Hot Space (Deluxe Remastered Version),0xc5IpJM39eEEYSKDrm5kf,74,not available
23,With Or Without You - Remastered,5JGEAz15LkPoOtFHttDtVs,U2,51Blml2LZPmy7TTiAg47vQ,The Joshua Tree,4mULDK6YXrFXTfSwvwm4M3,54,not available
24,Impossible Germany,6L0BBPYeWnaQJeDa0ox0IA,Wilco,2QoU3awHVdcHS8LrZEKvSM,Sky Blue Sky,6dbcDWUXEFpNrmCJoqZsk4,52,https://p.scdn.co/mp3-preview/5e3ec21d9833520061aa2aba59f8310fe4bc39f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Wake Up,2uljPrNySotVP1d42B30X2,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Funeral,0aGwrXjKIfAMlj1vBYLtnR,11,not available
26,Nightswimming,2xLSFrm2oBeMtBMjlAoZSC,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Automatic For The People (U.S. Version),006Qsi10luS9xEBAcIWGTf,16,not available
27,Heavenly Day,7Guwk9x2j11UYR4mOaJvfx,Patty Griffin,7tNLRmiAN8hpmFrbIHiHsy,Children Running Through,7pqVvNMgwqay4lDgLdD0R7,34,not available
28,Naked As We Came,2gUSIsapdX6jEJ0DvjqTt2,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Our Endless Numbered Days,20OPxsW0aYB6InxDImJRdt,22,not available
29,Blue,2LjkT4gu5wO4JdeEYl0fMY,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,55,https://p.scdn.co/mp3-preview/5adfc2eb6e9404d68f86da711e718e2367501b59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,"Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",1WbfAfJrkvIPOBDi9h7Yo7,Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,Inspired By Bach: The Cello Suites (Remastered),7rbxlvUlXfx23tyfsM2ccS,38,https://p.scdn.co/mp3-preview/36bee67bae7158d65b30c32dfd596f7f0666bbe3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
