Songs to Catch 'Em All To,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4928,spotifyusa
1,Pokemon Theme,6xG2ZGudUgtV235xvDlSEt,Pokémon,6goK4KMSdP4A8lw8jk4ADk,Pokemon X - Ten Years Of Pokemon,3qW0KwoP8BdFzqZSDh1ScI,62,https://p.scdn.co/mp3-preview/53af3712921decd829bf606844d956538e3a0609?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Eye of the Tiger,2KH16WveTQWT6KOG9Rg6e2,Survivor,26bcq2nyj5GB7uRr558iQg,Rocky IV,3t3BbpFJiGcXl4jI5CRLLA,77,https://p.scdn.co/mp3-preview/9e37f230afd37042e49f3d144c3b94e0b39ef8ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Go Outside,0VnLohgzwLEleLmo19Z8B0,Cults,3Oim8XBPbznAa8Jj8QzNc8,Cults,2jb0zRewft3L2AwCOMx3du,53,https://p.scdn.co/mp3-preview/c7996785c930e4eb1a70e2ce33b17c8919f24800?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Go Hard or Go Home,2QJnTfMpNG05KFf2E3gVIJ,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,Furious 7: Original Motion Picture Soundtrack,7hTMaPfK488vRcC1Ar4bOm,63,https://p.scdn.co/mp3-preview/71b9fc47064f103e88ab5ce15df8d25ee2f0af5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Around the World,1pKYYY0dkg23sQQXi0Q5zN,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Homework,5uRdvUR7xCnHmUW8n64n9y,71,https://p.scdn.co/mp3-preview/6abb7faeef25296b79498738dbbfc398700944dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ramble On - 1990 Remaster,3MODES4TNtygekLl146Dxd,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin II,70lQYZtypdCALtFVlQAcvx,71,https://p.scdn.co/mp3-preview/83383aceb01ea27b0bffdedfaebe55e29b33aca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Around the World,0aGQHMr7bc23Y9Ts84ffop,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Californication (Deluxe Edition),2Y9IRtehByVkegoD7TcLfi,68,https://p.scdn.co/mp3-preview/ab3d501c5ffbf560e94094f76cd36d874a26e941?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Focus (Gym Motivation),5s8RaJg9wOxOxsmT6Pz6eO,Fearless Motivation,1FhamVtJlNqaekPnwxQpbk,Fear Less Dominate More (Gym & Sports Motivational Speeches & Workout Music),6355hYB0qS5vBBKtX8SfAO,40,https://p.scdn.co/mp3-preview/cf29dcfc86e07a43b60d3ae682a1c8e57f732fa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Go Flex,3e7pB02vXiqVYaDTymYY1t,Post Malone,246dkjvS1zLTtiykXe5h60,Go Flex,4qXpwqavXvzVw6LJD8LoiK,1,not available
10,Very Best,0yamdud6GJ8RJGxtqbX0xo,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Black Market (Deluxe),5OQ46UiKltoHtHrGFXB1HI,32,not available
11,Go Get It,7ezdJlanRMlE429QOud5x5,T.I.,4OBJLual30L7gRl5UkeRcT,Go Get It,5ZnpOko5i38w3opDZ8jxmT,0,not available
12,Walking On A Dream,0mBkoM8r7KAQzZij5swTUL,Empire of the Sun,67hb7towEyKvt5Z8Bx306c,Walking On A Dream,04gYcIojJt78nYnN5oOrKt,66,not available
13,Roam,5fqcIHU6DhQtFKVO5XSdQs,The B-52's,3gdbcIdNypBsYNu3iiCjtN,Cosmic Thing,5BAzAODqIwttjj7wxmlNMS,58,https://p.scdn.co/mp3-preview/062d9268999dee2faa58fe366185f069a96e0873?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Road to Nowhere,5gS8whHdcpbkdz0qonQZF8,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,Little Creatures,7IMqoztesjFDgyeibke8Jz,56,https://p.scdn.co/mp3-preview/d913ef1bdf1df8542d39e21b84a58399660f8b18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Ramblin' Man,2Q7LpkYrS0PBpoq3iCqypa,The Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,Brothers And Sisters (Deluxe Edition),1n9rbMLUmrXBBBJffS7pDj,18,not available
16,Fred Bear,7nvdOeUI75g8ZoM6ECA4NO,Ted Nugent,21ysNsPzHdqYN2fQ75ZswG,Spirit Of The Wild,6p9ozvyiziI2uZqMSMaQEX,1,not available
17,Go Pokemon Go,7vCCHSGgaNFRYARJbKHhSe,Pokémon,6goK4KMSdP4A8lw8jk4ADk,Pokemon X - Ten Years Of Pokemon,3qW0KwoP8BdFzqZSDh1ScI,33,https://p.scdn.co/mp3-preview/7956c2e76e1158a527059d10c63e0174ad1f53e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Walk,76Je5Wklky23mVoxiRszcN,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,Wasting Light,5lnQLEUiVDkLbFJHXHQu9m,70,https://p.scdn.co/mp3-preview/797076620f902743d338003692dd90d1c9cc20d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,I've Been Everywhere,59J3FhCGYl18G3ouDReUge,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,American II: Unchained,59RjxVKpH3c80E4a86yP7b,58,not available
20,Walk On the Wild Side,5p3JunprHCxClJjOmcLV8G,Lou Reed,42TFhl7WlMRXiNqzSrnzPL,Transformer,5SqbMEyAt8332ISGiLX0St,76,https://p.scdn.co/mp3-preview/ba3b4fe65d5198801dc5853e1d9f26f3dc47e8a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,99 Red Balloons,5mYtpXrZZ1bbGJYDGC8I0Y,Nena,6Tz0QRoe083BcOo2YbG9lV,99 Luftballons,0V8ETNFjMiaCoG45ZPWsUs,20,not available
22,Ball - feat. Lil Wayne,2FrBHYuuMOAQlGiyWtndMg,T.I.,4OBJLual30L7gRl5UkeRcT,Trouble Man: Heavy is the Head,4XDEh0x3M1ajC6vxJ1PNCD,0,not available
23,Pokerap,1RNVouusAtWDsQrYoKulzV,Pokémon,6goK4KMSdP4A8lw8jk4ADk,Pokemon X - Ten Years Of Pokemon,3qW0KwoP8BdFzqZSDh1ScI,48,https://p.scdn.co/mp3-preview/e56f7db4dd7876e627cd6ff2078e83034de022bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Walk This Way (feat. Aerosmith),6qUEOWqOzu1rLPUPQ1ECpx,Run–D.M.C.,3CQIn7N5CuRDP8wEI7FiDA,Raising Hell,7AFsTiojVaB2I58oZ1tMRg,70,https://p.scdn.co/mp3-preview/1779acd431c65ec238885c1ea187f251c8cb3e56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Low Battery!,3DtJFs5pYjkoebNfMX5aoY,EH!DE,1EkJy0Tz2PYa8ohGWOnqkw,Low Battery!,1yJV0C8j9vegMvdxeTsLCW,0,not available
26,"Gonna Fly Now (Theme From ""Rocky"") - 2006 - Remaster",22xkVMfqUDYPx2qohyNy0t,Bill Conti,272ygo5fv9cYsiCLcV0HV2,Rocky Balboa: The Best Of Rocky,3Qh5UCAHIcubcOLkvCHV1s,1,not available
27,"Training Montage - From ""Rocky IV"" Soundtrack",5PKtqiUwkjveVYzmj4gMnz,Vince DiCola,5Q2nBzXfyXGIEf8KpHqeHn,Rocky IV,3t3BbpFJiGcXl4jI5CRLLA,60,https://p.scdn.co/mp3-preview/44bcc90e375e81ba9a6e91be0f405b7241cd08bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Low Battery,3pbenzexdbracTLgTltyJ0,Ta-ku,13Kd75NSHSp9lB4CaqPMOV,Latenyc,5oKdaNkU5XLWnNEZhx7KCg,0,not available
29,I Want To Be A Hero,5xVR05GfU8VGu5p8d8AXsl,Pokémon,6goK4KMSdP4A8lw8jk4ADk,Pokemon X - Ten Years Of Pokemon,3qW0KwoP8BdFzqZSDh1ScI,45,https://p.scdn.co/mp3-preview/d7f0978144a660b2a46852a871922ae1392b6852?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Hard Training,2yUX032a9YioA0DBGPx138,James Horner,3PhL2Vdao2v8SS8AptuhAr,The Karate Kid (Music from the Motion Picture),4jqdHM4IZStQAZ7TZyOosK,0,not available
31,Let's Do Something Crazy,5BfQ3KnM2HDSiq18viKKwb,Crystalyne,1axdYGfumL7jsvNGOwJ6xa,Let's Do Something Crazy,2CJg44RFNJCBDRYyi4jVO3,20,https://p.scdn.co/mp3-preview/52bcaebbdd740af5360afb2762d8c2a48324d682?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Walk These Streets,0BAUSsCow1sLD1SQKzpDwo,Warren G,2B4ZHz4QDWJTXPFPgO5peE,In the Mid-Nite Hour,3DROehnX18okjeqdA09qQh,21,https://p.scdn.co/mp3-preview/517d4ca32d5a9901333f5c4d4ee4b044bac06de2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Keep On Walking,2ARWJQ0qh1mlOl5ZyHiARL,Passenger,0gadJ2b9A4SKsB1RFkBb66,All the Little Lights,2sRnJq6dfXdqhIflBk0ve1,26,not available
34,Just One More Mile,6lVwN4C7u7Fzh5rV3Ea8mj,Stephen Swanson,3TQ4rtWGQUJnQ1Uo4Qkixm,Run to Me,5BeGGRn9oHQ8LSNOWtTGRC,0,https://p.scdn.co/mp3-preview/395681a76a32a6070ee952df1ce4eac6bf47b9c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Pomemon Johto,7CMnmQkiqVqS81r2ohcfWJ,Pokémon,6goK4KMSdP4A8lw8jk4ADk,Pokemon X - Ten Years Of Pokemon,3qW0KwoP8BdFzqZSDh1ScI,43,https://p.scdn.co/mp3-preview/3367a55a14ac3162057fd7365680cb7669441ff7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,I'm Gonna Be (500 Miles),66S14BkJDxgkYxLl5DCqOz,The Proclaimers,1A92IAcd7A6npCA33oGM5i,Finest,7hPq9fDWwXPo1tT0oi3XcM,75,https://p.scdn.co/mp3-preview/2919264bff964a01ab401bdb3d15b2a953301ae0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
