Life lessons,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,57,spotifyusa
1,You Taught Me,36uPy1es0fO9bUg0HXGs1V,Dinah Washington,32LHRiof0sa4taYew9i3Fa,The Complete Dinah Washington On Mercury Vol.6 (1958-1960),78XQXiBNyVioaB7U7NWiO2,0,not available
2,Love And Understanding,0Bukog3UlEAR9AhE4OglMk,Cher,72OaDtakiy6yFqkt4TsiFt,Love Hurts,5qT8dehRvDqGHPEQgazpuG,0,not available
3,The Art Of Letting Go,0ldpSh3PxLAHQh73lc6JkD,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Me. I Am Mariah…The Elusive Chanteuse (Deluxe),2tVxdAJ16NY9bpjb1h5fQc,29,not available
4,Respect,7s25THrKz86DM225dOYwnr,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,I Never Loved a Man the Way I Love You,5WndWfzGwCkHzAbQXVkg2V,73,https://p.scdn.co/mp3-preview/b0d0b4ec8963779239654542a0b33d25caf38156?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,S.E.X.,7qeLPIt6hwhud9y0jt0Fe5,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Rebel Heart (Deluxe),5TAX07toYGN4AFshlKpmZb,37,not available
6,Wait A Minute,4F7XT8Uor58NXTh04vZLhi,Heather Headley,2xDc4cU0Rj6YG8SrmAHIy0,In My Mind,6KbgkuWe1Y37OgafUT5zLp,21,https://p.scdn.co/mp3-preview/e7ce50e84a41ffd2817e3d4ba561501d927f83d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Maybe Not,2WEMLmGP6s5ZLccFD8lQGA,Cat Power,6G7OerKc3eBO9sVkRNopFC,You Are Free,38CsAH6IM7fKMN0XnZReR6,39,https://p.scdn.co/mp3-preview/e0b7de362e2675491463628cc56e825655da4987?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Compassion (A/K/A Compensation),3rnWOLl4jYJft7R92PiMH5,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,The Very Best Of Nina Simone 1967-1972 - Sugar In My Bowl,5Dh4qVmcMpDv5qhgdaqGtj,15,https://p.scdn.co/mp3-preview/6a0d20846e73e4d8d2c1d0b337502097a22d005d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Honesty,37B0THrpAZk2c12wYvDL39,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Love Destiny: Mathew Knowles & Music World Present Vol. 2,2gpSKfySI5z7L5sQ7FlPsW,0,not available
10,Truth,4KaIfVfvbzvexXuUu2LDPs,Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,This Is What The Truth Feels Like,5K4QKGKXZWNhjQiGOzkKLb,36,not available
11,Hips Don't Lie,3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,0EmeFodog0BfCgMzAIvKQp,"Oral Fixation, Vol. 2 (Expanded Edition)",5ppnlEoj4HdRRdRihnY3jU,81,https://p.scdn.co/mp3-preview/3859547944f57cfb7b996f6551148c9467889d4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Oops!,4RMTCyZXik4CYCCUUzVGqi,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,The Decca Singles 1949-1958,4PF4AAZ8f5stId2e5dSkE1,8,not available
13,I've Gone Too Far,7hC3sMTIr6633GpzijGu3U,Etta James,0iOVhN3tnSvgDbcg25JoJb,Blues,0B2iKIbd5MI7ncoSdluIl5,23,not available
14,I Feel Pretty,624kbgiB2wosFUF6dKT7Zn,Julie Andrews,5RdqZVi36tpDPYNPw8jJbO,A Little Bit Of Broadway,0GvMJIaFTyZZ74LPEiEqks,38,https://p.scdn.co/mp3-preview/7623cb9536578185f88bebbb07314ebf769bb1ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,I Have Confidence,0ZWQQtODuFLSvmU3fglT0p,Julie Andrews,5RdqZVi36tpDPYNPw8jJbO,The Sound of Music - Original Soundtrack Recording,583SgyGBxtEzsk9J8zBqiy,45,https://p.scdn.co/mp3-preview/8af25201959d3a2cbf85b5a6786549f5019877c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Express Yourself,3szW87j0gVLQmpulz4P8Rf,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Like a Prayer,48AGkmM7iO4jrELRnNZGPV,49,https://p.scdn.co/mp3-preview/0dda0e323a3112f44a37c3252e1818b42fd3c172?cid=fa83a2fec7c440b7a2795d600d6b2c7e
