Spotify Summer Sunday - 2016,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,267,spotifyusa
1,Waterfalls,03RwdIvdmGXNxaqoT4iopD,LVNDSCAPE,2QlwnS23KrBeshXFyK5U6M,Waterfalls,39PZthflmiwcsr2w67NtEh,3,not available
2,All That's Left,2znIzTWdQBzkPSLuXWl14Y,Manila Killa,4EukMPjtYsdi87lkU1hIxN,All That's Left,30MPFTzdoKIPqOpHJ3bpky,42,https://p.scdn.co/mp3-preview/12030d523e1e0b0c0128a23427479f791c1225e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Been A While,4mPOYg53faLL6brBcoZ5T8,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Been A While EP,4uZwvic3uzZeuMQW9jWp2Y,11,not available
4,I Took A Pill In Ibiza - Seeb Remix,7HzCxalzzYQOFb9a7Xs3j6,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,The Truth (Remixes),2GnVkbKayfooUDbcXd8Hk0,11,not available
5,Fast Car,2mCF8L0brIs88eH6Kf2h9p,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Fast Car,55zQqrjWsFHRcI1mxlQSsZ,69,not available
6,Gold,6ZSO7kPn8IMJFymyticbJO,Kiiara,4u5smJBskI6Adzv08PuiUP,low kii savage,2EvTMiJyF3H4BoxNCL4HLh,70,https://p.scdn.co/mp3-preview/c11c15826334b09f98922620970d6c65e44078b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Safari - Radio Edit,3W71YbBGbRh83vUPY1RNzC,Sir Felix,3jUtu6ALbeVTfpZqn9ccgc,Safari,3QMUIIC8GdfGUBUgZ1MjZV,39,https://p.scdn.co/mp3-preview/3f1ebb26885e898931378093fcf6e871d4550bfc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Metaphysical,4FzTuLQ0vck9PBtw4kqJ8F,Autograf,0FVj4JuzTyudaXAwfqDQ20,Metaphysical,0qy4RnMR3DykfMqVMnNjB9,41,https://p.scdn.co/mp3-preview/1dcf591f8fd96271e946466b560a13666d050726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Don't Let Me Down - W&W Remix,0sNu1RdkrTUg7qmyOZYLgw,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Don't Let Me Down (Remixes),2qczZTZpha2aJyvZuXAoRT,4,not available
10,In the Morning,2xzW6Qyr4k4Hnf1UtyPfyp,ZHU,28j8lBWDdDSHSSt5oPlsX2,In the Morning,74pFLIRvI3tQSvu7ymPHbr,43,https://p.scdn.co/mp3-preview/82038d2d0a4251b1dc3cbffa6b5b48ef779aeaa3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Don't Let Me Down,2SByipSK8eZ2pasaIwwzhf,80,https://p.scdn.co/mp3-preview/4f410d4293b502e25df3e782c443d1745382c3da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Never Forget You,6WLS56xiRrXjSm9RSdL3zD,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,Never Forget You,1sd9bVAWxBl0qeVS8tzlzL,16,not available
