Seattle - South Lake Union,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,20,spotifyusa
1,Don't Worry About Me,2sspURwAn31TgIdW1KOgOS,Frances,4m6VmvHDXWmVdIw6EJGQ86,Don't Worry About Me,4rVddy5YaGvCyC2qTNxsfm,1,not available
2,Gold Lion,6ttg1sxtU12beFZkjoc6j5,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Show Your Bones,4vILeh9sgKiDXnyL2pHCiz,52,not available
3,Head On (Hold On To Your Heart),6pwYi8JStPRDK7bk2qul9w,Man Man,0zprAu7NrzRehc0Q0Jc7mL,On Oni Pond,50PipIiXEjJXGfwoBFtJ7g,53,https://p.scdn.co/mp3-preview/7cd12ffaf654582f4cbdb4ac5c9203d08e5b7d58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Kansas City,2JTBNz8VZx7i38pcPROWuz,The New Basement Tapes,2oQpz9DEfhuSbuT8hjhTDK,Lost On The River (Deluxe),2d25Dhlk9EcJjrW0K0tnV9,55,not available
5,Animal,0vASEzmKPfWT4ZKfN6rUOz,ELEL,0VsU6iPTvo3KmiaYJr03wb,Animal,2hdJzUXbj286dhfnA9is4q,0,not available
6,Housebroken Man,3BLFRn1bObTn2E9WQB8cBI,Quiet Life,13MdjUqnWNyfY4qKYQ9OPl,Housebroken Man,5OGTvU4mhKMfoUkajeA0De,7,not available
7,Neon - EP Version,25ueyWzih8QBtf7EzHc3aW,John Mayer,0hEurMDQu99nJRq8pTxO14,Inside Wants Out,5KMP6XLSrhsswEuN2A9VO2,43,https://p.scdn.co/mp3-preview/2bae86b55555545035ad39275ba7b27865a5b1f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,I Of The Storm,3z8ypl55NHugzc6EDVVFdF,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,Beneath The Skin (Deluxe),1m3D8gkm3nOvIXNR1SvDFA,51,not available
9,Forever My Friend,2rpoLjEFaFNFzHvFDf7Yd3,Ray LaMontagne,6DoH7ywD5BcQvjloe9OcIj,Trouble,2DQHgaOMVOs2OKLaksiMx9,44,https://p.scdn.co/mp3-preview/d0ba5c2742a260137d4a004e5d01fb918025b900?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Midnight Strike,0qi7Mcg86ZaMucLoWLwS5i,Headphone Activist,6kN7AbeUV4yRewiVUToouk,Midnight Strike,6gzwp7QnIK0vwR9LuhMqbs,21,https://p.scdn.co/mp3-preview/1f504d5f298f799bc1ffb156367590fc14c193a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
