James Bond Theme Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,28439,spotifyusa
1,Writing's On The Wall,1PWnAEQcbwQwK759otUbta,Sam Smith,2wY79sveU1sp5g7SokKOiI,Writing's On The Wall,50bQvrNAFsAaIbqCcfD7FT,69,not available
2,Skyfall - Full Length,1gL3uxdq2NRLNLHtvai0kQ,Adele,4dpARuHxo51G3z768sgnrY,"Lo Esencial de 1 Año de Éxitos, Vol. 5",7lAJCXpncFo1B8ifxEKSwR,20,https://p.scdn.co/mp3-preview/b4c8f1560fcaa1b555a484a3dfa617b03d4e74c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Live And Let Die,2TEW9YkQDKRHUxCHbEn0Gk,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,Live And Let Die (Soundtrack),6DGYoKsdFqgsSAJf6dDN7O,9,not available
4,"You Know My Name - From ""Casino Royale"" Soundtrack",0nyVD16l62PwecjiiQcfpB,Chris Cornell,0XHiH53dHrvbwfjYM7en7I,You Know My Name,54mKMSuTwgGTR3wjsfosIs,35,not available
5,A View To A Kill,2FbkxLsDnOOJUsp61T8MiA,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Singles Box '81 - '85,47TXWJ9wLSMd2jZN6sW6ca,44,https://p.scdn.co/mp3-preview/fdd169fffc8d273ccfb7e0bcf213ac3e0a146443?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Another Way to Die,5UnqU47OSB8LBahj0jtjrR,Jack White,4FZ3j1oH43e7cukCALsCwf,Another Way to Die,1iK4QZS9qwiS2fsSokczy5,8,not available
7,Die Another Day,2Dfe2FIfmB0y0M99aZyexu,Madonna,6tbjWDEIzxoDsBA1FuhfPW,American Life,2NZMONdo9NISDReH0DvrT6,31,https://p.scdn.co/mp3-preview/0fbac529b44bf41c71bb3c5992303a3aaeb58d12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,"The James Bond Theme (From ""Dr. No"")",589AelScFm0FYQ4VG1biJi,John Barry,7ctAOUlIAs7yuMODWE2Fyz,The Music Of John Barry,1DtpXIGGw9vQXZvKmqDmKA,47,https://p.scdn.co/mp3-preview/81a42cb96055f95bc7a5c7f09a0618822053e263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Goldfinger,7r0EUONfPUZ8SD1vu4ro27,Shirley Bassey,090VebphoycdEyH165iMqc,Diamonds: The Best Of Shirley Bassey,47CseYTjSFPkxo9SDFQoot,46,https://p.scdn.co/mp3-preview/5ce5db85510d9830979e59574712b0bb55da81e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Nobody Does It Better,1CfmUSOJBrZwq5iOlTX548,Carly Simon,4FtSnMlCVxCswABUmdhwpm,James Bond 007 13 Original Themes,1BIkw8IbCvCsZ942czLa4K,4,not available
11,From Russia With Love,5BAHAfFiz8NbgTHf9MgleH,Matt Monro,06kr5yNAM2rOf4DXemM8fl,Great Gentlemen Of Song / Spotlight On Matt Monro,37OQPuhA2crGPP7Yk3yIzR,40,https://p.scdn.co/mp3-preview/2aef2e93b24fc75d0603b3c869ab75dc0f2e97e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
