Why was I born?,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,38,spotifyusa
1,Sometimes,1UI0l2L66HJ9AtoEOlHzv4,Britney Spears,26dSoYclwsYLMAKD3tpOr4,...Baby One More Time (Digital Deluxe Version),3WNxdumkSMGMJRhEgK80qx,70,https://p.scdn.co/mp3-preview/66534231ccdd99619485b6ea4fa90987322dd812?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I Don't,2Yia0Gh4n61fPAjrNE5i2t,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,I Don't,4pLsN4leY5JE1vIclTwLQe,46,https://p.scdn.co/mp3-preview/3487b2673dd189ee3ebeb3d5cec79e6de8ce7a78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Think,0jkBzn7J5jc889TYxwvXy6,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Soul Queen,3nIxtIMxYqCiD7ZDE0payb,61,https://p.scdn.co/mp3-preview/c8b0e078e18f5941edbd71ab0308b27aa73edf21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sorry,5pKesXZVC43Vcvw1jT7p1f,Ciara,2NdeV5rLm47xAvogXrYhJX,Sorry,07JGmgwzkO7TrOXa79S8aw,45,https://p.scdn.co/mp3-preview/01aafd9d88900943c3a1813661184a307c45e84c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Everybody Knows,7lhMcWDg0NhBDpiGjsKFv2,Dixie Chicks,25IG9fa7cbdmCIy3OnuH57,Taking The Long Way,2NeJdEWras0uSuzLPlJZk5,40,https://p.scdn.co/mp3-preview/e79074483939c4005b019113d9b42585f7d13df1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,I'm Alive,3qjXFLKMp4zfMmugEGPaBx,Céline Dion,4S9EykWXhStSc15wEx8QFK,A New Day Has Come,5QN7mdrNquAGx37ixtQnLO,65,https://p.scdn.co/mp3-preview/520e8eedda563a328ca49a5bf9483ee152961d24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Because of You,3f3omU8n47Mqyab5nCaGyT,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,Breakaway,5gDAEao3VxFdbm8vS0koQq,74,https://p.scdn.co/mp3-preview/1d24ddb30ca6e91eefcd6a965507e5492181378a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Thank U,3CVDronuSnhguSUguPoseM,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,Supposed Former Infatuation Junkie,2QXT4rGSfqjqfgpZ059yKp,61,https://p.scdn.co/mp3-preview/0a37823003809393e93bae2bd460630ba00c1525?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Oh,7i7UIbm5E0DD7aSOYvwp2v,Ciara,2NdeV5rLm47xAvogXrYhJX,Goodies,71gUhKYZIWmmjqAHlY4Br3,66,https://p.scdn.co/mp3-preview/18d23482026111f4738ee24236e9a92ee9c3ba08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Why Was I Born?,5SWKu9Wx1FqI8nt8QLJCYZ,Ella Fitzgerald,5V0MlUE1Bft0mbLlND7FJz,Best Of The Songbooks - The Collection,7hWYg6xbKirWV41t8IMNeX,0,not available
