I got U,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,36,spotifyusa
1,Some Say,5iwyFiWDnWMMeTdbrCIofc,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,Silk & Soul,2miVfa78vOd0o8Vbsgd7g3,26,https://p.scdn.co/mp3-preview/fcdfbb8f2f488877433ab1b2f821bd41cfe639c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Big Girls Don't Cry (Personal),3Q4WeJmzxuDpzMu9QjQqbM,Fergie,3r17AfJCCUqC9Lf0OAc73G,The Dutchess,0jwuTvP3hp2jFY08VLgvnD,75,not available
3,Whatever,1AAbYwMYq0JE37F06XUeXA,Jill Scott,6AVLthptCPhfrxlHadOBJD,Beautifully Human: Words and Sounds Vol. 2,21JbNB7qmJoOr03sM9dMeR,37,not available
4,You Don't Have to Be A - Tower of Strength,4EBSkLdOyJWlKarPG9ApTb,Gloria Lynne,2XThtYxaIaPS5o9soX7kAu,Love Songs - The Singles Collection,12biPt6YU1Qveudw0CyJuA,9,https://p.scdn.co/mp3-preview/dd53a809ea8ca4b4a7ffca04c97008b6d01f3acb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Endlessly,6RUKs5RXdJ7IMbpLtkCY9w,Renée Fleming,3SK3gLBgy1jRuA4VnLlcs8,Dark Hope,5oB9p8ArmASu7JJUuGUn1Q,6,not available
6,Mama,3dNv3OuX6ol9si6PZ9KSAh,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,Spice,3x2jF7blR6bFHtk4MccsyJ,56,not available
7,We Don't Need Another Hero (Thunderdome),1qyJ6XpMHdsJD8pkiA7Qww,Tina Turner,1zuJe6b1roixEKMOtyrEak,Simply The Best,1ZFC0iOKUp4M16eHXVaeG4,62,https://p.scdn.co/mp3-preview/91c59e5384202ae508748c4d82546c48c71241ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,"Any Time, Any Place",2yOm4lN7aTygtXanJFNFWU,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Janet,7qIuZgsMkRuh7rzi4qVcpg,59,not available
9,I Got You,4MkUJZWnjxDg9JgA1Kdp87,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,I Look To You,3VPDCqgJfdq1GEqitheCtn,32,not available
