Top Boy Bands,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,106,spotifyusa
1,Drag Me Down,2K87XMYnUMqLcX3zvtAF4G,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,Made In The A.M. (Deluxe Edition),1gMxiQQSg5zeu4htBosASY,76,https://p.scdn.co/mp3-preview/09a6fcd9ca6aac808bf9ab042a55ca9ea63d66d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,5 Seconds Of Summer,2LkWHNNHgD6BRNeZI2SL1L,70,not available
3,Blood Sweat & Tears,0oSNOJEcBIKNcQzRc5TfyR,BTS,3Nrfpe0tUJi4K4DXYWgMUX,WINGS,6CqQEpTYDf64ku45E3ry7d,1,not available
4,Ya Me Enteré (feat. Nicky Jam) - Urban Version,2SSYqDX8KTgy01NlqtUo0F,Reik,0vR2qb8m9WHeZ5ByCbimq2,Des/Amor,6Tap30zqzXj22sVKoy1GUj,67,https://p.scdn.co/mp3-preview/440747bbc2a644aa2693f767e0ca377852e85a19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,I Want It That Way,68y6OIiE1nDdI1MLQdJNh8,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,The Essential Backstreet Boys,0A0F3AqFbEy1ZQgJwAXFzm,16,not available
6,All Night,0dXNQ8dckG4eYfEtq9zcva,The Vamps,7gAppWoH7pcYmphCVTXkzs,Night & Day (Night Edition),69Pj3ce9XFZUi3XuQylLKf,75,not available
7,Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo,CNCO,0eecdvMrqBftK0M1VKhaF4,Primera Cita,0YLrAWUbY0nyM7PFtqnYld,75,https://p.scdn.co/mp3-preview/8bc3526c08a09338a4d70433c5795a6c90f5dd78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Obsesion,65H6t1WQBim6q93yM8fEwn,Aventura,1qto4hHid1P71emI6Fd8xi,We Broke The Rules,5QdYO6Q2POaG7dhVIsJeWd,73,https://p.scdn.co/mp3-preview/fccb2abd4b2f7d7b81af5f063158dfbbfcc3d974?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Uptown Girl - Radio Edit,2sFp6E7lNBbblJGmUtCfFH,Westlife,5Z1CCuBsyhEHngq3U5IraY,Coast To Coast,6P1sBa0T1fRooA0UTAQfOu,70,https://p.scdn.co/mp3-preview/22acb50c9a2f35f1e0dbe447e18d0571679cfb29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,No Strings Attached,20RMokVwJ2wjQ0s8FOdOFC,73,https://p.scdn.co/mp3-preview/72b91cb27fac7beb50a2deffdd8b821fba5ba950?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Glad You Came,0dw7G0QDuW7UwyL0boHKMU,The Wanted,2NhdGz9EDv2FeUw6udu2g1,The Wanted,2WKKYXyjXjZHCvZhiunLU8,50,not available
12,Me Llamas (feat. Maluma) - Remix,5hEM0JchdVzQ5PwvSfITeX,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,Me Llamas (feat. Maluma) [Remix],2mqj8lMnZRYR5hapcNVpRq,73,https://p.scdn.co/mp3-preview/85095843e1751ea3c834e853e4e02d906e5b7fc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Fantastic Boy,2GrYIUrAYK5TZhSh0RJV6H,BIGBANG,4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG Special Edition Still Alive 1,7tCxOPrGwO3ojcfi8ZdNKQ,0,not available
14,Monster,6lM6yIDZ7kxFsgQCCfaLE2,EXO,3cjEqqelV9zb4BYE3qDQ4O,EX'ACT - The 3rd Album,5dB931yywXZg4VdZYeFRaD,2,not available
15,End Of The Road,3l3xTXsUXeWlkPqzMs7mPD,Boyz II Men,6O74knDqdv3XaWtkII7Xjp,Cooleyhighharmony (Bonus Tracks Version),3jknvlUSe6D9Oyn2E3JBLO,73,not available
16,Back for Good - Radio Mix,4CPTAJth9JiuKYaMIemmDD,Take That,1XgFuvRd7r5g0h844A5ZUQ,Nobody Else,7p4CuUHuoPo3K6UM69fUAQ,50,https://p.scdn.co/mp3-preview/8f9085faa29895e3eb68da902f2ba0d6ad180ddc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Burnin' Up,72jGj8k9C7DIQesDYenUT3,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,A Little Bit Longer,6MEqGmQZkuoZIXl0WlV9Nh,13,not available
18,Worldwide,18vVJsD68uh386vlZWwO3d,Big Time Rush,0GWCNkPi54upO9WLlwjAHd,BTR,2RjFzASjHZG1lUbCKqUahx,59,https://p.scdn.co/mp3-preview/13f702a4b9fe523938d096d2bef54bc6cc01f116?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Where the Party At (feat. Nelly),5mNV8Mz59bzyuQ53gTw0c0,Jagged Edge,7Aq8lpLMSt1Zxu56pe9bmp,Jagged Little Thrill,2LFRjzwf61Y7CIl54Kiq8j,69,https://p.scdn.co/mp3-preview/52ac255bd90c58f9581f62c3a3f68e2a670d1ada?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Only You-Bad Boy Remix (feat. The Notorious B.I.G. & Mase),6zOg9gP62RJSsKFeOBAgvH,112,7urq0VfqxEYEEiZUkebXT4,112,5lSLGYViKHz22S8gEXz9Vc,62,https://p.scdn.co/mp3-preview/a85a9db7fbc67de02286bb94126386bc355ce159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
