Spotify’s U.S. Top 10 Songs of the Summer,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,434,spotifyusa
1,One Dance,12VWzyPDBCc8fqeWCAfNwR,Drake,3TVXtAsR1Inumwj472S9r4,Views,0G1ffjfFuTUTVjDrVdLimH,68,not available
2,Too Good,7fJtPlEZKxu6gvkfBFc5tW,Drake,3TVXtAsR1Inumwj472S9r4,Views,0G1ffjfFuTUTVjDrVdLimH,61,not available
3,Needed Me,1Tt4sE4pXi57mTD1GCzsqm,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,ANTI,3Q149ZH46Z0f3oDR7vlDYV,72,not available
4,This Is What You Came For,0azC730Exh71aQlOt9Zj3y,Calvin Harris,7CajNmpbOovFoOoasH2HaY,This Is What You Came For,3pEgGUv379EDinvg1TN7Kt,80,https://p.scdn.co/mp3-preview/16e42342599e423f7da57c9d2ce0c6758fc430e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Controlla,4CpKEkdGbOJV51cSvx7SoG,Drake,3TVXtAsR1Inumwj472S9r4,Views,0G1ffjfFuTUTVjDrVdLimH,65,not available
6,Panda,275a9yzwGB6ncAW4SxY7q3,Desiigner,7pFeBzX627ff0VnN6bxPR4,Panda,1k3BLTc4VZ7beRBXL1SPN6,71,not available
7,Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Don't Let Me Down,2SByipSK8eZ2pasaIwwzhf,80,https://p.scdn.co/mp3-preview/4f410d4293b502e25df3e782c443d1745382c3da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Ride,2Z8WuEywRWYTKe1NybPQEW,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Blurryface,3cQO7jp5S9qLBoIVtbkSM1,82,https://p.scdn.co/mp3-preview/26fc2318d6ebad09ae7aed7adfce2b28413cea7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Cheap Thrills,6b3b7lILUJqXcp6w9wNQSm,Sia,5WUlDfRSoLAfcVSX1WnrxN,Cheap Thrills,4BTlXiDFjyJfpHjR7jlEJo,69,https://p.scdn.co/mp3-preview/09da2d14ee980c7295ea6354637313c166d1213a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Heathens,6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Heathens,3J8W9AOjQhnBLCX33m3atT,82,https://p.scdn.co/mp3-preview/cd5173acb956b9f442c67bafd2ec637a898ab172?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Don't Mind,27PmvZoffODNFW2p7ehZTQ,Kent Jones,3jHBxvZ9gbBkZ17wKUqVsO,Don't Mind,0l28Q1FFEA0mtpEdEQw1r3,68,https://p.scdn.co/mp3-preview/d239d792c6a8c706ff0e57aa7b38eaa1b3a5ad48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Work from Home (feat. Ty Dolla $ign),4tCtwWceOPWzenK2HAIJSb,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,7/27 (Deluxe),0pF0oyuPNdOObniB1Ng0kW,79,https://p.scdn.co/mp3-preview/b2d6e6ea9163eb361f5406f75264de490243964a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,Justin Timberlake,31TPClRtHm23RisEBtV3X7,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",40LbnfieVTWtHrK24WQeEB,78,https://p.scdn.co/mp3-preview/9127f47e7e5265f51ab9e1a8d5d8edb9b7cb91a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Broccoli,0qy5D3OJre7SPJNMOL9I71,DRAM,5M0lbkGluOPXLeFjApw8r8,Broccoli,4mchkmnzdTYIEAnw2FijA3,69,https://p.scdn.co/mp3-preview/4858b2a71d5c356c88960cef3e09923e01365631?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Into You,2meEiZKWkiN28gITzFwQo5,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Dangerous Woman,3OZgEywV4krCZ814pTJWr7,80,not available
16,Treat You Better,1mSlftOO1dlDRXAyOE0Sbd,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Treat You Better,1NwnEwT5qtDv0JDYgFywdC,14,not available
17,Cold Water,7zsXy7vlHdItvUSH8EwQss,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Cold Water,3Kmo85mapQ2wTaCAHBkKsK,70,not available
18,Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Closer,0rSLgV8p5FzfnqlEk4GzxE,85,https://p.scdn.co/mp3-preview/8d3df1c64907cb183bff5a127b1525b530992afb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Never Be Like You (feat. Kai),6y0igZArWVi6Iz0rj35c1Y,Flume,6nxWCVXbOlEVRexSbLsTer,Never Be Like You (feat. Kai),5eTAmV8stngDTcO4veqyVK,9,not available
20,"i hate u, i love u (feat. olivia o'brien)",7vRriwrloYVaoAe3a9wJHe,gnash,3iri9nBFs9e4wN7PLIetAw,us,3L0H4RjVXpEkwfDgi3XOdf,82,https://p.scdn.co/mp3-preview/915f200cd1d5ed99ca02c1d290d7729df84b7580?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Send My Love (To Your New Lover),3LGxef3inmn5jMLGDz9lqw,Adele,4dpARuHxo51G3z768sgnrY,Send My Love (To Your New Lover),7xX2GJWXXgIwamzN2vxXy0,61,https://p.scdn.co/mp3-preview/2f7c4f6de9f5a25ed2d59d353c62a06c2ac57c96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,"At Night, Alone.",1Tz3Ai1guEFf4hV3d9i17K,73,not available
23,Gold,6ZSO7kPn8IMJFymyticbJO,Kiiara,4u5smJBskI6Adzv08PuiUP,low kii savage,2EvTMiJyF3H4BoxNCL4HLh,70,https://p.scdn.co/mp3-preview/c11c15826334b09f98922620970d6c65e44078b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Pop Style,334S9SWZMjyRDN0wrHw7wk,Drake,3TVXtAsR1Inumwj472S9r4,Views,0G1ffjfFuTUTVjDrVdLimH,52,not available
25,Low Life,7EiZI6JVHllARrX9PUvAdX,Future,1RyvyyTE3xzB2ZywiAwp0i,EVOL,3jJKDKdlwRS584zUlHV2Ly,76,https://p.scdn.co/mp3-preview/dd493a2d827e0d6b40470f23913f301aee963157?cid=fa83a2fec7c440b7a2795d600d6b2c7e
