Sub Pop: The Grunge Years,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1682,subpoprecords
1,In Fairness,24clGsXz5FB0QqodjtpHo4,Seaweed,4jzHHEC3qk1j4hnIWPUnsu,Four,5GFkxEk3O1X6QZnhVISTx3,0,not available
2,Wait For The Fade,6aLa5Cu8NTu3WL1DD2jnlN,Seaweed,4jzHHEC3qk1j4hnIWPUnsu,Four,5GFkxEk3O1X6QZnhVISTx3,0,not available
3,Jr.,0GlAbq0ReY1NyJxEi6POh5,Codeine,60CBjmRpwr02JwAd3Ho25U,Barely Real,7CS8YXpZp0G6UI7CkH8z5S,0,not available
4,Barely Real,4YGWkjUkO3SqBHPOFZcfr2,Codeine,60CBjmRpwr02JwAd3Ho25U,Barely Real,7CS8YXpZp0G6UI7CkH8z5S,0,not available
5,Searching For Rose,1hlN1ZGgQdsEMYxzPJF3px,Love Battery,43wwctvUaVOoEHEijQ8NpF,Far Gone,3EWmxJmRfHefrzA4hgZZRv,0,not available
6,Half Past You,70L1ruotKL7z8ax10FJ8ik,Love Battery,43wwctvUaVOoEHEijQ8NpF,Far Gone,3EWmxJmRfHefrzA4hgZZRv,0,not available
7,Spots,6fJE6yOEh7H0WNJvXaPGIZ,Pond,2C3d4ZcjA6BLPvl2uGZ7X6,Pond,3HBt0swl516pRhWQCdlL3m,0,not available
8,Dead Man Rise,4pCNBuQr6D85tIhw3Q9lVK,The Walkabouts,08w6KQXL60XUftg3Ds3177,Dead Man Rise,3302RGyPAzVK0Y731glsCJ,0,not available
9,The Anvil Song,7kmvkJKxwpeIq6ItlqO7az,The Walkabouts,08w6KQXL60XUftg3Ds3177,Dead Man Rise,3302RGyPAzVK0Y731glsCJ,0,not available
10,Long Black Veil,7qMUVjvrbt9lCEjQUSHLq0,The Walkabouts,08w6KQXL60XUftg3Ds3177,Dead Man Rise,3302RGyPAzVK0Y731glsCJ,0,not available
11,Hangman,6k2clQ6fT50EN2xyrUK7h6,The Walkabouts,08w6KQXL60XUftg3Ds3177,Dead Man Rise,3302RGyPAzVK0Y731glsCJ,0,not available
12,Train To Mercy,0siFvOdqSdUKZTX9b869w8,The Walkabouts,08w6KQXL60XUftg3Ds3177,Dead Man Rise,3302RGyPAzVK0Y731glsCJ,0,not available
13,Sub Pop Rock City - Remastered,353tG6zuOSRk9McBBvrJ9t,Soundgarden,5xUf6j4upBrXZPg6AI4MRK,Screaming Life/Fopp,2yN7nOorUYUHWZdbZLeOB1,26,https://p.scdn.co/mp3-preview/5ae591507d8b579d9e364fc331e98ad5a1e707fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
