Sub Pop (Intentional) Comedy,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,25,subpoprecords
1,Father and Son - Live in London,4FTfLTelnFfwLCRHCEhzoP,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Live in London,6ScSu4iTMsuqbViSYRBTp0,42,https://p.scdn.co/mp3-preview/b81ab4d7d972ddfd7df431a5fb4ab74b5eda0dc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Band Reunion - Live in London,3X1OFEqZskc930Jmo5SEH4,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Live in London,6ScSu4iTMsuqbViSYRBTp0,37,https://p.scdn.co/mp3-preview/5369435a866c29cda934f0fdf103255135427f94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Iain and Deanna - Live in London,3smzj4qpjdstaxxGSRDLXl,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Live in London,6ScSu4iTMsuqbViSYRBTp0,42,https://p.scdn.co/mp3-preview/75fe985d674a29e41d3c006a173ba08a57836fce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Inner City Pressure - Live in London,5XzprjrCwKxWAUQW9X8GNX,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Live in London,6ScSu4iTMsuqbViSYRBTp0,37,https://p.scdn.co/mp3-preview/9d176cf57739255263d9626bfb616a3cd44888cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,New Zealand Symphony - Live in London,5Fcni3iHdlvjyAgdqxxGEO,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Live in London,6ScSu4iTMsuqbViSYRBTp0,36,https://p.scdn.co/mp3-preview/b2519b6db677b3b4eebe0b29f0e36733b32f07cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Summer of 1353 - Live in London,7oZMJ5SXv96tnowO6ORC23,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Live in London,6ScSu4iTMsuqbViSYRBTp0,39,https://p.scdn.co/mp3-preview/c9e4fc367a53d4f40b29757d8ff9089689336d61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Complimentary Muffin - Live in London,6p9NK20WadF0IKTDsxLTcO,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Live in London,6ScSu4iTMsuqbViSYRBTp0,35,https://p.scdn.co/mp3-preview/609999a14762f50af3db0dcad2d7a82178c2e954?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Stana - Live in London,2IkQE5hhkDfdcgwJKW4giF,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Live in London,6ScSu4iTMsuqbViSYRBTp0,38,https://p.scdn.co/mp3-preview/8de74c853942b938a2fa785219da0985ed1ff46d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Stuck in a Lift - Live in London,1pzhvYTfAU0Q5GBwb6CynX,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Live in London,6ScSu4iTMsuqbViSYRBTp0,35,https://p.scdn.co/mp3-preview/4614c77cf36c0a405950937079d113de98ddcc11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Foux du Fafa - Live in London,1Cr0st4PBOoqOFf4WP6CAL,Flight of the Conchords,2lRyvAihjwylPfhGqydQbC,Live in London,6ScSu4iTMsuqbViSYRBTp0,35,https://p.scdn.co/mp3-preview/916d071c4a6fb9cf968ec7d8573bc824b463d2b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
