Sub Pop: The Less Grunge Years,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,178,subpoprecords
1,One Beat,3IAFRGBtVWIDGlHL9jIEXe,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,One Beat (Remastered),0AfiIT0sVxjuH3hzjluSTp,35,https://p.scdn.co/mp3-preview/1c0b74054da5d7c7aef9e7928b11b01ccf558f4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Far Away,6qFCU6MBXXY7YEzU873xwZ,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,One Beat (Remastered),0AfiIT0sVxjuH3hzjluSTp,27,https://p.scdn.co/mp3-preview/52c2af2c88233c6d54ba8a11f99e3a2373de2b5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Oh!,5xK2mtKLpVu4soKn2kHEZh,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,One Beat (Remastered),0AfiIT0sVxjuH3hzjluSTp,34,https://p.scdn.co/mp3-preview/b1e409d1aa5d1b1135accfa2b9d4c5ffdf332684?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,The Remainder,4EXZHrUpgZE0EoNz76aVpP,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,One Beat (Remastered),0AfiIT0sVxjuH3hzjluSTp,23,https://p.scdn.co/mp3-preview/290acab9b9f312113586f6e0d7a3761f3aa82708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Light Rail Coyote,3GyHbAEdy1Hf7t8jRmufpI,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,One Beat (Remastered),0AfiIT0sVxjuH3hzjluSTp,27,https://p.scdn.co/mp3-preview/3c6979940afcd7e13425dc4de91567b9e1a1f0e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Step Aside,05TNDyu58SmCqkPVhSYT2W,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,One Beat (Remastered),0AfiIT0sVxjuH3hzjluSTp,23,https://p.scdn.co/mp3-preview/3f1fc337561adefa696d54fff6a837441ad35886?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Combat Rock,5y4ir3rrNj6SVZ19eVsFR6,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,One Beat (Remastered),0AfiIT0sVxjuH3hzjluSTp,27,https://p.scdn.co/mp3-preview/215b7abac651d3a92c09fc2e9de53632e93b8ec5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,O2,4p3w4aUzHIqAl3e1QO02DR,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,One Beat (Remastered),0AfiIT0sVxjuH3hzjluSTp,21,https://p.scdn.co/mp3-preview/919a1fc16dee2c5b54392fd6f56beacdf6dd33da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Funeral Song,6q51kLnXvyAeX1f2WbYxpH,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,One Beat (Remastered),0AfiIT0sVxjuH3hzjluSTp,22,https://p.scdn.co/mp3-preview/ab7e210c452670f92323a8ab800c8091073e000e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
