Sub Pop Takeover: Kyle Craft,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1696,subpoprecords
1,Deathwish Blue,2WP9Rsl8tcDm16WBCzCKQr,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Deathwish Blue,2h8zd2454KHB4nA6BAK4gI,16,https://p.scdn.co/mp3-preview/2f26015d8633ef2b0911734b4c755127e8d1d4a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Broken Mirror Pose,78peASQFd4D97jrDkLh1Nm,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Deathwish Blue,2h8zd2454KHB4nA6BAK4gI,10,https://p.scdn.co/mp3-preview/53390e222a439d27b29de8ec0ecac82f050dd041?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,2 Ugly 4 NY,6AdPBAYpK5guwKIrTgLKvx,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Deathwish Blue,2h8zd2454KHB4nA6BAK4gI,7,https://p.scdn.co/mp3-preview/a40df77a50fdd618a137bb16e720940148861a27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,My Favorite Things (Reprise),0D7u8H8myGIBQ3mXRBMHuy,Julie Andrews,5RdqZVi36tpDPYNPw8jJbO,The Sound Of Music - 45th Anniversary Edition,6X3aPRdm4Jb6f1KVjKYWVl,16,https://p.scdn.co/mp3-preview/f1ddca5cf480223167bc0e4e805635fe8947f766?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Jesus I Was Evil,2jbTnXSqdqWRLHg8qvcQjx,Darcy Clay,0AsKZE8uYgtJXSBvDdmJAz,Jesus I Was Evil,0YAh0DNrEQ6a2dAAMRkkyV,37,https://p.scdn.co/mp3-preview/c4cc913d2798b7a88f6c89645f75c0ef7cd8ffe6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,All The World Is Waiting,02UUM0fbxqjNuHouUZkxHZ,Elf Power,4GHF2TzZ7lTe8qNvLl8R01,Back To The Web,44ceFRde6hAN4wIdp0QHG0,8,https://p.scdn.co/mp3-preview/39566952df08b7f97668e3373cb2acbd0a1b20a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,The Winner,4Laf1i3JF4qJDYN44Je1hT,Tall Dwarfs,4DKgySPRqtTAw0eUMmp3O9,Weeville,2YIERA92hOJd44sRRYDKSJ,6,https://p.scdn.co/mp3-preview/35d401648782a2b2f12aba5485358f3f338669f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Day I Die,4UHYHqCOe6PD5TGsk2abCY,Drug Rug,2JnAqMRtUUvq8nPvT5WNWR,Drug Rug,4TcUaqvQ1SKAie9Zm2JN38,8,https://p.scdn.co/mp3-preview/793a67399b6bb2802d67fbdd8bbd0cbb56fadd77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,I Am a Photograph,3gt4yC8aEXktIcG8wrlBK5,Amanda Lear,0Xkd9GsWwOYETVF0kPXZIG,I Am a Photograph,7EJ3eQjQwURdqot7nL44J1,9,https://p.scdn.co/mp3-preview/a450d6215ec0d33916125d414b1f6fe2d3c164ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Lucky Girl,65TQswN5tZ4JWSZwwprT8m,The Gerbils,4q2SrEkJOVGe1Yuug8HPRl,The Battle of Electricity,3kg6E1ueTMGAUgN2gUDZ7y,14,https://p.scdn.co/mp3-preview/d4b996e8cd2a64ea25c51e23891c34352506f6c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Money - Edit,2IjIEY0gvjBTPr6O2J11ja,The Flying Lizards,2L9iHIK8h5HvZe6VXb0aOI,Money,1X2cyNTcwznFDh53uXotmZ,35,not available
12,Real Life,7lcMTQFMYYT6ktDNAYvdEf,Dick Stusso,7yUlwLhbOmjtsj4Uk5mviU,Nashville Dreams / Sings the Blues,73bM7lCkz9WGjk8UzV8Y92,13,https://p.scdn.co/mp3-preview/da91ff0685e896f31d2eea92aa48af2641b52130?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Dirty Hands,1x0EtYkKGJ8LI7qkQiJnLU,Black Lips,35C0NSLogAwImm8HAMqEmG,Let It Bloom,0e0XOJPRRorsV5PuRkyIn8,31,https://p.scdn.co/mp3-preview/9d6276fcb9bc69d2693ca933bbd9dfc3c6cd186d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,"Baby, I'm Yours",5GInJChhrHyXmwb4tQFJJG,Barbara Lewis,2UocIcNiHj5n4tj1CnBzRq,The Bridges Of Madison County Original Sound Track,1RHPDIiqVdvY2zIyWJF9IH,45,https://p.scdn.co/mp3-preview/343a0752498a8fb59699a29150b90c1806bc2944?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Cocaine Blues,2qBaGfNqlaLPg8sWdfaxg4,Abner Jay,0MPTLi41EZ3fWi3GYQvHQi,One Man Band,7A4J5ZpBuSLKbOF31FBrta,0,not available
16,Are You With Me Now?,5eZ7sbO4bOyouCopISJ4Mb,Cate le Bon,0LZac5VicY19QLaIUvIB0G,Mug Museum,5SHQQSHCfwjM7lUbYJsEqR,50,https://p.scdn.co/mp3-preview/2d58e00b1d5a3797c3cbf804f724386a5c5b6469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,50 Lashes,2p0TNZgqbELfhg8O9d9vNM,Floating Action,01Ru0hfWYNVxQHtFkvYY7r,Floating Action,1GDN7bty8mKXFfzqYM73oK,34,https://p.scdn.co/mp3-preview/31eb379249a10531074ebf8b2495955d41edc3f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Pain,0EhdQt2JyNxccQSmQWApOH,The Texas Gentlemen,6EuVxyAGrWCKJtj5pRSHaw,TX Jelly,5IqAPsBLEqk4XVHHAtok4i,34,https://p.scdn.co/mp3-preview/640cd08e515db8c530532be398dc53e2df195621?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Red Lady,4RILN1ApPuFNYCfo53k62U,Phil Cordell,2zpEwiWTHCGrgFlkiepARL,Hearts On Fire Anthology,5lK8iJzJ1g4TIASkX3AAZS,0,not available
