Sub Pop Celebrating Womxn,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,340,subpoprecords
1,My Death,1wUK07oKzfRSx37CjaQ7cR,Y La Bamba,6eb2gxfoBSQhmDYkQKz93b,Mujeres,0ePawVQmsCRFNjwOTye7Tw,33,https://p.scdn.co/mp3-preview/3141bd9dfc076718b773cac96f1d7aa7564094fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Nasty Gal,6nfqyVSVIL4YnIh5S7fG8Y,Betty Davis,5Ryxgm3uLvQOsw4H5ZpHDn,Nasty Gal,1tVW3AZd75H4nszId8Nukg,38,not available
3,Woman Is a Word,1RhyVwNEpuxHgqpHP686v7,Empress Of,5QuBVnBPEzwYvFrgBbwpmU,Woman Is a Word,6LMfF1cqnVDeUlr4HyrD5o,52,https://p.scdn.co/mp3-preview/8ca9da156d82f12853424410727ae58ae912f5b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Work It,3jagJCUbdqhDSPuxP8cAqF,Missy Elliott,2wIVse2owClT7go1WT98tk,Under Construction,6DeU398qrJ1bLuryetSmup,72,https://p.scdn.co/mp3-preview/a007b4cabe8441d6d878da45bc3b71471848101e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Cuz I Love You,1R1NwL3p27XZC9n5xpP8LE,Lizzo,56oDRnqbIiwx4mymNEv7dS,Cuz I Love You,3tzrUt9a93d7xvHFPhxyZH,8,not available
6,Nont For Sale,4jdbP4Ue4QtGy5A40ri5F8,Sudan Archives,2MPHBxznH1fj59jbOWY38u,Sink,2gJJdytIM2RTfsDR4HTBHv,50,https://p.scdn.co/mp3-preview/d65061c080d7e480501cdfd672380f9700050ab0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Voices Carry,5vuWELDzHEtD5K7yADIBpz,'Til Tuesday,1L0y9srZMyh9XUnYGv37IP,Voices Carry,01QZJ5r1vcjiU9GgpGfLIX,7,not available
8,Hard Bargain,3NN5yQyzxqReDjOLhBw2Zl,Married Man,08u4DnYcQIK28HUhJ0nKOO,Hard Bargain,7xzkbyTCIaNvmIQoq32Nuk,5,https://p.scdn.co/mp3-preview/3cbcc18d82d0835b77d648583511c16d363939bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Standing In the Way of Control,76rCrPvrlLO4CyqAeaLu4o,Gossip,3sFTupo9UGgrujjN21BjwR,Standing in the Way of Control,0yj50hXLNjoNbluZJgwMrR,24,not available
