New From Sub Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3550,subpoprecords
1,Goonda Gold,4UacIa2lDAm3D4j5tnxP9T,Cartel Madras,3nwKi37CnuKq5BcPr267h3,Goonda Gold,6RZuzfz1M2gUa1qKyxDrTU,6,https://p.scdn.co/mp3-preview/527cd2f2f1f4a7bf2b2f9717d8e2746da87d3263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Blood of the Fang - Single Edit,3lJ3qitpcQ7nh2UhYmImYo,clipping.,5HJ2kX5UTwN4Ns8fB5Rn1I,Blood of the Fang,0j3IYm9sSxHMPneqnbpC5D,43,https://p.scdn.co/mp3-preview/c9bb026d341082be49e9a69bf0c2420fecb6e812?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Creeps Are Everywhere,6SojqojMzoVfNjSluF1Cy7,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Morning in America,2nZwh0vvAdoeEHWEs6Cmaj,38,https://p.scdn.co/mp3-preview/71260ad58b34e6df9717f4f89a8f0e8c51b3dd03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Domino,1WKxHsBkyNkObN6GMznsPw,Corridor,4nn9uUq4K1vStqxe8t1CD4,Domino,0jGCUAMjtIs7T4wskjitc5,30,https://p.scdn.co/mp3-preview/f8d515d8df9e4a2812994d6e1b484e8c7b51c565?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,La Mala Ordina - Single Edit,20lyzx1Leis61sFqIBflXV,clipping.,5HJ2kX5UTwN4Ns8fB5Rn1I,La Mala Ordina,2YDQNYCtKLJq9rbyPsr0Zu,42,https://p.scdn.co/mp3-preview/4fa827491512f621980454096524b8914aa5524a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Skeleton Key,4060BrMu5pqQZUUXFvpre1,Omni,4wBhllC5Nto10UefzXVMt9,Skeleton Key,3Ttd4RpgA0mZq7rxGIvc3A,37,https://p.scdn.co/mp3-preview/cfabd11cc012a5dd9d24273b446e78a7f1e8263f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,41st,1t7CYVNeWFsmMrU2W4N9W3,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,50,https://p.scdn.co/mp3-preview/d26a599afba7d300693481195d1ed234fbc28d44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Lil Pump Type Beat,57akxGZaQxpJKRBPqSuIu6,Cartel Madras,3nwKi37CnuKq5BcPr267h3,Lil Pump Type Beat,5fICqJi50jrBlPbiv40Hns,17,https://p.scdn.co/mp3-preview/2d2ff521d3164d84e9de1e7df19c3fc37aecb3d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Topographe,6gilheHPyQ9hcYTxEd8E0U,Corridor,4nn9uUq4K1vStqxe8t1CD4,Topographe,6aZhuac4h0LOzTRVxfoq0M,34,https://p.scdn.co/mp3-preview/d45d517ed158621f0208a44265b1b6ab28cb9865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,November,7FScdhpmfqEDSssbVqPEyk,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,40,https://p.scdn.co/mp3-preview/edfe6537782c2bd38da5e202c0a2653955464126?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Crystal Ball,1xdhPnlT4E7oOiIc7qcLg7,Tacocat,3h0MN1neFknEvlYKxFmSQW,This Mess Is a Place,7l3uVSD4WCT8pBvrAMlxnB,26,https://p.scdn.co/mp3-preview/5a896404a839e49ba4f395fef04cc55a3681826e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Pig,4WpYEgeAuRxJcdVhpRBZ1w,Metz,18TNVFTJ6WfeicsMRrdJHI,M.E.,0QLujXYtBKJornBXQUgQc3,29,https://p.scdn.co/mp3-preview/2f98de6cffb04896e45cb440c2980f0147808dd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,I'm a Bug,2STTrl6xgXawfxhU5A0x7s,Metz,18TNVFTJ6WfeicsMRrdJHI,M.E.,0QLujXYtBKJornBXQUgQc3,26,https://p.scdn.co/mp3-preview/5713794a5802c42958086cd5c14e88e3334faf4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,M.E.,0s2kAqF1z6AnBnaBMFfClF,Metz,18TNVFTJ6WfeicsMRrdJHI,M.E.,0QLujXYtBKJornBXQUgQc3,37,https://p.scdn.co/mp3-preview/11c98006b20ad06f04b1be66d989f24c46276691?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Nothing is Safe,27c82C78XMsMcoCeeVAAF6,clipping.,5HJ2kX5UTwN4Ns8fB5Rn1I,Nothing is Safe,2a0Jq6FvrPz6h9sQxPJFRJ,49,https://p.scdn.co/mp3-preview/3c63235a6b7cee58c5a8b2a4b3bcb72d32a7e8a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Sincerely Yours,681yJhwlkfzPd4ZRc9SUAF,Omni,4wBhllC5Nto10UefzXVMt9,Sincerely Yours,0r4IxuVq1zWj9VFdF79LcW,38,https://p.scdn.co/mp3-preview/c5267f94446d6ba7b8275b71316f3e9ecce9aa92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Wannago,0XgzVJe48XX6Q4U4tDa2xA,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Wannago,1pGw5orCZ7OmyEmJzMEoBr,43,https://p.scdn.co/mp3-preview/63f8aa3212f67eade7446c6bb4fcc5daaddfe9cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Beached,73ydOKt4hwReJIaBBbJryQ,Man Man,0zprAu7NrzRehc0Q0Jc7mL,Beached,2MWBl83sOoVfjiRbqZFBHZ,36,https://p.scdn.co/mp3-preview/69f0effed2df692fd0011f23055421b7c0835a72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,N/O,7DBianqfMJvEmoaPTm3ltK,Dreamdecay,1s2OjLtmJ3iwKLtipEi0yc,N/O,5eR4HGpmk2jRw9hYEHEj3v,18,https://p.scdn.co/mp3-preview/50305d9d7e8072cfe2dbfb3e577d0a7eeae4f2e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,hand solo,3TwJeCfbNpL2yTMmkpmMSM,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,40,https://p.scdn.co/mp3-preview/fbf8dbd95a6849cf05ae997283903877db08bf0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,One Bad Actor,3iVHij7es9efhvsoC03R9Y,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,One Bad Actor,4FRHjoNW1Yee4ftwd76Bjm,31,https://p.scdn.co/mp3-preview/0dd2214bf055541613d60f2b5490e0ee5647a8c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,August,2EzlXmONynvb3xIUL5CD2M,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,3p8rCayq59uMygGvrl3dUk,48,https://p.scdn.co/mp3-preview/4d5f1e22990450b2f8064cc7135e8b0335500efb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,all night,0ALKnGrbyMaRMe829lAxz3,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,all night,1fGofLLf8q4bqItRx3rEuy,28,https://p.scdn.co/mp3-preview/e2213845d272954189216d7a037eec2c667b3197?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,the one - acoustic,6I4zQVSwiMXgapiltt1qpx,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,the one (acoustic),0iGHFHoUQOYzytI4jxVWll,23,https://p.scdn.co/mp3-preview/f56b1de131edc8d66067b3934f2e2d1faef56f22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Fly - King Britt's Fhloston Paradigm Remix,69VbrwGah98lR7iuXkrk7e,Low,0wz0jO9anccPzH04N7FLBH,Fly (King Britt's Fhloston Paradigm Remix),6FIHsYwxyXBCQ3O06i6qcq,33,https://p.scdn.co/mp3-preview/b7999513ebae9f80769265627e836ebd83dc8dd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Death Up Close,70JiZQfRBUB8daO4nVrZgF,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,Death Up Close,4rBLJqTP87ZIY6Ws4I6l1Z,21,https://p.scdn.co/mp3-preview/2be68227b280d438d4901a6b01d38935d545c86b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Rings (On A Tree),0H6avcUiCQxbqpe6NV0r3T,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Rings (On A Tree),4tZzeNMyXL9eo7qX2PvJUl,40,https://p.scdn.co/mp3-preview/38a895f863fd8920aea7f5cfec9a0b21169b03b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,She's Lily Riptide,5q10xue6s2wNedtiaKwV08,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,21,https://p.scdn.co/mp3-preview/4033f73e304b43016302241c7a9369418898c3e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Ripped on the Fence,2r2koqUJJOHqpPEBmgyIS6,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,27,https://p.scdn.co/mp3-preview/14eb7360a0de2470f6b64a5aa8a642c6246830c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,i'm not where you are - acoustic,2ZnhCLCmZubRb0dr208jRu,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,i'm not where you are (acoustic),0lPx8ZX8d00bcEWBBABa20,3,https://p.scdn.co/mp3-preview/83ef9d1c0e572bdc431a1fc2e131b84d369ead08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
