Led Zeppelin x Mumford & Sons,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3640,topsify
1,The Lemon Song - 2012 Remaster,6Qjc36CLNJHkWwSNIPbghM,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin II (Remaster),58MQ0PLijVHePUonQlK76Y,48,https://p.scdn.co/mp3-preview/d56e3245be997b56c424f7760e72248447d8817a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"In My Time of Dying - Live: O2 Arena, London - December 10, 2007",4usCLaZPkOxZUwcbtfKivq,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Celebration Day,0kTe1sQd9yhDsdG2Zth7X6,38,https://p.scdn.co/mp3-preview/86fd0e8e637e5fca63876f70f327e2d60c847e4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,That's The Way - Live 1972; 2018 Remaster,35AY4jDoaSQsL2gE3eYUlQ,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,How the West Was Won (2018 Remaster),3otvl9PN3kOgk5uwAh1CBL,36,https://p.scdn.co/mp3-preview/a91f23ea79e757ccc907e37032abb5dc52a389ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Achilles Last Stand - 2012 Remaster,0BochXUxV1vjmkGIfVRXpi,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Presence (Deluxe Edition),6vSiY2OVanKKforfEOT2PD,36,https://p.scdn.co/mp3-preview/fd6c719cf3000d746b531460d14ec32d3fc632f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Bron-Y-Aur Stomp (Live) - Live 1972; 2018 Remaster,7oGaVEK7AJyXwsZ5N6osgy,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,How the West Was Won (2018 Remaster),3otvl9PN3kOgk5uwAh1CBL,36,https://p.scdn.co/mp3-preview/a698e090215f8de8970a3bdf0a8b96f50f8bfea9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Celebration Day - Remaster,78MXICbE7bD4cuPKFh1EFO,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin III (Remastered),6P5QHz4XtxOmS5EuiGIPut,48,https://p.scdn.co/mp3-preview/caa4bb755fc7a0e12e420059ed38fca0c614472e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Heartbreaker - 2007 Remaster,3I7a9joX0lJnK9XzE38GnD,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Mothership (Remastered),4wExFfncaUIqSgoxnqa3Eh,51,https://p.scdn.co/mp3-preview/ee582e354f7bcd2a0a7f2f688dccfbf1b69307c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Babe I'm Gonna Leave You - 2007 Remaster,0ducHx1R45CnEloZ6tUVuC,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Mothership (Remastered),4wExFfncaUIqSgoxnqa3Eh,52,https://p.scdn.co/mp3-preview/e1139ad811e43385280dbcf1ea63b35792a3150d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Black Dog - 2012 Remaster,0D58ERdLBDRgT86BPnH8ps,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV (Remaster),5EyIDBAqhnlkAHqvPRwdbX,51,https://p.scdn.co/mp3-preview/9b76619fd9d563a48d38cc90ca00c3008327b52e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,The Song Remains the Same - 2007 Remaster,6gQOsok1o9YY6vU1W5ZzWX,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Mothership (Remastered),4wExFfncaUIqSgoxnqa3Eh,46,https://p.scdn.co/mp3-preview/b55c2be76e7502b5d17c46839f7d52f21d0bb35c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
