Global Top 50 | 2019 Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,63179,topsify
1,Dance Monkey,421leiR6jKlH5KDdwLYrOs,Tones and I,2NjfBq1NflQcKSeiDooVjY,Dance Monkey,5i6CS5XcLZGLgaNCKlJvc2,70,not available
2,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,88,https://p.scdn.co/mp3-preview/7b43dd0c94b0af0c0401381a683d2f4833180ba3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,86,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Good As Hell,6uAm7pG66O1XesXS9bpHSF,Lizzo,56oDRnqbIiwx4mymNEv7dS,Good As Hell,5PMpdvn38HScK6IuLniRep,75,not available
5,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
6,It's You,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,It's You,40vQONzvJb6sKejDN3eWza,92,https://p.scdn.co/mp3-preview/1219afc55c445aa7c2776f6389a361a4fb55b570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,89,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,96,not available
9,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
10,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Magnets EP,41S9bfzXTSGK4HU2mp5qXH,88,https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Lalala,51Fjme0JiitpyXKuyQiCDo,Y2K,6USMTwO0MNDnKte5a5h0xx,Lalala,4WlC4FXhonJhNTXCQPGP3r,97,https://p.scdn.co/mp3-preview/3fa108534da58a2782b9c60b1c3a2d0aa18fb451?cid=fa83a2fec7c440b7a2795d600d6b2c7e
