Ugly Dolls - Official Soundtrack (2019),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,527,topsify
1,Broken & Beautiful (from the movie UGLYDOLLS),0mVapHj1zhlVpHChhXRWc3,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,UglyDolls (Original Motion Picture Soundtrack),27RUK36qlkCtwySz0pBQXq,46,https://p.scdn.co/mp3-preview/d0cd9ed365c0005fc0f5054f868ca92da4fff856?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Ugly - English Version,326jKGa1FVqDF5Yeahq8Nn,Anitta,7FNnA9vBm6EKceENgCGRMb,UglyDolls (Original Motion Picture Soundtrack),27RUK36qlkCtwySz0pBQXq,39,https://p.scdn.co/mp3-preview/0d991143e8f8824f8d04668dec0f645077dfe279?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Wallflowers & Weeds,3Glf0VFqDMGTXNjSxPngzD,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,UglyDolls (Original Motion Picture Soundtrack),27RUK36qlkCtwySz0pBQXq,37,https://p.scdn.co/mp3-preview/ce3d20953f891c9c1babae05cb9bfc33340a3de9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,All Dolled Up (feat. Kelly Clarkson),16g65Vn8C4Acq0kRP3Bson,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,UglyDolls (Original Motion Picture Soundtrack),27RUK36qlkCtwySz0pBQXq,44,https://p.scdn.co/mp3-preview/11f34e285e28a2659f7a5ebe1e47e065cf2c0d65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Don't Change,3YMpQVEIJiq1gBY4PsUVwk,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,UglyDolls (Original Motion Picture Soundtrack),27RUK36qlkCtwySz0pBQXq,40,https://p.scdn.co/mp3-preview/99ed137c7ec13be55a6b196891bb3a1092a5d30f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Today's the (Perfect) Day,14dDNmntvWYZeBkUnXLxzm,UglyDolls Cast,5z8jpCwqurFo5ifoQFfqJ7,UglyDolls (Original Motion Picture Soundtrack),27RUK36qlkCtwySz0pBQXq,39,https://p.scdn.co/mp3-preview/c3c0c3abd60d0dcf2df7f6026845f11abd392d68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,The Ugly Truth,7tctTXDHVCmPPj9U2C6UIN,Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi,UglyDolls (Original Motion Picture Soundtrack),27RUK36qlkCtwySz0pBQXq,47,https://p.scdn.co/mp3-preview/9e7bd1e4c6202732be18712d451f6dfeb337d766?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Girl in the Mirror,2UcK3xgGDxPSyKzKqyPv0s,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,UglyDolls (Original Motion Picture Soundtrack),27RUK36qlkCtwySz0pBQXq,59,https://p.scdn.co/mp3-preview/cefbe26b5431a6acaca5f997df83b3c7f18a14a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Couldn't Be Better - Pop Version,60DhxXRn8aGnZWUM634Cyh,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,UglyDolls (Original Motion Picture Soundtrack),27RUK36qlkCtwySz0pBQXq,46,https://p.scdn.co/mp3-preview/1e17649ddf698340a64599e37eb1616aa6110a0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
