Alternative Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,244193,topsify
1,"Fire, Ready, Aim",3I8Ri6tLa4QA11MMdZywtM,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,1xIgeQeVlMe5fcAVpRjkaP,54,https://p.scdn.co/mp3-preview/2e4803f2d87f1b15fadbddfc764feff05833438f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,16,2wGfZBcArmMVrd4iUEDuF3,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,16,2fyUUI6qFR57zGMRX84EB0,69,https://p.scdn.co/mp3-preview/65e93ff2946269e5d1647d56e76a25c255275914?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Father of All...,4r59yc67nric1MZQ2igkhx,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,33eDyKXqDYRHeu8cq8ToRl,72,https://p.scdn.co/mp3-preview/b16f8b71d4c25172e9dc53b2e578a597544b76b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Allergic,1YscJ7yVTlFxW3eF6pv5ba,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,84,not available
5,The Hype,7I3skNaQdvZSS7zXY2VHId,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Trench,621cXqrTSSJi1WqDMSLmbL,73,https://p.scdn.co/mp3-preview/854ee3b17e484b0727dffe62e50f8549ce66ffee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Wash,3JUpfFQsiYXDX2x0tGuTd0,Liily,2asx6eXv9qzj5rA0ESrdO3,Wash,6X3JINwQyEF4EUO13OBTPb,50,https://p.scdn.co/mp3-preview/8093c48ac6e650fa910692d7da1f792b59c30316?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Annie,7tEdUJ7mV0uEnUZAoQHYgv,Capulets,2El0gXW7YcZczArDQlZlYn,Act One,6TOPw6JhcgzuzPKvoE4jyE,37,https://p.scdn.co/mp3-preview/36b1684eebe8f3903d1f708df2400ed44e37cdd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,One Little Lie,4y8NnGih7SRWSf7kDMeEqK,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Everything Opposite,4W9hKpdYHa0hcuGh57btOW,11,https://p.scdn.co/mp3-preview/827b6ef3f82162146110df5f4b458f7ed07bd149?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Better Than I Used To,3feZXDkQqugZF4E2MWBdmG,Illiterate Light,1vEqG4Bxz3YIMuDkIcvg6J,In The Ground,3zHpgSIfAgtxFsilAsl5Q8,26,https://p.scdn.co/mp3-preview/cd25ed96a16dd82012dc2a4bd2f3099548906de4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
