Nashville News,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2653,topsify
1,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,90,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,What Feelin' Good Feels Like,2s8v5s2gACbha43QaBHcR5,Trea Landon,0uzF7KK6coJpJvOW6Vrv1H,What Feelin' Good Feels Like,6JQVWHeAuts00rKWT2FSpP,46,https://p.scdn.co/mp3-preview/b7454ad3afe9db0b1650f53d11b6f0e41e3cbaa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Right Where I Left It,0OmNyDbXHj2txdfyDNviiR,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,Right Where I Left It,2XEa29TeZzeswhSztQB1tn,56,https://p.scdn.co/mp3-preview/cc9b1e1a81481f9b999c37364d1d5d247696e622?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Drink About Me,3AghI4HcasKVSNnk17ptqU,Brett Kissel,6VOaUBrKfzd49nIAzjVKmm,Drink About Me,0d22U5h9Nw8MmslPF0bIM6,56,https://p.scdn.co/mp3-preview/094262ab9da289e29605670df6f182ddfae1c87d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Truck I Drove in High School,6A5cVdYACWjjdu1oVxSzem,Devin Dawson,2ySHS7UojGu20XfUPaBlyu,Truck I Drove in High School,7KGT77zeMNtJtjatkrxdmO,47,https://p.scdn.co/mp3-preview/c8c7b2cb8b0f3202424110ae53defc4e996e461a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Over Drinking,2wJM2t0mBN2uynetF6JzGT,Little Big Town,3CygdxquGHurS7f9LjNLkv,Over Drinking,3tgmw0Gwpp6yuxc0Y1y28Z,58,not available
7,Your Mama,1U29OEyLptZDqoxS8brnP9,High Valley,5sQqZtsAbXAoAnvA8iN9kN,Your Mama,4dRZXKuTBPOOWdeKFdcCVl,56,https://p.scdn.co/mp3-preview/93922477cc6a339ad88e3a82ece35813799bbaf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Shoofly Pie,7y6ZDqgkqOLhnUxeSsFNBs,Zac Brown Band,6yJCxee7QumYr820xdIsjo,The Owl,3PzVbo0ulFYswlyRCaW8ZG,52,https://p.scdn.co/mp3-preview/f5af8d786b3bd0aef26e26407f19ee789fdeccae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Right Here Right Now,2LwvqL50LKRpWSUqJ3bdTf,Ryan Griffin,7dMEBGtGI6O7PoTEucAaBT,Right Here Right Now,011aq3wPmK181YivZHLNB6,57,https://p.scdn.co/mp3-preview/aec7e52e225bde9e094480285a0d1d3181fc5692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,LA,3Fa9hQ4rQQdhxPdJc5NDij,Lainey Wilson,6tPHARSq45lQ8BSALCfkFC,Redneck Hollywood,613QlECyZpEDa6DTgkNAJ6,51,https://p.scdn.co/mp3-preview/1e4559eafb5460e0d9cca02e30e952e7ef3ee7c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"Turn You Down (HARDY feat. Morgan Wallen, Zakk Wylde)",3X0773BLlMv6RMq0wkZZAk,HIXTAPE,4SbuhLih8eWLmqFzzmM3AK,HIXTAPE: Vol. 1,5e3Kjap4XBZ44dc36AqtEo,58,https://p.scdn.co/mp3-preview/55459f02ba67c4d25fc3ac5af09d7ad0ac83569c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
