Rock Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,92067,topsify
1,16,2wGfZBcArmMVrd4iUEDuF3,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,16,2fyUUI6qFR57zGMRX84EB0,69,https://p.scdn.co/mp3-preview/65e93ff2946269e5d1647d56e76a25c255275914?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Father of All...,4r59yc67nric1MZQ2igkhx,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,33eDyKXqDYRHeu8cq8ToRl,72,https://p.scdn.co/mp3-preview/b16f8b71d4c25172e9dc53b2e578a597544b76b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Nero Forte,56fiFTRrSiHHH3gBeaTg2P,Slipknot,05fG473iIaoy82BF1aGhL8,We Are Not Your Kind,754RY5WpZ2LTUZsk8kDBju,74,https://p.scdn.co/mp3-preview/0ced99ffeb05d59987f4581dbc8e1fb3adc44568?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Elevate,1SNipdzMky2C2LwvoVRzsv,Papa Roach,4RddZ3iHvSpGV4dvATac9X,Elevate,4C84G5bSOE7zK9m9eXMxkW,64,https://p.scdn.co/mp3-preview/026ee13ae758fe19a17f6e7c07e14abddf8d566c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,92,not available
6,Degenerates,77Ht6FFAeyHgKl6X87mnTk,A Day To Remember,4NiJW4q9ichVqL1aUsgGAN,Degenerates,3G3EHIjrfZAcy6w5zIOggZ,69,https://p.scdn.co/mp3-preview/6c137edb6ebe31af1fe00d053cc7b4588bc6178a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Can You Hear Me,5VXeawVov6ikGAaT0If8n9,Korn,3RNrq3jvMZxD9ZyoOZbQOD,The Nothing,6mWsWVsfWpoZ2d6uxm1ND1,65,https://p.scdn.co/mp3-preview/4b16f8afd68ae63094a57048827675b6f1aa8b4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The Violence,0C5X8RJXZNuGO2CfQJumb5,Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ,The Violence,1Uj57vCDZBtTZZegrNwDdp,69,https://p.scdn.co/mp3-preview/5dec033449c54dd479b44e60e7bafb11520ce3c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,When I'm Gone,3VZjogSj2XePaVubGgFOUo,Dirty Honey,0XBRd3N11rCbh0s8qHf41m,Dirty Honey,5P1eT6Xpd9DNeSHJkJAzNo,30,not available
10,Agree to Disagree,58Eyr2rZWIYM19qhpals74,Sleeping With Sirens,3N8Hy6xQnQv1F1XCiyGQqA,How It Feels to Be Lost,19BZXyyyJmxcCys5VDFOOB,55,https://p.scdn.co/mp3-preview/349184ba03c5ad37eeae4c33f72d122f5aaa6055?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Wash,3JUpfFQsiYXDX2x0tGuTd0,Liily,2asx6eXv9qzj5rA0ESrdO3,Wash,6X3JINwQyEF4EUO13OBTPb,50,https://p.scdn.co/mp3-preview/8093c48ac6e650fa910692d7da1f792b59c30316?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Fucking With My Head,6G9ycZ8BVFrcP8ASz1khm5,Palaye Royale,0hAd6zwEgt9ILuMDY1prcI,Fucking With My Head,3C9IblDe9F4ncbqf8gpuYJ,59,https://p.scdn.co/mp3-preview/a0be87a201a4095225014e8ad92d9264054ba0f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Lifted,2r9IVJY3OIDb64lplJJ8mY,Otherwise,1OVyBGCKn7vObVIVPXcmLa,Lifted,5pZUz7PLNeERvjW0Zj8btd,45,https://p.scdn.co/mp3-preview/3aef4ec694dd395f8b305dde9fcebe16406d0650?cid=fa83a2fec7c440b7a2795d600d6b2c7e
