Alternating Currents,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,15761,topsify
1,16,2wGfZBcArmMVrd4iUEDuF3,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,16,2fyUUI6qFR57zGMRX84EB0,69,https://p.scdn.co/mp3-preview/65e93ff2946269e5d1647d56e76a25c255275914?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Falling,1aOQ1bv8iM4gIkGLvTKutr,Betcha,3pT3KTodKJRyqpxoXINfQh,Falling,5LjIV7LKEYI2045Alb5yyP,42,not available
3,Father of All...,4r59yc67nric1MZQ2igkhx,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,33eDyKXqDYRHeu8cq8ToRl,72,https://p.scdn.co/mp3-preview/b16f8b71d4c25172e9dc53b2e578a597544b76b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Warrior,4AHpQDGAKnlyTYSHTfJsQL,Zac Brown Band,6yJCxee7QumYr820xdIsjo,The Owl,3PzVbo0ulFYswlyRCaW8ZG,52,https://p.scdn.co/mp3-preview/f7f756f5e718b28a9e0e2a580677482c8b4a4cf1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The End of the Game,4zB544yCIaSw3cuHltMCRJ,Weezer,3jOstUTkEu2JkjvRdBA5Gu,The End of the Game,2oIIKGUt4telkfiygjJ4il,68,https://p.scdn.co/mp3-preview/92c0fc163f37f1081f9c9d0ae4fa5da5a2e0809b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Baptise Me,1vd6I2lJQFdcxQ2c9S61Cx,Robert Randolph & The Family Band,4xac3zhHlBm5QDxbZeqgeR,Simple Man,0gAeNlXzb26qcfls2K7cYS,16,https://p.scdn.co/mp3-preview/dab8baf6a1c195b9fbee54277bbee7e567e9ece4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,The Runner,0AWYvdcS6N463VlsbrzijH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,The Runner,7CwnnH6mZCAKwKLgwrLWRU,67,https://p.scdn.co/mp3-preview/c5d8e1f2a045d2e5917e4eab92352a31852aa399?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Lonely Miracle,5ZwO46wSnkfv2xAAZYzdj9,Parker Bossley,6DI59JqTc9M9leStW4If1P,Lonely Miracle,55l16cib7NopOrZrvmuJ02,36,https://p.scdn.co/mp3-preview/7e69be931ea187d719c06e9a1c1b387a63e2fdb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Real Long Time,4l7bULRg6DKqpk1JLoQdJt,White Reaper,75klPfIVnyYcyEGaicRUSF,Real Long Time/Might Be Right,1iSzEZWc4uiwqy3mYMYGpM,47,https://p.scdn.co/mp3-preview/746b7c26f3e3411eb34466738321df4af95fd245?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Proud,5Hn7tZgFMPVAQkRZDcum3t,John Splithoff,7A2x4Urpc4VKF1pb7qnNqD,Proud,4AmS2KJwrtOjvAY2SkH8rX,47,https://p.scdn.co/mp3-preview/f1f9f87c6a8254cc02fdc74bb6c9cfe6dfa68bf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Salt And The Sea,6d2MCbByfqhU85Fmj8WCAN,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,III,5DIgFG1fM76vmNYlvfv2JJ,64,not available
12,Shoofly Pie,7y6ZDqgkqOLhnUxeSsFNBs,Zac Brown Band,6yJCxee7QumYr820xdIsjo,The Owl,3PzVbo0ulFYswlyRCaW8ZG,52,https://p.scdn.co/mp3-preview/f5af8d786b3bd0aef26e26407f19ee789fdeccae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Four Walls,1wX3WY9nQ3D4vRUR9Vmfl6,Nicklas Sahl,3k785W4GFDnZfTortQlhMA,Four Walls,5ntMnnFCM2LtENrZOoeQxp,58,https://p.scdn.co/mp3-preview/7e996177e0c452efc0cc5a149865636aa0d97c37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Cradles,1y4jsQt7MjnZhiD1L6qFBC,Sub Urban,7gXb99Sf9nNmpNYeAgIQFG,Cradles,2fLkonSk9cVovvnRKKYtk5,79,https://p.scdn.co/mp3-preview/b59907c608acf5b1f713d06e8eec421a3b16480d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
