Pride Party 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,9394,topsify
1,All the Lovers,7kBnfvUNIysiYPhrYxRZzG,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,Step Back in Time: The Definitive Collection,3vA84e8wtK3OqVoq7jQs5V,40,https://p.scdn.co/mp3-preview/8aa9a10fa07b0dba3bb5ce8ee757d0b02a8e159b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Vogue,27QvYgBk0CHOVHthWnkuWt,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Celebration (double disc version),43lok9zd7BW5CoYkXZs7S0,67,https://p.scdn.co/mp3-preview/6f927c9da5cde0a408a6f939d07174e83e1fa2fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Being Boring - 2001 Remastered Version,7kRTqmUvzYouDvG3aqulyt,Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh,Behaviour,3QKOefqeoWmK67Fv6ToyJa,55,https://p.scdn.co/mp3-preview/6837ff8c13c52772806ec34048cdb9d60c729f0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,I'm Every Woman,2M55R2A9IAhLdsCGFj8r8k,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,"Epiphany: The Best Of Chaka Khan, Vol. 1",3qeheeurjW0lNtf9d7hJLe,61,https://p.scdn.co/mp3-preview/4e7ba67fbaac1b593bf5a70fffd57f0bd1673fa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Can't Get You out of My Head,3E7ZwUMJFqpsDOJzEkBrQ7,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,Fever,4WzTXHp8bVKkKNu3UQ2Fqu,72,https://p.scdn.co/mp3-preview/8698fb43a16503ad290e738649a19d1663b9cbc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Believe,2goLsvvODILDzeeiT4dAoR,Cher,72OaDtakiy6yFqkt4TsiFt,Believe,0jZfbz0dNfDjPSg0hYJNth,77,https://p.scdn.co/mp3-preview/579967c91dc409b693b9819c12bbba83e4d0f9a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Naked Alone,2C1V8JFnm2OqZVkHhNu4qe,L Devine,5dhyUSoGhz79WTzP39vKs4,Naked Alone,5YYlJXLIbOfWlwYBH7upuC,58,https://p.scdn.co/mp3-preview/b5ab3e70d57feb11259d9c41377bceb4d53c2d04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Young Hearts Run Free,3MFa9idQuY4iJLWsZl3tIQ,Candi Staton,3S34Unhn5yRcaH5K9aU5Et,Young Hearts Run Free (US Internet Release),39ntuIhbcC8rsmRV2qXkmZ,65,https://p.scdn.co/mp3-preview/b0b96bb7e0e4f151ce0c64349e74cfc11cba326b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Free - Mood II Swing Radio Edit,0dc6CJ6BsiKxyPvW4yABLo,Ultra Nate,1cK2Abwkni7m51wJCSGllN,Free,6TpwXfNBW8BSwCAuBDjJSN,62,https://p.scdn.co/mp3-preview/f31c5e6571324aac294c10a8bf60adac06f8e00f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Spacer (Monsieur Willy Remix) - Radio Edit,6RZFgh1oJu9yNh6Lv5aNxN,Sheila,5fhRcv2KU96vbXqNE2FEdu,Spacer (Monsieur Willy Remix),2PE4l9qgqqmKxAL77Er8OW,24,https://p.scdn.co/mp3-preview/98617b5b15e122f747eacbddac3f672da83e02c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Le Freak - 2018 Remaster,3ClOMebBxeNTYCOfTH24YJ,CHIC,0Xf8oDAJYd2D0k3NLI19OV,The Chic Organization 1977-1979 (2018 Remaster),3Jhtxnrjbk5oxleA3oafAy,69,https://p.scdn.co/mp3-preview/c6e4f06476f81f505626b5cea5266f8bc8357633?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,New York City,130hhZowWzkA4bypB0dtgc,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,New York City,6pqO60oAh0UrZmPBe0x6b9,46,https://p.scdn.co/mp3-preview/3aa27ec8ca9fd243ec83abe9bc3bc47b0c03ee61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye],581MrXg5n979mmvZaC6AOE,79,https://p.scdn.co/mp3-preview/e861389ed2b773dc0aa5f5b96aa2bc0eed9bd09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,So Am I,0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,So Am I,2XvFk3xrG7dV6GhqcJSQHX,86,https://p.scdn.co/mp3-preview/8683916dfa16b85a9dff1bf743e629790a2efe85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,"Relax - 7"" Mix",3MIVb9pn5cDSdK7yNDsMU1,Frankie Goes To Hollywood,1mZu3rO7qSD09GdDpePHhY,Relax,5e1nxutTDjyEWX98WlVgKZ,68,https://p.scdn.co/mp3-preview/f8eb1d8a625cfe1b27f136840d197abc6e592b8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,We Are Family,5IKLwqBQG6KU6MP2zP80Nu,Sister Sledge,6gkWznnJkdkwRPVcmnrays,We Are Family [Expanded],4GSidaoqyGNwaG5mNKmuLT,72,https://p.scdn.co/mp3-preview/26f5886af9af728d758a84ff045baab992878692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Bad Romance,1CZOrmHUUjeDP7N2B4Ba6S,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,The Fame Monster (Explicit Version),4Rt6psVqmhnvrZLEoHocb6,59,not available
18,New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,83,https://p.scdn.co/mp3-preview/75a1b521de23958a2db9acf4fc8151999ee54bd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,This Is Me - Dave Audé Remix (From The Greatest Showman),1NNhZKNrg8WVmU6Ok8TDtO,Keala Settle,7HV2RI2qNug4EcQqLbCAKS,This Is Me [Dave Audé Remix (From The Greatest Showman)],1bbOecKvywdyRfSBxKbbCO,46,https://p.scdn.co/mp3-preview/71cf74e76b76d97f714e769fd475552523569968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Lola's Theme,0PN1xpDqPvRHrYsb5Ydpki,Milk & Sugar,159cwGtgCzNpyHWY6tzihH,Lola's Theme,4Kq2h1skpCp2X8bqKjgsVc,35,https://p.scdn.co/mp3-preview/7a051036200695c68c543b70c3ad10cacbf25993?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,All I Am,4KbXLyluZKq3sTHL8XKsRL,Jess Glynne,4ScCswdRlyA23odg9thgIO,Always in Between (Deluxe),7GCY1J01hcEpdgeY0vtSsN,69,https://p.scdn.co/mp3-preview/62a5325fd4354efb5852ebd82a65e253651e51e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Blame It on Your Love (feat. Lizzo),1MfuskV4ODUp14C2dnyPgW,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Blame It on Your Love,7taiT9oVLbid3rJ7KwM9jf,77,https://p.scdn.co/mp3-preview/4b9fbdcb223dce157ffd01eabab366b4bc94a79a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,A Little Respect - 2009 Remastered Version,7aS418hRnOnYrXeyrZilwk,Erasure,0z5DFXmhT4ZNzWElsM7V89,The Innocents,0M2jouCUu3u6qUXSS2vgYI,71,https://p.scdn.co/mp3-preview/edecc3ef593a05f17ea4dfd0fc2842033d7a9b31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Show Me Love,4t0UsYzmmmZRMTWn77jiGF,Robin S,2WvLeseDGPX1slhmxI59G3,Show Me Love,2xpjgSvZVYjzdlWxeAJFy8,67,https://p.scdn.co/mp3-preview/cd2087664f2daf31c41b44ddf0f8c56ac9d27045?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,I'm Coming Out,3SnGymj6ijE2iuUfWxLo1q,Diana Ross,3MdG05syQeRYPPcClLaUGl,Diana,3zgDLoVcpVGfFbDZJf3uHI,64,not available
26,Sing It Back - Boris Dlugosch Mix,53qhh1kdcX4gRBShoW4LK8,Moloko,4aaBjq7VqqQvpSF69GglvO,Catalogue,5sCp2ukwrtpYj5wGfMx78M,64,https://p.scdn.co/mp3-preview/ed80f3d36c32a91b24375a22878153817719ba64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,religion (u can lay your hands on me) - Edit,3O8rbGiOVtlcxDYBEbBUPx,Shura,1qpR5mURxk3d8f6mww6uKT,religion (u can lay your hands on me),48gI9FAseDW1WBUPWS5zKY,19,not available
28,Love at First Sight,6ua8mbyHXTHpAmGyGpFAS2,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,Fever,4WzTXHp8bVKkKNu3UQ2Fqu,49,https://p.scdn.co/mp3-preview/12b9bd060411d363204e4a2b1e4cbc68d944fe37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Take Your Mama,4Sfh35NL3BWOyIpB4toKgS,Scissor Sisters,3Y10boYzeuFCJ4Qgp53w6o,Scissor Sisters,3qXgnckOi2NbaAyjD3m2jP,53,not available
30,Venus,2jAocF8z8pMh7Bt1Qibl1j,Bananarama,3sc7iUG1Wwpwx7bHeZolgx,The Greatest Hits Collection (Collector Edition),5HY7d62IQ9p4snnM1d8qLM,47,https://p.scdn.co/mp3-preview/9774e73c1c8e3828220fb4911289046ce073df65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Into the Groove,2m0M7YqCy4lXfedh18qd8N,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Celebration (double disc version),43lok9zd7BW5CoYkXZs7S0,63,https://p.scdn.co/mp3-preview/0efbf9a29e201df87897e8d69f17699933280e87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Dancing Queen,0GjEhVFGZW8afUYGChu3Rr,ABBA,0LcJLqbBmaGUft1e9Mm8HV,Arrival,1V6a99EbTTIegOhWoPxYI9,77,not available
33,Juice,0k664IuFwVP557Gnx7RhIl,Lizzo,56oDRnqbIiwx4mymNEv7dS,Cuz I Love You,6dFFcYQ8VhifgdKgYY5LYL,84,https://p.scdn.co/mp3-preview/7ca1598cec36c49118562b02491b9a030e233d88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,I Will Survive - Single Version,0rwmxAht1fk7QuSiCmIhGV,Gloria Gaynor,6V6WCgi7waF55bJmylC4H5,Hits Of The 70's,54zcgY3o34crjFfG1V4MuG,48,not available
35,Groove Is in the Heart,2UVLuddklEVak5PXgC7baA,Deee-Lite,4eQJIXFEujzhTVVS1gIfu5,Rhino Hi-Five: Deee-Lite,5ONmarDtpkKbrlhu0p83XM,66,https://p.scdn.co/mp3-preview/9f04c5adba9415770b90b9d08bf055752c1d19fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Dancing On My Own,4GT8oIGk6pPnaLhUjs278t,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Body Talk Pt. 1,0MDfaLLsiXLECgxKOqIyPW,44,not available
37,I Love It (feat. Charli XCX),6HZ9VeI5IRFCNQLXhpF4bq,Icona Pop,1VBflYyxBhnDc9uVib98rw,THIS IS... ICONA POP,59ZxtwIOD1wowkNvVHXqtP,64,https://p.scdn.co/mp3-preview/35149f91f3f5689e5ea40adb1e518b852aee5f79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Tainted Love,0cGG2EouYCEEC3xfa0tDFV,Soft Cell,6aq8T2RcspxVOGgMrTzjWc,Non-Stop Erotic Cabaret,3KFWViJ1wIHAdOVLFTVzjD,75,not available
39,Ain't Nobody,2NVpYQqdraEcQwqT7GhUkh,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,"Epiphany: The Best Of Chaka Khan, Vol. 1",3qeheeurjW0lNtf9d7hJLe,71,https://p.scdn.co/mp3-preview/da3c4d60cefc078b44f5c99cb3cd609faf08652f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Grace Kelly,2SDx0PooHZI1SQKR0y44bs,MIKA,5MmVJVhhYKQ86izuGHzJYA,Life In Cartoon Motion,6oIaXBTIZ2Q9cJKBgrZ2Ox,69,not available
41,Always on My Mind,07ABETRdek3ACMpRPvQuaT,Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh,Discography - Complete Singles Collection,0Jt2LzWgtGxy3GZH5i2Kcy,71,https://p.scdn.co/mp3-preview/c166b879110c7659204e2c464ed3048b0a8fb6bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Firework,2nWaThHB7qrp5F0REm7iwz,Katy Perry,6jJ0s89eD6GaHleKKya26X,Teenage Dream,5M7EJimG9PfuS5NEOIux3t,48,not available
43,Solo (feat. Demi Lovato),3NuK5xMlSlB6K2Qp16zf3h,Clean Bandit,6MDME20pz9RveH9rEXvrOM,What Is Love? (Deluxe Edition),1MvF4ulZKH7SaDQs9rE5nc,74,https://p.scdn.co/mp3-preview/3012a9efa7581dbd4754aeb8eaa41be5d3eae219?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Born This Way,30XU4suKzCeoCK9YFzdufg,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Born This Way (International Special Edition Version),6LY3AerY6KNGOPsNPL63Kk,72,not available
45,Curious,5btaVjrLBxTvXNmCv5DrW2,Hayley Kiyoko,3LjhVl7GzYsza1biQjTpaN,Expectations,2oRkkW6ZudviRBd6mx4CfL,63,https://p.scdn.co/mp3-preview/13d09cbf5a038b1f1ca674a24eef05f22763c058?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Express Yourself,6ioBgySxoeQKALvAeLEmId,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Celebration (double disc version),43lok9zd7BW5CoYkXZs7S0,58,https://p.scdn.co/mp3-preview/6e619b960426be52efd93538f82f324103b20bfc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,High Horse,2U2Z1IXnmJIvlknWizFykZ,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,7f6xPqyaolTiziKf5R5Z0c,70,not available
