New Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,56409,topsify
1,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,91,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,67,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Walking (feat. Swae Lee & Major Lazer),1qbXrxctv75pm1lWCn6Zw3,88rising,1AhjOkOLkbHUfcHDSErXQs,Head In The Clouds II,7bOpX6Ilc9UCFmH9uGyUDy,66,https://p.scdn.co/mp3-preview/1e8690bcd59b8023a5f09f1864e792d9958f844f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,TALK DEEP,6RMvf7OCYYSw4x2K8UakDt,E^ST,7ASucWaI33cepJbo74Hlo0,TALK DEEP,6QSypClxqJS7M5fhLSbuK7,45,https://p.scdn.co/mp3-preview/ba5f78511fefb247a0f921495adf9bb3647c55d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,61,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Pick Up Your Phone,4hIppgm5PYoVIoGtCCSJnh,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Pick Up Your Phone,0R4xeAX58W4xrgIQ9OIJ6q,58,https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,The Least That I Could Do,7B0agS1sIVLUGYG5oVHZ3V,Plested,2nJYGgfTf2846LtVB3AES8,The Least That I Could Do,1lQkmbE6ix1E4uUhrselp4,51,https://p.scdn.co/mp3-preview/bd7efaf365f08d2c198e7a2ed833fdb1e374e3f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Didn't Break It Enough,7zAPuRyZGRLPSGNnaj1H7X,Griff,5RJFJWYgtgWktosLrUDzff,Didn't Break It Enough,2Zd8vhZtRzFkNWe2GQrc1v,52,https://p.scdn.co/mp3-preview/1878b12a3b57fad627d4248e67e562c956516eec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,My Town,4byXfN1jpa3c0Zsf6caGUa,Emily Burns,6Gi8ZaXGx8MK79HwzXpuVZ,My Town,0L89zjByU70tf0cxK7rv20,55,not available
10,Call Her My Name,6Fnd9DXSfsqbN44HqE8I2u,HANA2K,0T48j6ImCLNXQPS4WmNnsW,Call Her My Name,7cWAKyH1GxaDqmtmZrK2up,30,https://p.scdn.co/mp3-preview/3ef18f9dc9d522d832779fdfc1b569ca269272fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,White Mercedes,7fOFeVSyL18q7RiU6cnhiM,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Charli,386IqvSuljaZsMjwDGGdLj,72,https://p.scdn.co/mp3-preview/e8c53850910eb95a6ca279c2a8a5468e0bc67c5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Talk Nice,4wJi04IonyUubHmlkVOvk6,No Rome,6auWB5YAlcKaHyrbTH66nd,Talk Nice,3lbMMefPhr8C4HwThixNyo,36,not available
13,Inside Out,4xFFxjyYCjf9TH1gPh82CA,Balcony,5Jk42C5fwPHCgpyOypW2G7,Inside Out,2MvQtrhUH1IZQOsoygvJWa,33,https://p.scdn.co/mp3-preview/f820f8718104479eae02eba719c8d50c6be5ab83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Caffeine,3MpYarzpssEwV6k6lDuLiU,Lolo Zouaï,2qDIR2WlcW3llkGqJWg9VJ,High Highs to Low Lows,7BIWzE3cE84suTh7nPQXcE,45,https://p.scdn.co/mp3-preview/544de2e3c03a219315f0f2f5be1154a927fcf387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Early,6AcFiVsHvDtat3rmHNK2Nf,Joy Crookes,5XMyhVhi5ZN2pi0Qwi1zXS,Early,5Q7XISk90DAYHFghAvKYI9,55,https://p.scdn.co/mp3-preview/912d9f1fd69b80465bebceffd3fa01b421d64696?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,73,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Young,2lrRZiGiXb9ThjVo132xhc,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Young,5ZZk99V9SwyA5LuYKWv3EN,55,https://p.scdn.co/mp3-preview/4ac568960ba4440a6279c14bf7df0105a08843bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
