Indie Mixtape,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,13719,topsify
1,Every Woman,3WT4l63pcNZYyVwLo8Eqgb,Vagabon,17mwzDXKn4ra9cuxXaptwp,Every Woman,6ye7T49Bfv3CiyopML83Iu,0,https://p.scdn.co/mp3-preview/665339b6a9176a22c579c47941d9718b7d06ece2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Falling In Love,2x2x2U3sAv6IP7O0F9zEvc,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Falling In Love,4h00nTNYLaUNRJ9wulDJ4n,56,https://p.scdn.co/mp3-preview/b99534447943c33a206c56cffb0b63f818aa7e1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Mr. Lee,26iKGRGVeiMKBlLwxGopDk,Hovvdy,59RNNqeEfkq3X5pfOQxZ3C,Mr. Lee,1dsTvfTHhP8Bbjun6kijLR,45,https://p.scdn.co/mp3-preview/cc9e2104a7bd63791ef5bfac1301ff2269179612?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Your Boyfriend's Gun,2znEmrkaWXpgAin2E4RkAE,Palehound,4AgusFXPk24LCGMMplX34M,Your Boyfriend's Gun,3333v41jpj7CNGF2lnUgIx,35,https://p.scdn.co/mp3-preview/1039bf1384938ed48a4d7973be6ad560636aee6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Saturday Night (High),1YAam1QxICsS03FFTYsAva,Jim and Sam,1BbVOJwvoyVMfOPdl1Oi2x,Saturday Night,3hzkgQCbbIbGEKGi3SoFkP,12,https://p.scdn.co/mp3-preview/510335e77631df0eb60a8128e3dc93a157ca2f6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Hey You,1yYpw3DuEPBO6Cv7ejBwsq,DOPE LEMON,7oZLKL1GjYiaAgssXsLmW8,Smooth Big Cat,3vb4dMvsa3ZZb1smeZPOPA,56,https://p.scdn.co/mp3-preview/91e05bec43aead5efb663c260a5000b6032256ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Not,7IzJ7EGpIpq2vW3ylVTtMh,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,Two Hands,7pg8T6pajjHVZbiyB8bGxo,52,https://p.scdn.co/mp3-preview/d8f56b39b0e6ea63f4daeb321c8d4718e9f345e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Number On The Gate,3xn3oN4GJ0CJ1vbNg1Ofq1,Turnover,0gLjJuczGWhqKVMmVpIT52,Number On The Gate,1LKPwDuowfe0QGI8ewQrkX,2,https://p.scdn.co/mp3-preview/2784b046697990ec2a6074440bc8cbe7b2bb3ab9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"Love Theme from ""Born Hot""",4HA7ivUkx0wOdVV9RDknLV,Chris Farren,6wnLSjE93qaj9uf3rVaM3N,"Love Theme from ""Born Hot""",0iaJp0KLiFYhTNzFDglkq8,27,https://p.scdn.co/mp3-preview/9fb98aaa9dbd915ec27ae78d14f3306bf583de2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,One Step Behind - Single Edit,2KPMZ1kcgn58ryW8tVtvz6,Garcia Peoples,4UDV6e9Xh5m3yQeGsrnWLP,One Step Behind,7D4f6nyoKlrg6VKZ7t6vBh,22,https://p.scdn.co/mp3-preview/df977136646ebe2c48f20c60efc48daacf9da92a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Bloom,472HwUW7WX92fidhqTU9ZZ,Great Grandpa,1Hs5RG6WIwUSJLxRYWaOW6,Bloom,1S5tOEL8lXefc0oSLFbTNy,33,https://p.scdn.co/mp3-preview/1ba2c9bb02f91c0ea1ae5678e93dfc0c9c331621?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Spark,5G7UuwzuonHAug457uTWlj,DIIV,4OrizGCKhOrW6iDDJHN9xd,Deceiver,66aYL3AZPfk6leHxlJDYQ0,52,https://p.scdn.co/mp3-preview/0c418b6ead85ef7f8bb2ae7b0342daffff994043?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Best Laid Plans,23mybDuIOYImNa5OR3tPia,Harmony Woods,4gFiUtHGUVheauO8zi0knD,Make Yourself at Home,0jO8Mtdhm8Dv9kCwzXKWHy,24,https://p.scdn.co/mp3-preview/dd2f0194dce5cc18c352d5c0e6c620287df78633?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Sometimes Love Takes So Long,0WH1FwH09z2iJ84dRFODcm,Illiterate Light,1vEqG4Bxz3YIMuDkIcvg6J,Sometimes Love Takes So Long,54MM8pLcgnDSIWYtt2ikPK,48,https://p.scdn.co/mp3-preview/5dc8c9ae8bcbc5eb6ed6a398446b3f676b2bfabf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,No More Dysphoria,0P9KoRF5R9bdjAAZBfjRFp,Hit Like a Girl,0saOG9dPAQ3PCwLLVNlgvQ,No More Dysphoria,0PMIba8fur3yWcR2OM7l25,8,https://p.scdn.co/mp3-preview/31d8f3095a22db2231c765d16d121568c65f6119?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Steve's First Bruise,0xroXDLGHnH4jOQTjZwE7N,Briston Maroney,7vtSUU3zpHeYJfX6BPNrJd,Steve's First Bruise,450GGhTSexQ1bT3QDldTJm,41,https://p.scdn.co/mp3-preview/0f1a8704a812de53b735dca93c9588c1c1cb6ee0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Four Odd Words,4cbNdoPWKycJuv92iymDlU,Blush Cameron,0PMM8xh5fh6SLZI3RT0W4B,Four Odd Words,3LRRdFtAs5140SihYHPQ2n,6,https://p.scdn.co/mp3-preview/73b5bc463c02e41da7cc56fccbebd15b2e70b8d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,So Brite,1LtAiO64hHrMN2Y8BnwrOE,Hovvdy,59RNNqeEfkq3X5pfOQxZ3C,So Brite,1Q5x6t2I7DnOVggp4EFOIt,43,https://p.scdn.co/mp3-preview/1f60f38615d866c88b2a35d9602aff28b0b9dd82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,The Grass Begins To Eat Itself,55wL2t5CDtiozY0ALUJ46G,Jealous of the Birds,3S8P24WjZtVNaPLeXjaCJm,The Grass Begins To Eat Itself,3TzPrLc7Sdl1CTmQgyE0bv,32,https://p.scdn.co/mp3-preview/d8e37e2e502f8c233681ccb48e01c91ff906b305?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Far From Born Again,3a8TKjzkpvdIVGACOCBgRN,Alex Cameron,6kGMx9MqwnbKR2EYvZvvrG,Far From Born Again,55EKky5mbXx5syowRlkjJa,46,https://p.scdn.co/mp3-preview/f17c035b32bd3d7cfd58b826f2826d62ac2c96b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Heavenly,6dwNcWigdxPUcqfz2zM6GL,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Heavenly,7kFz92XFqgJ1mAOlbZT3ky,62,https://p.scdn.co/mp3-preview/eae6702755dd4ca3898ffc9760558ebd57b9e6ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Moment,2MNktvF6gpE5tHmQ3KnSMc,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,Moment,4joRRAeSJKMozT6bykb7pJ,53,https://p.scdn.co/mp3-preview/1cc07a5d7c6686a32e3619b6c64515af9796d953?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Isolate,38Q8yIOln642E3v8wl1Ifq,Sub Urban,7gXb99Sf9nNmpNYeAgIQFG,Isolate,6nV47nUjokX90oxKeoIIdZ,56,https://p.scdn.co/mp3-preview/552557631c3997f60227f33a3ea7fb9b43f9aba7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,sadie,22DtAEYnx5OHHEVuZLrRrh,pronoun,08q2kFjr9p4cJqTGU9xJgg,sadie,4mU0UWZF7IIlAsRbiCybsL,0,not available
25,Inhale Exhale,1yVWpxBwkauwvn6AiOtmkU,Anna Meredith,5zDUidkda0GoYHu2vMr3G2,Inhale Exhale,1YQTzNPNRypOuoxesMar7D,27,https://p.scdn.co/mp3-preview/a75e064f98a2a8c2dba2d0b9f29fe7e5408211ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,True Hell,30tsjhJtQluwhETuUjNbxV,Dowsing,0VvySnLLgB17dDSn0i4LVC,True Hell,78X0A87ocBn6jsKMi3Veg5,18,https://p.scdn.co/mp3-preview/fe740bb8fa932edf02d077b5d2042b35e08028a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,basking in the glow,4q1XSMs7H4qGz8N1sftxg9,Oso Oso,63GTn25wbdRNX3ijCHvYxD,basking in the glow,0W3zHdIMXAfAAueEWaagRH,47,https://p.scdn.co/mp3-preview/28b3f30d6deeb7f793cfb1eedf6977d06232ab2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,1F,0WZmW9PqYynAgnzUcoajT1,White Reaper,75klPfIVnyYcyEGaicRUSF,1F/Might Be Right/Real Long Time,6BQQMEgE8RZPnvdoFoDp5I,47,https://p.scdn.co/mp3-preview/7dd834e329937f4958fdf253ccba633eb1895ac6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,"classic j dies and goes to hell, Pt. 1",0Yl5FnBBCSNBCQWOhi40Xa,glass beach,4gHs8pWsgZpndQZKs6QVRH,the first glass beach album,113M3j7mkEpg5TUgXJDS79,38,https://p.scdn.co/mp3-preview/79a2ca77daaaf08cb1e1bf66a78f27ab5659fb98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Nighttime Drive,7bmf45poFdTz2Qq2mNrp3y,Jay Som,1wmiQ6ytATiGnJs6uFluKO,Nighttime Drive,2slFcoxktGYlga6Cbqwrja,38,https://p.scdn.co/mp3-preview/180ffcdd1e2716d59a754a5390a240bf0afd7bb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,My Heart Dreams,7jXwlDFYU6vvFplpkwGmmd,Black Belt Eagle Scout,1CUUXdvZE6UzwQyBUm5YVD,My Heart Dreams/At the Party/Half Colored Hair,1e1Gg4aXaOOAiqntn5MkiW,19,not available
32,"Jane, Don't You Know Me?",3c3eXsHo5yGWlFXVhmthNf,Elvis Depressedly,5a31Ij1sTxY9LUYVwgBp8m,"Jane, Don't You Know Me?",6FmPSL6M9Jx00K7xk7AlgT,36,https://p.scdn.co/mp3-preview/23ba9dcce3d92ed158126ff6688ab1a9b1f6b5aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,bunny,28uXVG6u7uuFtEytpLOZRq,Ghost Orchard,49RJFYAmLSE8FMBQ1GjguG,bunny,65fQoc4ElD43qlYfem1lTB,25,https://p.scdn.co/mp3-preview/0ce6a2f5ca01b94bef03cbc45531b651e903ecf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,America (You're Freaking Me Out),20WfBEoY5LuJdK9slRv71l,The Menzingers,7HWFXU9pHBj0u58yoRwwOJ,America (You're Freaking Me Out),76xp2axlbmffPMsZaGIWVX,52,https://p.scdn.co/mp3-preview/e3fb34cb99dd8e283de8e9ee02b5ba780e7f31d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Hardly to Blame,2s3VPx9tIAubfnSLGssZib,Sheer Mag,58ehndX799ZV9Jcv6IefJ1,Hardly to Blame,6AsMsAuLUwg4VstSPWfWT5,29,https://p.scdn.co/mp3-preview/aa498f3530e4e3819bb065da2386f47ab4e8f67d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Water Me Down,79ap7oTftmfgDUBUsUcYqt,Vagabon,17mwzDXKn4ra9cuxXaptwp,Water Me Down,4kcsdigEl9ascAJ6a2b2g9,58,https://p.scdn.co/mp3-preview/f232486d26b43c1bd1d9845f131e922044d3b3e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,In Love Again,3r7p1yUo7SZIU8xPZS1UC9,Mannequin Pussy,33yje3hgpNfdXpqdJQcrt9,Patience,1X0Na8DRV5U6G9grTPDWKF,39,https://p.scdn.co/mp3-preview/9d3e5e441d3e56c6491ca973db39c1cbd6f90fcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Autumn Dress,5uwS35sviD1vpTRVsF1nqA,Mat Kerekes,5rOjuB5uYAoDMHgZM6CFBB,Ruby,3FTwVo3Ml09aCJAamSni5v,39,https://p.scdn.co/mp3-preview/5b1aca453df0ddc3db31fa547c569d36bb7564d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Unspoken History,66EGYjrOz1ZhKmpDDUSZNw,Alex Lahey,5kdYrM3h2sB1Eid5tDf6Hk,The Best of Luck Club,4tJrRPoZQsGRCmIrtFSqgV,30,https://p.scdn.co/mp3-preview/6e6e2942cdf67d74da7a711fe7726c215d06b0f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Daddi - Reggie Watts Remix,1FfOW5Nw3qIyKyInq6yeRz,Cherry Glazerr,3pIGm1omCcHIb1juBNHspg,Daddi (Reggie Watts Remix),40MsX8E2mabqIViEsKz5ke,43,https://p.scdn.co/mp3-preview/799c282b0b5dc1c364a127fa85372da0d1803931?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Endless Stream,2BkEu3UKLuYOBJ3hSIYOdu,Andy John Mendosa,5CKFRmda44UBmG4O4o08sB,Endless Stream,7MtnEqleuyYZNZsaBz9RSD,5,https://p.scdn.co/mp3-preview/82a7b46ee6874389b05f51d69787881826c6feb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Bummer,4ksHgLOd4sgzFGGRBbFTli,Save Face,5DpkPhxrNNiGAJPY5seREe,Bummer,3xxiimpgKisEk8rFBsMZ1I,35,https://p.scdn.co/mp3-preview/ca3b411bf0a871f762662ee364e0b09349002547?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Nobody's Happy (feat. Kellin Quinn),7ehlk34jGRdbjEWnUX2Rga,Fossil Youth,6vZDJiy5mycVxGasudQdWg,Nobody's Happy (feat. Kellin Quinn),6oiL8Srit7R3zuRAJuGkSb,39,https://p.scdn.co/mp3-preview/feb0e88b240322345472b76600b5602f6c8cfc9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Five,5NP9dmtm1REy6Xbsjbkyny,Angel Du$t,2ynylCO9SRPTKjgNEH0Y2a,Pretty Buff,2CjNHKLQ6vg07YRCbCCe6b,30,https://p.scdn.co/mp3-preview/8075dbc37d0e3f2bffc7f2e16ad69ba735b715ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
